menu,price,order_time
만두,16671,2024-12-30 16:39:56
김밥,22427,2024-12-29 19:26:56
김밥,12920,2024-12-30 15:44:56
만두,21527,2024-12-30 02:07:56
김밥,22565,2024-12-29 22:37:56
떡볶이,22066,2024-12-30 04:47:56
만두,6624,2024-12-30 05:28:56
떡볶이,26953,2024-12-30 00:06:56
김밥,6713,2024-12-30 12:46:56
만두,7687,2024-12-29 22:53:56
김밥,18680,2024-12-30 03:24:56
만두,21058,2024-12-29 21:35:56
떡볶이,10122,2024-12-29 20:09:56
만두,28146,2024-12-29 22:12:56
김밥,4355,2024-12-30 14:24:56
김밥,29682,2024-12-30 05:54:56
떡볶이,26383,2024-12-30 08:29:56
김밥,26820,2024-12-30 13:17:56
김밥,23234,2024-12-30 10:58:56
김밥,21275,2024-12-30 02:39:56
떡볶이,22656,2024-12-30 12:49:56
김밥,25213,2024-12-30 10:55:56
떡볶이,12987,2024-12-29 18:08:56
떡볶이,27494,2024-12-30 13:20:56
만두,14880,2024-12-30 16:36:56
김밥,22703,2024-12-30 10:55:56
만두,24945,2024-12-29 23:01:56
김밥,28344,2024-12-30 06:03:56
김밥,5585,2024-12-29 19:53:56
떡볶이,11095,2024-12-30 02:42:56
김밥,16669,2024-12-30 03:44:56
떡볶이,19102,2024-12-30 15:39:56
떡볶이,18492,2024-12-30 04:15:56
만두,1860,2024-12-30 04:36:56
김밥,3766,2024-12-30 03:34:56
만두,16079,2024-12-30 02:47:56
만두,24139,2024-12-30 04:32:56
떡볶이,25118,2024-12-30 11:58:56
떡볶이,27977,2024-12-30 11:29:56
만두,26471,2024-12-29 17:28:56
김밥,24264,2024-12-29 17:36:56
떡볶이,19703,2024-12-29 19:58:56
만두,20275,2024-12-30 06:07:56
김밥,28993,2024-12-30 08:23:56
김밥,10981,2024-12-30 13:19:56
김밥,5521,2024-12-30 01:30:56
김밥,19741,2024-12-29 23:54:56
떡볶이,9027,2024-12-30 01:22:56
만두,16340,2024-12-30 04:30:56
만두,24093,2024-12-29 18:22:56
만두,4931,2024-12-30 04:24:56
만두,9680,2024-12-30 14:50:56
만두,3030,2024-12-29 23:46:56
만두,19640,2024-12-30 11:07:56
만두,16670,2024-12-29 22:23:56
김밥,28078,2024-12-29 23:01:56
떡볶이,16082,2024-12-30 12:43:56
만두,24082,2024-12-30 09:42:56
김밥,26543,2024-12-30 05:28:56
만두,7143,2024-12-30 12:47:56
만두,27214,2024-12-30 13:39:56
김밥,24809,2024-12-30 13:47:56
떡볶이,1742,2024-12-30 13:12:56
김밥,13136,2024-12-30 17:00:56
김밥,18139,2024-12-29 18:19:56
만두,16435,2024-12-30 07:48:56
김밥,2836,2024-12-30 09:12:56
떡볶이,28313,2024-12-29 19:34:56
떡볶이,24537,2024-12-30 01:24:56
김밥,25932,2024-12-30 03:28:56
김밥,1166,2024-12-30 13:47:56
김밥,26752,2024-12-29 20:25:56
만두,4183,2024-12-30 05:23:56
만두,25893,2024-12-30 12:50:56
만두,21240,2024-12-29 23:40:56
만두,6158,2024-12-29 18:47:56
만두,11021,2024-12-30 09:36:56
떡볶이,17969,2024-12-30 12:10:56
김밥,16347,2024-12-30 06:26:56
떡볶이,19256,2024-12-29 18:10:56
떡볶이,2671,2024-12-30 00:01:56
만두,4331,2024-12-30 14:39:56
김밥,4319,2024-12-29 19:41:56
떡볶이,11920,2024-12-29 18:35:56
떡볶이,1973,2024-12-29 20:54:56
만두,27357,2024-12-29 22:58:56
떡볶이,8746,2024-12-30 14:23:56
만두,10338,2024-12-30 14:58:56
만두,9075,2024-12-30 12:03:56
떡볶이,28536,2024-12-30 00:32:56
떡볶이,11778,2024-12-30 12:19:56
떡볶이,5362,2024-12-30 11:50:56
김밥,29145,2024-12-29 20:58:56
만두,9357,2024-12-30 06:40:56
김밥,2623,2024-12-30 14:57:56
김밥,8170,2024-12-30 12:41:56
김밥,24312,2024-12-30 03:03:56
만두,1200,2024-12-30 05:52:56
떡볶이,5845,2024-12-30 09:49:56
떡볶이,21775,2024-12-30 01:26:56
