menu,price,order_time
아메리카노,27297,2024-12-29 18:33:57
아메리카노,12737,2024-12-30 11:25:57
케이크,28064,2024-12-30 15:10:57
카푸치노,13369,2024-12-30 06:14:57
카푸치노,3875,2024-12-29 20:22:57
아메리카노,8947,2024-12-29 22:48:57
케이크,9299,2024-12-30 08:47:57
아메리카노,15885,2024-12-30 15:49:57
케이크,20965,2024-12-30 05:44:57
케이크,12205,2024-12-30 00:52:57
케이크,26532,2024-12-30 02:28:57
케이크,9044,2024-12-30 15:45:57
아메리카노,22122,2024-12-29 18:15:57
케이크,8316,2024-12-30 11:11:57
카푸치노,8912,2024-12-30 03:39:57
케이크,14278,2024-12-30 07:24:57
아메리카노,19339,2024-12-30 15:35:57
카푸치노,28920,2024-12-29 17:22:57
케이크,12842,2024-12-30 13:54:57
케이크,5088,2024-12-30 13:38:57
케이크,25096,2024-12-29 21:04:57
아메리카노,21791,2024-12-30 13:49:57
케이크,4781,2024-12-30 15:23:57
카푸치노,29593,2024-12-30 09:03:57
케이크,6365,2024-12-30 06:18:57
케이크,25086,2024-12-30 11:55:57
케이크,26604,2024-12-30 01:05:57
카푸치노,11313,2024-12-30 00:24:57
카푸치노,3940,2024-12-29 19:32:57
아메리카노,12506,2024-12-30 00:57:57
케이크,17937,2024-12-30 02:12:57
아메리카노,28733,2024-12-30 15:40:57
케이크,29372,2024-12-29 20:22:57
케이크,20680,2024-12-30 14:03:57
아메리카노,14633,2024-12-29 21:31:57
카푸치노,7994,2024-12-29 21:33:57
카푸치노,20827,2024-12-29 23:39:57
케이크,5264,2024-12-30 05:22:57
카푸치노,14540,2024-12-29 18:30:57
아메리카노,6860,2024-12-30 15:59:57
케이크,16322,2024-12-30 15:42:57
케이크,15978,2024-12-30 03:49:57
카푸치노,20207,2024-12-30 10:43:57
아메리카노,6917,2024-12-29 22:56:57
카푸치노,2926,2024-12-30 14:32:57
케이크,17604,2024-12-30 14:19:57
아메리카노,16206,2024-12-30 16:40:57
아메리카노,4134,2024-12-30 02:06:57
케이크,19724,2024-12-30 16:33:57
케이크,6500,2024-12-30 12:01:57
카푸치노,7527,2024-12-30 08:53:57
카푸치노,17477,2024-12-30 16:35:57
케이크,28399,2024-12-30 11:32:57
케이크,15331,2024-12-29 19:10:57
케이크,17343,2024-12-29 21:09:57
케이크,12695,2024-12-29 22:44:57
카푸치노,24538,2024-12-29 22:05:57
카푸치노,25980,2024-12-29 21:21:57
아메리카노,23222,2024-12-30 14:27:57
아메리카노,1673,2024-12-30 07:33:57
케이크,10264,2024-12-30 08:20:57
아메리카노,27513,2024-12-30 13:24:57
아메리카노,28983,2024-12-30 04:35:57
케이크,18290,2024-12-30 12:32:57
카푸치노,25518,2024-12-30 09:37:57
카푸치노,12186,2024-12-30 00:22:57
케이크,13030,2024-12-30 01:22:57
카푸치노,2558,2024-12-30 14:59:57
아메리카노,8122,2024-12-30 16:52:57
케이크,7632,2024-12-29 20:00:57
케이크,15854,2024-12-29 19:45:57
케이크,24989,2024-12-30 08:24:57
케이크,1998,2024-12-29 19:42:57
카푸치노,19520,2024-12-30 09:22:57
아메리카노,24279,2024-12-30 04:34:57
카푸치노,11334,2024-12-29 23:04:57
카푸치노,5223,2024-12-30 02:09:57
카푸치노,11181,2024-12-29 19:29:57
케이크,3097,2024-12-30 16:24:57
아메리카노,28757,2024-12-30 11:12:57
케이크,12456,2024-12-30 10:52:57
카푸치노,24425,2024-12-30 03:20:57
아메리카노,2284,2024-12-30 02:13:57
아메리카노,12879,2024-12-30 15:00:57
케이크,18457,2024-12-30 03:21:57
아메리카노,10140,2024-12-30 08:49:57
케이크,28787,2024-12-29 23:57:57
아메리카노,12158,2024-12-30 15:46:57
케이크,28391,2024-12-29 21:06:57
카푸치노,24817,2024-12-30 14:21:57
카푸치노,12305,2024-12-30 08:43:57
카푸치노,2967,2024-12-30 08:58:57
케이크,20032,2024-12-30 03:04:57
카푸치노,8333,2024-12-30 05:04:57
아메리카노,8121,2024-12-30 11:19:57
케이크,13271,2024-12-30 13:37:57
아메리카노,8705,2024-12-30 11:26:57
아메리카노,16033,2024-12-30 02:39:57
아메리카노,4385,2024-12-30 10:46:57
카푸치노,6553,2024-12-30 10:54:57
