menu,price,order_time
카푸치노,6560,2024-12-30 06:56:56
케이크,10205,2024-12-30 09:10:56
아메리카노,10491,2024-12-30 11:48:56
케이크,24711,2024-12-30 05:05:56
케이크,15901,2024-12-30 06:41:56
카푸치노,29472,2024-12-30 01:32:56
카푸치노,24682,2024-12-30 05:05:56
케이크,19637,2024-12-30 07:35:56
케이크,21676,2024-12-30 10:49:56
케이크,17568,2024-12-30 10:38:56
아메리카노,11422,2024-12-30 04:23:56
카푸치노,23638,2024-12-30 08:36:56
케이크,19438,2024-12-30 15:02:56
케이크,27467,2024-12-30 04:52:56
케이크,26420,2024-12-30 11:30:56
카푸치노,8193,2024-12-29 19:54:56
카푸치노,27782,2024-12-29 22:14:56
아메리카노,21195,2024-12-29 19:47:56
카푸치노,7452,2024-12-30 06:51:56
카푸치노,2994,2024-12-30 08:01:56
케이크,8090,2024-12-30 01:48:56
아메리카노,27418,2024-12-30 03:01:56
아메리카노,1855,2024-12-29 19:30:56
케이크,29394,2024-12-30 08:16:56
아메리카노,12275,2024-12-29 18:38:56
카푸치노,23632,2024-12-30 12:26:56
카푸치노,19816,2024-12-29 19:50:56
아메리카노,21158,2024-12-30 02:03:56
카푸치노,29600,2024-12-30 01:31:56
케이크,7063,2024-12-30 15:12:56
아메리카노,10901,2024-12-29 18:03:56
카푸치노,29262,2024-12-30 08:11:56
케이크,26700,2024-12-29 23:23:56
케이크,15486,2024-12-30 03:48:56
케이크,28456,2024-12-29 23:10:56
카푸치노,19349,2024-12-30 01:41:56
케이크,7883,2024-12-30 05:28:56
케이크,9647,2024-12-30 15:04:56
아메리카노,28678,2024-12-29 23:43:56
카푸치노,15260,2024-12-29 18:37:56
카푸치노,3638,2024-12-30 06:54:56
케이크,27530,2024-12-30 15:07:56
카푸치노,14906,2024-12-30 07:24:56
카푸치노,9825,2024-12-30 05:44:56
케이크,2705,2024-12-30 06:51:56
케이크,18561,2024-12-30 06:44:56
아메리카노,2073,2024-12-30 11:34:56
케이크,17679,2024-12-30 10:25:56
카푸치노,27153,2024-12-30 07:43:56
아메리카노,11274,2024-12-30 13:02:56
아메리카노,2635,2024-12-30 00:16:56
케이크,21556,2024-12-30 00:14:56
카푸치노,14651,2024-12-29 20:49:56
케이크,2779,2024-12-30 08:08:56
아메리카노,19525,2024-12-30 15:35:56
아메리카노,13455,2024-12-30 10:47:56
케이크,5163,2024-12-30 15:46:56
아메리카노,16185,2024-12-30 10:53:56
카푸치노,17719,2024-12-30 10:07:56
아메리카노,12969,2024-12-30 06:16:56
케이크,7358,2024-12-30 14:55:56
아메리카노,2272,2024-12-30 04:34:56
아메리카노,15451,2024-12-30 12:01:56
케이크,7980,2024-12-29 22:31:56
케이크,19896,2024-12-30 16:18:56
케이크,17515,2024-12-30 04:51:56
케이크,18712,2024-12-29 19:33:56
카푸치노,13163,2024-12-29 23:34:56
케이크,29069,2024-12-30 05:02:56
케이크,28819,2024-12-30 05:00:56
카푸치노,13648,2024-12-30 15:53:56
아메리카노,26477,2024-12-30 14:54:56
카푸치노,11273,2024-12-29 19:56:56
아메리카노,10224,2024-12-30 09:43:56
아메리카노,29698,2024-12-30 16:09:56
아메리카노,6962,2024-12-30 13:07:56
카푸치노,16055,2024-12-30 00:32:56
카푸치노,28568,2024-12-30 08:30:56
아메리카노,13010,2024-12-30 02:59:56
아메리카노,9738,2024-12-30 13:16:56
케이크,15605,2024-12-29 20:24:56
아메리카노,18039,2024-12-30 04:22:56
케이크,23019,2024-12-30 03:23:56
케이크,5594,2024-12-29 23:40:56
카푸치노,8514,2024-12-30 16:25:56
아메리카노,7335,2024-12-30 07:44:56
아메리카노,4023,2024-12-30 00:48:56
케이크,14809,2024-12-30 12:52:56
케이크,7961,2024-12-30 06:10:56
케이크,21259,2024-12-30 11:30:56
아메리카노,7671,2024-12-30 12:02:56
아메리카노,27120,2024-12-30 04:16:56
케이크,27236,2024-12-30 15:25:56
케이크,4516,2024-12-30 05:37:56
카푸치노,17971,2024-12-29 20:52:56
아메리카노,2144,2024-12-29 19:37:56
카푸치노,29761,2024-12-30 16:07:56
아메리카노,5124,2024-12-29 19:05:56
카푸치노,29961,2024-12-30 00:05:56
케이크,3575,2024-12-30 11:02:56
