menu,price,order_time
카푸치노,4125,2024-12-29 17:31:57
카푸치노,28928,2024-12-30 14:33:57
케이크,18873,2024-12-30 01:54:57
케이크,3398,2024-12-29 18:42:57
아메리카노,20640,2024-12-29 21:22:57
카푸치노,2451,2024-12-30 12:51:57
카푸치노,10357,2024-12-30 01:41:57
아메리카노,14900,2024-12-30 12:02:57
아메리카노,21982,2024-12-29 23:54:57
케이크,13197,2024-12-30 11:58:57
카푸치노,19372,2024-12-30 12:36:57
아메리카노,28607,2024-12-29 21:14:57
케이크,1115,2024-12-30 03:43:57
케이크,23537,2024-12-30 09:42:57
아메리카노,4435,2024-12-30 13:10:57
카푸치노,1231,2024-12-30 15:30:57
케이크,3856,2024-12-30 03:14:57
케이크,18593,2024-12-30 05:17:57
카푸치노,28678,2024-12-29 20:19:57
카푸치노,17686,2024-12-29 17:43:57
케이크,18266,2024-12-30 17:19:57
카푸치노,11012,2024-12-30 03:08:57
케이크,16914,2024-12-30 09:33:57
아메리카노,1670,2024-12-30 10:30:57
케이크,6628,2024-12-29 20:58:57
케이크,4576,2024-12-30 00:52:57
카푸치노,6316,2024-12-30 07:59:57
카푸치노,15156,2024-12-30 11:55:57
아메리카노,3808,2024-12-30 07:29:57
아메리카노,7797,2024-12-30 07:07:57
케이크,18093,2024-12-30 04:18:57
케이크,16522,2024-12-30 11:59:57
카푸치노,19732,2024-12-29 17:24:57
카푸치노,25517,2024-12-30 11:00:57
아메리카노,23703,2024-12-29 17:24:57
카푸치노,12405,2024-12-29 19:15:57
아메리카노,20668,2024-12-29 17:34:57
케이크,14158,2024-12-30 13:26:57
카푸치노,5851,2024-12-30 07:48:57
카푸치노,9546,2024-12-30 04:08:57
카푸치노,15779,2024-12-29 23:12:57
카푸치노,10642,2024-12-30 17:15:57
카푸치노,8793,2024-12-29 23:12:57
케이크,15805,2024-12-29 21:06:57
카푸치노,6938,2024-12-30 15:41:57
아메리카노,29250,2024-12-30 02:16:57
케이크,29498,2024-12-30 12:10:57
아메리카노,24977,2024-12-30 08:43:57
카푸치노,9876,2024-12-29 22:46:57
케이크,3076,2024-12-30 04:52:57
아메리카노,25507,2024-12-30 06:14:57
카푸치노,28580,2024-12-29 20:39:57
카푸치노,10606,2024-12-30 04:32:57
케이크,23088,2024-12-29 19:29:57
카푸치노,15817,2024-12-30 07:21:57
아메리카노,10459,2024-12-30 17:19:57
케이크,16924,2024-12-30 15:20:57
아메리카노,29984,2024-12-29 18:56:57
케이크,2341,2024-12-29 20:15:57
케이크,24196,2024-12-29 17:46:57
케이크,19244,2024-12-30 00:10:57
아메리카노,4770,2024-12-30 04:35:57
케이크,6809,2024-12-30 02:12:57
아메리카노,16858,2024-12-30 12:04:57
아메리카노,5274,2024-12-30 08:59:57
케이크,26768,2024-12-29 20:59:57
케이크,8147,2024-12-29 19:53:57
아메리카노,7678,2024-12-29 19:35:57
케이크,2302,2024-12-29 22:35:57
케이크,1106,2024-12-30 01:52:57
카푸치노,21119,2024-12-30 11:22:57
아메리카노,10613,2024-12-29 22:32:57
케이크,26944,2024-12-30 10:51:57
아메리카노,22554,2024-12-30 01:54:57
케이크,3685,2024-12-30 08:35:57
아메리카노,15934,2024-12-30 11:57:57
카푸치노,21221,2024-12-30 03:55:57
아메리카노,13216,2024-12-29 19:16:57
아메리카노,11579,2024-12-30 13:26:57
케이크,11898,2024-12-30 15:24:57
아메리카노,17584,2024-12-29 19:13:57
케이크,27118,2024-12-30 01:48:57
아메리카노,6565,2024-12-29 17:40:57
아메리카노,11274,2024-12-30 14:20:57
케이크,6812,2024-12-30 00:54:57
카푸치노,22197,2024-12-30 14:26:57
카푸치노,1673,2024-12-30 06:30:57
카푸치노,27937,2024-12-29 20:59:57
케이크,13764,2024-12-30 03:55:57
카푸치노,4033,2024-12-29 22:04:57
케이크,15402,2024-12-29 22:11:57
카푸치노,17741,2024-12-30 04:40:57
카푸치노,1441,2024-12-30 02:57:57
케이크,28937,2024-12-30 07:43:57
아메리카노,21330,2024-12-30 02:25:57
케이크,15986,2024-12-29 19:15:57
케이크,16299,2024-12-29 20:39:57
카푸치노,27620,2024-12-29 20:37:57
아메리카노,8404,2024-12-30 08:12:57
케이크,21551,2024-12-30 13:03:57
