menu,price,order_time
아메리카노,2543,2024-12-30 01:02:56
아메리카노,21348,2024-12-30 04:49:56
아메리카노,9074,2024-12-30 04:16:56
카푸치노,18332,2024-12-30 16:37:56
카푸치노,15613,2024-12-29 18:38:56
카푸치노,6879,2024-12-30 05:01:56
카푸치노,19524,2024-12-29 21:49:56
케이크,20940,2024-12-29 19:58:56
아메리카노,29224,2024-12-30 01:29:56
카푸치노,3609,2024-12-29 23:48:56
카푸치노,20750,2024-12-30 02:43:56
아메리카노,18051,2024-12-29 17:58:56
아메리카노,18042,2024-12-29 21:03:56
케이크,3664,2024-12-30 02:52:56
케이크,15422,2024-12-30 00:22:56
카푸치노,11022,2024-12-29 22:23:56
케이크,13098,2024-12-30 03:17:56
케이크,19449,2024-12-30 05:50:56
케이크,29738,2024-12-30 07:36:56
카푸치노,19159,2024-12-30 07:16:56
카푸치노,12013,2024-12-30 06:38:56
아메리카노,13552,2024-12-30 07:26:56
케이크,4765,2024-12-29 18:37:56
아메리카노,13220,2024-12-30 02:12:56
케이크,4048,2024-12-30 07:39:56
카푸치노,7839,2024-12-29 23:55:56
아메리카노,5968,2024-12-30 02:23:56
케이크,18425,2024-12-30 02:04:56
케이크,20602,2024-12-30 09:34:56
케이크,5933,2024-12-30 05:31:56
카푸치노,19696,2024-12-30 11:19:56
케이크,3144,2024-12-30 13:22:56
아메리카노,16999,2024-12-30 14:47:56
아메리카노,20131,2024-12-30 02:05:56
케이크,25288,2024-12-30 12:30:56
케이크,26183,2024-12-30 11:52:56
카푸치노,21709,2024-12-29 18:41:56
케이크,26974,2024-12-30 13:37:56
케이크,25266,2024-12-30 15:19:56
아메리카노,27437,2024-12-30 06:36:56
아메리카노,28472,2024-12-30 05:23:56
케이크,5429,2024-12-30 02:35:56
카푸치노,1676,2024-12-29 18:50:56
아메리카노,18851,2024-12-30 05:32:56
카푸치노,28862,2024-12-30 05:28:56
케이크,3982,2024-12-29 23:05:56
카푸치노,23158,2024-12-29 19:36:56
카푸치노,24690,2024-12-30 02:18:56
케이크,29162,2024-12-29 22:15:56
카푸치노,3141,2024-12-30 04:26:56
카푸치노,23508,2024-12-29 22:30:56
카푸치노,5455,2024-12-30 03:05:56
아메리카노,20440,2024-12-29 21:27:56
케이크,3939,2024-12-30 01:12:56
카푸치노,11849,2024-12-29 20:20:56
케이크,5968,2024-12-29 17:37:56
카푸치노,24266,2024-12-30 17:01:56
아메리카노,13163,2024-12-30 07:34:56
케이크,26564,2024-12-29 21:25:56
카푸치노,9350,2024-12-30 13:13:56
아메리카노,13298,2024-12-30 07:12:56
카푸치노,24478,2024-12-30 16:32:56
카푸치노,20636,2024-12-30 05:48:56
아메리카노,14035,2024-12-29 19:37:56
케이크,8081,2024-12-29 17:22:56
카푸치노,4349,2024-12-29 21:51:56
아메리카노,3075,2024-12-30 17:00:56
아메리카노,21743,2024-12-30 08:10:56
케이크,14884,2024-12-29 21:11:56
아메리카노,11277,2024-12-30 03:02:56
카푸치노,17115,2024-12-30 05:25:56
케이크,21365,2024-12-29 21:34:56
아메리카노,26351,2024-12-30 14:56:56
아메리카노,27289,2024-12-29 19:06:56
케이크,28081,2024-12-29 18:23:56
케이크,15542,2024-12-30 10:55:56
케이크,4110,2024-12-30 00:46:56
아메리카노,9176,2024-12-30 00:11:56
케이크,29501,2024-12-29 22:03:56
케이크,17266,2024-12-30 05:19:56
케이크,8092,2024-12-29 18:26:56
아메리카노,11897,2024-12-29 18:25:56
아메리카노,20954,2024-12-30 15:29:56
케이크,15598,2024-12-30 11:10:56
케이크,29660,2024-12-30 02:57:56
케이크,8199,2024-12-30 13:35:56
카푸치노,28147,2024-12-30 15:03:56
케이크,12851,2024-12-30 06:50:56
카푸치노,8952,2024-12-30 10:17:56
아메리카노,4407,2024-12-29 22:21:56
카푸치노,24318,2024-12-30 15:08:56
카푸치노,29152,2024-12-30 03:53:56
카푸치노,25929,2024-12-29 20:02:56
카푸치노,6075,2024-12-30 09:01:56
카푸치노,16941,2024-12-30 12:50:56
아메리카노,10251,2024-12-30 09:34:56
카푸치노,8266,2024-12-30 05:50:56
케이크,16326,2024-12-30 04:29:56
케이크,1805,2024-12-30 04:39:56
아메리카노,13607,2024-12-30 04:11:56
