menu,price,order_time
케이크,20210,2024-12-29 21:07:56
아메리카노,5259,2024-12-29 17:33:56
케이크,9568,2024-12-30 06:36:56
아메리카노,6221,2024-12-29 18:33:56
카푸치노,12276,2024-12-30 03:32:56
케이크,8853,2024-12-29 19:16:56
케이크,7904,2024-12-29 22:13:56
케이크,13427,2024-12-29 22:22:56
아메리카노,27101,2024-12-30 16:30:56
아메리카노,28324,2024-12-30 11:47:56
카푸치노,14893,2024-12-30 15:14:56
카푸치노,7197,2024-12-30 09:40:56
카푸치노,28403,2024-12-30 12:51:56
케이크,10527,2024-12-30 12:27:56
케이크,27515,2024-12-30 02:18:56
케이크,11089,2024-12-29 17:43:56
케이크,14453,2024-12-29 21:43:56
아메리카노,12218,2024-12-30 07:36:56
케이크,15027,2024-12-30 04:54:56
아메리카노,17387,2024-12-30 11:31:56
아메리카노,14734,2024-12-30 13:05:56
카푸치노,17065,2024-12-30 05:42:56
케이크,6711,2024-12-29 19:18:56
케이크,17366,2024-12-30 11:49:56
케이크,29714,2024-12-30 16:48:56
케이크,14954,2024-12-30 01:56:56
아메리카노,18432,2024-12-30 05:36:56
아메리카노,13762,2024-12-30 06:21:56
아메리카노,27374,2024-12-30 13:22:56
카푸치노,2887,2024-12-30 14:46:56
아메리카노,29284,2024-12-29 17:36:56
카푸치노,17604,2024-12-29 19:21:56
카푸치노,6395,2024-12-30 01:51:56
아메리카노,29945,2024-12-29 20:29:56
카푸치노,3641,2024-12-30 09:00:56
아메리카노,9253,2024-12-30 00:22:56
카푸치노,11898,2024-12-29 19:30:56
카푸치노,27718,2024-12-30 15:31:56
아메리카노,4157,2024-12-29 19:37:56
아메리카노,14683,2024-12-29 23:12:56
아메리카노,8928,2024-12-29 17:27:56
카푸치노,25674,2024-12-29 20:17:56
카푸치노,22815,2024-12-29 22:14:56
카푸치노,26107,2024-12-29 18:58:56
아메리카노,5568,2024-12-30 09:07:56
아메리카노,22298,2024-12-30 04:08:56
카푸치노,29504,2024-12-30 05:23:56
카푸치노,1929,2024-12-29 20:18:56
카푸치노,17440,2024-12-30 02:18:56
케이크,21926,2024-12-29 22:48:56
케이크,23705,2024-12-30 06:33:56
아메리카노,3027,2024-12-29 23:04:56
케이크,18777,2024-12-30 15:21:56
카푸치노,24954,2024-12-30 09:15:56
케이크,6109,2024-12-30 11:30:56
케이크,28370,2024-12-30 15:04:56
케이크,29798,2024-12-30 02:59:56
아메리카노,13410,2024-12-30 11:20:56
아메리카노,19419,2024-12-29 18:33:56
카푸치노,18740,2024-12-29 17:33:56
아메리카노,18952,2024-12-29 22:47:56
카푸치노,26448,2024-12-30 03:44:56
카푸치노,7473,2024-12-29 17:49:56
케이크,2895,2024-12-30 04:27:56
아메리카노,26194,2024-12-29 18:43:56
카푸치노,6720,2024-12-30 00:04:56
카푸치노,24847,2024-12-30 11:48:56
아메리카노,15896,2024-12-30 14:22:56
카푸치노,13582,2024-12-29 21:36:56
케이크,18585,2024-12-30 04:40:56
케이크,7725,2024-12-30 07:24:56
카푸치노,20430,2024-12-29 19:28:56
아메리카노,25743,2024-12-29 19:49:56
카푸치노,15012,2024-12-29 23:40:56
아메리카노,6889,2024-12-30 01:05:56
카푸치노,11462,2024-12-30 01:38:56
카푸치노,25436,2024-12-30 13:26:56
케이크,22175,2024-12-30 00:17:56
아메리카노,18298,2024-12-29 21:19:56
아메리카노,27284,2024-12-30 07:26:56
아메리카노,27587,2024-12-30 15:56:56
케이크,6508,2024-12-30 13:38:56
케이크,23841,2024-12-30 16:24:56
카푸치노,10091,2024-12-29 20:12:56
케이크,19295,2024-12-29 20:15:56
케이크,20556,2024-12-30 14:51:56
아메리카노,16212,2024-12-29 18:05:56
아메리카노,2657,2024-12-30 03:57:56
케이크,26242,2024-12-30 13:40:56
케이크,13885,2024-12-30 13:26:56
카푸치노,15470,2024-12-30 08:10:56
케이크,23538,2024-12-30 05:36:56
카푸치노,18472,2024-12-29 21:59:56
아메리카노,28506,2024-12-30 06:36:56
케이크,7212,2024-12-30 03:34:56
카푸치노,22802,2024-12-30 16:51:56
카푸치노,24302,2024-12-30 17:04:56
케이크,6733,2024-12-30 06:51:56
케이크,16877,2024-12-29 20:33:56
아메리카노,28125,2024-12-29 21:27:56
