menu,price,order_time
아메리카노,3336,2024-12-30 07:27:56
케이크,18361,2024-12-29 23:18:56
케이크,9879,2024-12-30 01:26:56
카푸치노,5434,2024-12-30 07:00:56
아메리카노,29499,2024-12-30 15:49:56
아메리카노,14007,2024-12-30 13:52:56
카푸치노,15892,2024-12-30 05:22:56
카푸치노,5730,2024-12-30 05:40:56
케이크,3851,2024-12-30 12:52:56
카푸치노,7472,2024-12-29 21:27:56
아메리카노,21366,2024-12-30 12:22:56
아메리카노,9835,2024-12-30 01:52:56
카푸치노,15402,2024-12-30 12:44:56
아메리카노,15798,2024-12-29 22:42:56
아메리카노,26488,2024-12-30 12:05:56
케이크,29890,2024-12-30 15:41:56
케이크,28374,2024-12-30 12:33:56
아메리카노,9902,2024-12-30 01:40:56
아메리카노,2809,2024-12-30 05:35:56
아메리카노,21890,2024-12-30 02:10:56
케이크,20233,2024-12-30 14:32:56
케이크,7785,2024-12-30 17:08:56
케이크,5658,2024-12-29 17:46:56
아메리카노,21381,2024-12-30 06:22:56
카푸치노,1329,2024-12-30 04:50:56
아메리카노,20671,2024-12-30 08:06:56
아메리카노,17482,2024-12-29 23:10:56
케이크,24409,2024-12-30 07:07:56
카푸치노,26038,2024-12-30 08:37:56
케이크,26135,2024-12-29 19:13:56
케이크,16500,2024-12-30 10:56:56
케이크,22358,2024-12-30 13:02:56
케이크,20984,2024-12-30 05:09:56
아메리카노,17715,2024-12-30 02:46:56
아메리카노,7404,2024-12-30 12:12:56
아메리카노,23395,2024-12-30 12:10:56
케이크,2610,2024-12-30 01:14:56
카푸치노,2634,2024-12-30 04:14:56
케이크,7963,2024-12-29 21:16:56
케이크,5407,2024-12-29 19:03:56
카푸치노,28177,2024-12-30 02:07:56
카푸치노,25680,2024-12-30 10:42:56
아메리카노,9271,2024-12-30 14:06:56
케이크,2539,2024-12-30 02:04:56
케이크,29805,2024-12-30 03:02:56
카푸치노,17440,2024-12-30 04:17:56
케이크,16857,2024-12-30 06:39:56
아메리카노,15517,2024-12-30 04:11:56
케이크,7048,2024-12-30 00:14:56
아메리카노,2943,2024-12-29 21:13:56
케이크,13801,2024-12-30 05:55:56
아메리카노,4521,2024-12-30 15:27:56
케이크,24703,2024-12-30 00:50:56
카푸치노,26752,2024-12-30 12:53:56
케이크,29782,2024-12-30 02:51:56
카푸치노,4537,2024-12-29 17:25:56
카푸치노,24567,2024-12-30 16:21:56
카푸치노,29835,2024-12-30 12:18:56
케이크,13906,2024-12-29 17:54:56
케이크,26191,2024-12-30 00:11:56
케이크,10943,2024-12-30 10:27:56
아메리카노,15060,2024-12-30 12:11:56
케이크,18139,2024-12-29 23:07:56
케이크,17540,2024-12-29 21:56:56
케이크,6929,2024-12-30 05:15:56
케이크,22102,2024-12-30 16:33:56
카푸치노,16108,2024-12-29 23:17:56
케이크,7428,2024-12-30 00:42:56
카푸치노,15327,2024-12-29 19:50:56
카푸치노,15192,2024-12-30 12:35:56
아메리카노,19221,2024-12-30 11:38:56
카푸치노,18103,2024-12-29 18:07:56
카푸치노,10806,2024-12-30 08:36:56
케이크,28462,2024-12-29 23:07:56
카푸치노,20440,2024-12-30 02:27:56
아메리카노,22769,2024-12-29 18:20:56
아메리카노,1122,2024-12-30 12:01:56
케이크,18226,2024-12-29 23:35:56
아메리카노,25351,2024-12-29 17:28:56
카푸치노,13225,2024-12-30 15:13:56
아메리카노,21675,2024-12-30 08:27:56
케이크,11043,2024-12-29 20:28:56
아메리카노,14218,2024-12-30 02:19:56
아메리카노,13854,2024-12-30 04:38:56
아메리카노,25812,2024-12-30 15:03:56
케이크,25893,2024-12-30 08:04:56
케이크,18600,2024-12-30 10:48:56
카푸치노,14335,2024-12-30 07:23:56
카푸치노,9179,2024-12-30 04:53:56
아메리카노,15716,2024-12-30 16:28:56
아메리카노,15654,2024-12-29 21:17:56
아메리카노,19171,2024-12-30 10:19:56
카푸치노,7973,2024-12-29 23:31:56
아메리카노,22264,2024-12-29 21:03:56
아메리카노,6760,2024-12-29 18:43:56
카푸치노,12647,2024-12-29 22:02:56
아메리카노,6581,2024-12-30 09:53:56
케이크,25347,2024-12-29 21:45:56
아메리카노,8262,2024-12-30 06:59:56
아메리카노,13705,2024-12-30 06:10:56
