menu,price,order_time
카푸치노,7098,2024-12-30 00:10:57
케이크,21756,2024-12-30 12:25:57
케이크,1044,2024-12-29 23:43:57
카푸치노,27253,2024-12-30 09:03:57
케이크,4260,2024-12-30 05:55:57
케이크,12386,2024-12-29 17:40:57
케이크,7101,2024-12-30 04:49:57
케이크,29896,2024-12-30 01:17:57
카푸치노,3775,2024-12-30 13:02:57
아메리카노,21313,2024-12-30 09:05:57
아메리카노,28857,2024-12-30 12:07:57
케이크,12593,2024-12-30 05:14:57
아메리카노,20904,2024-12-30 12:29:57
아메리카노,21340,2024-12-30 08:17:57
아메리카노,15704,2024-12-30 10:36:57
케이크,8506,2024-12-29 18:26:57
아메리카노,20431,2024-12-30 06:01:57
카푸치노,23371,2024-12-30 16:03:57
케이크,11137,2024-12-29 23:17:57
케이크,25208,2024-12-30 13:16:57
카푸치노,28413,2024-12-29 22:22:57
케이크,6794,2024-12-29 23:01:57
케이크,26764,2024-12-30 16:40:57
카푸치노,9272,2024-12-29 21:32:57
카푸치노,14909,2024-12-30 12:51:57
케이크,4488,2024-12-30 01:13:57
아메리카노,20952,2024-12-30 01:07:57
케이크,1281,2024-12-30 08:35:57
아메리카노,23440,2024-12-30 14:46:57
케이크,14359,2024-12-29 18:40:57
아메리카노,5434,2024-12-30 13:33:57
아메리카노,17840,2024-12-29 20:06:57
아메리카노,10984,2024-12-30 03:07:57
카푸치노,18244,2024-12-30 13:41:57
아메리카노,8267,2024-12-30 15:00:57
아메리카노,7759,2024-12-30 03:38:57
카푸치노,2452,2024-12-29 21:28:57
케이크,4948,2024-12-30 16:16:57
아메리카노,27062,2024-12-30 15:09:57
카푸치노,13810,2024-12-29 18:12:57
아메리카노,27952,2024-12-29 19:06:57
아메리카노,5683,2024-12-30 07:42:57
케이크,1072,2024-12-30 02:02:57
케이크,17040,2024-12-30 15:22:57
아메리카노,19461,2024-12-30 10:53:57
아메리카노,29266,2024-12-30 14:02:57
카푸치노,8062,2024-12-29 23:30:57
카푸치노,11734,2024-12-29 20:02:57
아메리카노,10574,2024-12-29 20:03:57
카푸치노,12245,2024-12-30 01:59:57
아메리카노,5148,2024-12-30 05:57:57
카푸치노,12313,2024-12-30 16:41:57
카푸치노,28375,2024-12-30 09:30:57
카푸치노,20108,2024-12-30 10:39:57
카푸치노,4702,2024-12-29 22:43:57
카푸치노,14904,2024-12-30 09:39:57
아메리카노,20640,2024-12-30 08:38:57
카푸치노,14104,2024-12-30 05:37:57
카푸치노,25736,2024-12-30 15:44:57
아메리카노,8629,2024-12-30 10:54:57
아메리카노,19338,2024-12-30 14:26:57
아메리카노,23104,2024-12-29 23:45:57
카푸치노,2498,2024-12-30 01:39:57
케이크,10221,2024-12-29 21:59:57
카푸치노,15880,2024-12-30 09:20:57
아메리카노,8295,2024-12-30 15:08:57
케이크,4418,2024-12-30 10:05:57
카푸치노,29496,2024-12-29 19:20:57
카푸치노,27311,2024-12-30 09:16:57
아메리카노,29193,2024-12-30 14:15:57
아메리카노,17587,2024-12-29 20:41:57
케이크,1715,2024-12-30 04:20:57
케이크,11621,2024-12-29 21:50:57
케이크,4807,2024-12-30 02:41:57
아메리카노,9224,2024-12-30 11:06:57
아메리카노,29270,2024-12-29 22:05:57
케이크,15220,2024-12-30 05:19:57
아메리카노,1822,2024-12-29 18:42:57
카푸치노,14808,2024-12-30 14:19:57
케이크,17381,2024-12-30 05:26:57
케이크,9373,2024-12-30 07:43:57
아메리카노,18508,2024-12-30 03:02:57
아메리카노,19590,2024-12-30 12:36:57
케이크,1565,2024-12-30 05:11:57
케이크,8915,2024-12-29 19:19:57
카푸치노,5092,2024-12-30 09:22:57
케이크,14694,2024-12-29 22:21:57
케이크,9037,2024-12-30 12:41:57
아메리카노,19890,2024-12-30 14:54:57
카푸치노,18666,2024-12-30 12:11:57
케이크,6840,2024-12-30 17:08:57
아메리카노,6954,2024-12-29 18:42:57
아메리카노,26077,2024-12-29 21:37:57
케이크,19631,2024-12-30 00:57:57
아메리카노,21397,2024-12-30 09:34:57
케이크,28977,2024-12-30 16:24:57
카푸치노,12342,2024-12-30 00:33:57
카푸치노,11681,2024-12-30 15:52:57
카푸치노,21967,2024-12-30 00:25:57
카푸치노,22643,2024-12-30 10:04:57
