menu,price,order_time
아메리카노,22403,2024-12-30 17:07:56
카푸치노,12999,2024-12-30 06:38:56
카푸치노,21250,2024-12-30 14:08:56
케이크,22889,2024-12-30 07:01:56
케이크,10891,2024-12-29 20:11:56
아메리카노,1564,2024-12-30 15:14:56
아메리카노,22078,2024-12-30 13:38:56
아메리카노,7902,2024-12-30 14:05:56
카푸치노,9312,2024-12-30 05:00:56
케이크,8096,2024-12-30 03:02:56
카푸치노,23324,2024-12-29 21:31:56
카푸치노,23184,2024-12-30 05:11:56
케이크,6447,2024-12-30 15:59:56
케이크,3992,2024-12-30 15:08:56
케이크,14889,2024-12-29 20:46:56
카푸치노,13628,2024-12-29 23:49:56
케이크,12042,2024-12-29 22:19:56
아메리카노,22758,2024-12-30 14:17:56
케이크,3930,2024-12-30 13:53:56
케이크,25644,2024-12-30 05:43:56
케이크,3482,2024-12-29 20:55:56
카푸치노,17025,2024-12-30 15:12:56
아메리카노,10596,2024-12-30 05:28:56
케이크,2180,2024-12-29 22:16:56
카푸치노,26945,2024-12-29 18:08:56
케이크,3578,2024-12-30 11:45:56
카푸치노,26724,2024-12-29 17:26:56
아메리카노,21620,2024-12-30 04:23:56
아메리카노,17921,2024-12-29 20:37:56
케이크,14893,2024-12-29 21:37:56
아메리카노,15072,2024-12-30 02:01:56
케이크,5203,2024-12-30 02:55:56
카푸치노,7783,2024-12-29 22:08:56
아메리카노,13074,2024-12-29 18:06:56
아메리카노,27010,2024-12-29 19:49:56
카푸치노,14096,2024-12-30 06:44:56
아메리카노,26019,2024-12-30 10:07:56
카푸치노,16983,2024-12-30 06:35:56
카푸치노,7174,2024-12-30 15:40:56
카푸치노,23322,2024-12-30 06:42:56
카푸치노,29645,2024-12-30 15:29:56
아메리카노,11394,2024-12-30 09:40:56
케이크,25934,2024-12-29 21:41:56
아메리카노,20376,2024-12-30 11:06:56
케이크,9846,2024-12-30 07:38:56
아메리카노,21874,2024-12-30 08:24:56
카푸치노,7510,2024-12-30 09:26:56
아메리카노,14913,2024-12-30 08:03:56
카푸치노,28438,2024-12-30 01:50:56
카푸치노,4157,2024-12-30 08:07:56
케이크,26433,2024-12-29 19:30:56
아메리카노,17582,2024-12-29 18:25:56
아메리카노,16538,2024-12-29 18:03:56
아메리카노,9333,2024-12-30 03:41:56
아메리카노,13142,2024-12-30 13:27:56
아메리카노,24901,2024-12-30 11:32:56
아메리카노,15723,2024-12-30 03:41:56
케이크,18352,2024-12-29 20:09:56
카푸치노,12963,2024-12-30 07:56:56
카푸치노,11759,2024-12-29 22:59:56
카푸치노,12187,2024-12-30 02:27:56
케이크,4731,2024-12-29 20:08:56
카푸치노,11828,2024-12-30 05:51:56
카푸치노,11492,2024-12-30 03:22:56
카푸치노,11746,2024-12-29 17:53:56
카푸치노,9490,2024-12-29 18:38:56
케이크,28674,2024-12-30 00:02:56
아메리카노,13116,2024-12-30 13:46:56
아메리카노,18242,2024-12-29 17:34:56
아메리카노,8471,2024-12-29 23:13:56
케이크,11769,2024-12-29 23:23:56
아메리카노,2384,2024-12-30 08:42:56
카푸치노,27852,2024-12-30 04:59:56
카푸치노,19053,2024-12-30 03:05:56
케이크,28542,2024-12-30 04:00:56
아메리카노,8077,2024-12-29 19:20:56
아메리카노,2810,2024-12-30 16:55:56
케이크,6980,2024-12-30 13:51:56
아메리카노,23669,2024-12-29 23:12:56
아메리카노,27362,2024-12-30 04:46:56
카푸치노,26593,2024-12-30 02:37:56
케이크,27920,2024-12-30 14:15:56
케이크,10293,2024-12-30 03:20:56
카푸치노,20484,2024-12-30 13:19:56
카푸치노,27362,2024-12-30 04:16:56
아메리카노,8313,2024-12-30 02:40:56
아메리카노,8261,2024-12-29 19:20:56
케이크,20244,2024-12-30 09:32:56
아메리카노,25616,2024-12-30 14:52:56
카푸치노,21864,2024-12-30 00:12:56
아메리카노,3903,2024-12-30 04:11:56
케이크,3661,2024-12-29 20:59:56
카푸치노,7028,2024-12-30 10:10:56
카푸치노,11209,2024-12-30 09:15:56
카푸치노,19224,2024-12-29 23:24:56
카푸치노,15677,2024-12-29 22:25:56
카푸치노,9681,2024-12-30 17:11:56
카푸치노,17621,2024-12-30 09:42:56
카푸치노,12345,2024-12-30 13:45:56
카푸치노,2775,2024-12-29 19:27:56
