menu,price,order_time
케이크,13477,2024-12-30 03:59:56
아메리카노,25590,2024-12-29 21:36:56
카푸치노,15970,2024-12-30 04:14:56
케이크,21406,2024-12-30 14:14:56
케이크,11857,2024-12-30 16:24:56
카푸치노,22936,2024-12-29 20:37:56
케이크,18043,2024-12-29 22:29:56
카푸치노,10387,2024-12-30 15:13:56
아메리카노,28018,2024-12-30 02:00:56
카푸치노,11933,2024-12-30 05:08:56
아메리카노,16152,2024-12-30 07:21:56
아메리카노,20514,2024-12-30 12:33:56
케이크,1254,2024-12-30 17:08:56
케이크,14399,2024-12-29 18:37:56
케이크,6723,2024-12-29 18:38:56
케이크,8352,2024-12-29 21:31:56
아메리카노,20879,2024-12-30 03:05:56
케이크,10958,2024-12-30 12:18:56
케이크,2826,2024-12-30 12:49:56
케이크,8238,2024-12-30 09:19:56
카푸치노,20263,2024-12-30 07:40:56
카푸치노,6243,2024-12-29 19:28:56
카푸치노,28984,2024-12-30 00:47:56
케이크,17959,2024-12-30 06:23:56
아메리카노,27559,2024-12-30 12:19:56
아메리카노,5925,2024-12-30 03:12:56
아메리카노,12381,2024-12-30 04:03:56
케이크,15762,2024-12-30 12:04:56
카푸치노,21966,2024-12-30 16:10:56
카푸치노,2448,2024-12-30 08:22:56
아메리카노,11606,2024-12-29 18:24:56
케이크,14239,2024-12-30 14:26:56
케이크,13210,2024-12-30 11:25:56
카푸치노,25033,2024-12-30 10:09:56
아메리카노,25930,2024-12-30 12:08:56
카푸치노,28560,2024-12-29 20:47:56
카푸치노,15964,2024-12-30 09:56:56
케이크,16057,2024-12-30 16:06:56
케이크,5063,2024-12-30 01:05:56
아메리카노,14265,2024-12-30 02:42:56
케이크,15151,2024-12-29 19:49:56
아메리카노,17939,2024-12-30 13:58:56
아메리카노,16535,2024-12-29 20:19:56
아메리카노,10184,2024-12-29 18:07:56
아메리카노,2268,2024-12-30 08:03:56
아메리카노,14741,2024-12-29 19:11:56
아메리카노,17703,2024-12-29 20:07:56
아메리카노,28852,2024-12-30 04:08:56
아메리카노,24910,2024-12-30 14:58:56
케이크,16953,2024-12-30 16:28:56
카푸치노,10070,2024-12-30 16:53:56
카푸치노,26043,2024-12-30 16:50:56
아메리카노,28078,2024-12-29 21:55:56
아메리카노,3047,2024-12-30 00:58:56
아메리카노,21597,2024-12-30 12:11:56
카푸치노,5000,2024-12-30 09:37:56
아메리카노,14306,2024-12-30 09:13:56
케이크,13626,2024-12-30 16:17:56
케이크,24207,2024-12-30 02:55:56
케이크,1933,2024-12-29 20:07:56
카푸치노,7441,2024-12-30 14:13:56
카푸치노,24075,2024-12-30 03:32:56
카푸치노,7289,2024-12-30 11:54:56
아메리카노,7218,2024-12-30 14:37:56
케이크,20050,2024-12-30 08:29:56
아메리카노,26738,2024-12-30 07:09:56
카푸치노,18707,2024-12-29 18:34:56
케이크,24362,2024-12-30 12:59:56
아메리카노,24816,2024-12-30 14:20:56
아메리카노,25702,2024-12-30 09:43:56
케이크,19914,2024-12-29 21:10:56
아메리카노,28505,2024-12-30 16:09:56
카푸치노,10988,2024-12-29 21:06:56
케이크,5056,2024-12-29 21:39:56
아메리카노,29055,2024-12-29 21:28:56
케이크,17474,2024-12-30 13:01:56
아메리카노,3009,2024-12-30 00:07:56
카푸치노,26999,2024-12-30 07:26:56
아메리카노,13936,2024-12-29 23:13:56
카푸치노,11472,2024-12-30 07:08:56
케이크,27743,2024-12-30 02:20:56
아메리카노,18657,2024-12-30 08:16:56
카푸치노,9173,2024-12-30 11:57:56
케이크,26234,2024-12-30 16:09:56
카푸치노,12443,2024-12-29 23:02:56
케이크,5276,2024-12-29 19:46:56
카푸치노,24058,2024-12-30 05:14:56
아메리카노,4533,2024-12-30 00:07:56
케이크,4132,2024-12-30 00:13:56
카푸치노,6467,2024-12-30 12:39:56
케이크,21641,2024-12-30 16:49:56
아메리카노,3002,2024-12-30 00:33:56
카푸치노,28666,2024-12-30 07:46:56
카푸치노,15011,2024-12-30 13:41:56
카푸치노,23228,2024-12-29 18:39:56
카푸치노,11782,2024-12-30 04:48:56
아메리카노,11672,2024-12-30 05:12:56
카푸치노,29801,2024-12-29 21:23:56
아메리카노,22685,2024-12-30 02:33:56
케이크,11263,2024-12-29 18:23:56
