menu,price,order_time
도넛,18512,2024-12-30 00:00:56
크루아상,5513,2024-12-30 07:07:56
머핀,25178,2024-12-29 21:15:56
도넛,7528,2024-12-30 00:07:56
도넛,12544,2024-12-30 07:35:56
크루아상,21493,2024-12-29 20:53:56
머핀,19219,2024-12-30 10:31:56
크루아상,21056,2024-12-30 12:12:56
크루아상,16461,2024-12-30 04:22:56
머핀,13122,2024-12-30 08:42:56
크루아상,24984,2024-12-30 16:59:56
크루아상,11118,2024-12-30 11:36:56
크루아상,1715,2024-12-30 11:24:56
도넛,29810,2024-12-30 00:59:56
크루아상,13030,2024-12-30 14:05:56
도넛,10875,2024-12-30 14:17:56
머핀,15294,2024-12-30 11:34:56
크루아상,2332,2024-12-30 04:04:56
머핀,17624,2024-12-29 18:08:56
크루아상,22285,2024-12-30 12:29:56
도넛,22263,2024-12-30 07:43:56
도넛,10085,2024-12-30 04:36:56
도넛,6216,2024-12-29 21:55:56
머핀,21326,2024-12-30 12:37:56
머핀,13788,2024-12-30 16:48:56
크루아상,20220,2024-12-30 13:02:56
도넛,20861,2024-12-30 06:20:56
도넛,19694,2024-12-30 03:21:56
도넛,11068,2024-12-29 17:31:56
머핀,7126,2024-12-30 01:01:56
도넛,12699,2024-12-30 13:57:56
크루아상,26882,2024-12-30 14:57:56
머핀,4620,2024-12-30 00:38:56
도넛,15376,2024-12-30 07:36:56
도넛,23218,2024-12-30 05:21:56
도넛,29728,2024-12-30 05:48:56
크루아상,28669,2024-12-30 11:20:56
크루아상,9591,2024-12-30 11:59:56
도넛,1502,2024-12-30 12:06:56
머핀,26413,2024-12-30 11:55:56
도넛,6843,2024-12-29 22:58:56
크루아상,10626,2024-12-30 07:44:56
머핀,19668,2024-12-29 20:33:56
머핀,4462,2024-12-30 10:58:56
크루아상,22968,2024-12-30 03:45:56
도넛,23859,2024-12-29 18:33:56
머핀,4247,2024-12-30 03:12:56
크루아상,20758,2024-12-29 18:26:56
머핀,23978,2024-12-30 12:37:56
도넛,28699,2024-12-30 07:55:56
크루아상,22459,2024-12-30 01:52:56
크루아상,19937,2024-12-30 08:34:56
도넛,12454,2024-12-29 18:21:56
크루아상,22621,2024-12-30 03:16:56
머핀,16271,2024-12-30 16:17:56
도넛,26321,2024-12-29 23:17:56
머핀,25776,2024-12-29 22:11:56
크루아상,22836,2024-12-29 23:11:56
도넛,11035,2024-12-29 18:51:56
머핀,13080,2024-12-30 01:10:56
크루아상,22914,2024-12-30 08:54:56
크루아상,11855,2024-12-30 13:51:56
머핀,17229,2024-12-30 02:24:56
머핀,25201,2024-12-30 01:54:56
도넛,24019,2024-12-30 09:10:56
크루아상,10137,2024-12-30 04:10:56
도넛,1471,2024-12-30 12:12:56
도넛,14586,2024-12-30 04:13:56
도넛,11736,2024-12-30 04:48:56
머핀,26843,2024-12-30 07:58:56
머핀,25249,2024-12-30 03:55:56
도넛,2629,2024-12-30 17:21:56
도넛,4814,2024-12-30 16:55:56
머핀,26084,2024-12-30 00:57:56
도넛,25224,2024-12-29 19:16:56
도넛,15939,2024-12-30 10:19:56
머핀,18840,2024-12-29 19:44:56
크루아상,11997,2024-12-29 17:45:56
도넛,11855,2024-12-30 11:31:56
크루아상,13905,2024-12-30 03:38:56
크루아상,13952,2024-12-30 06:55:56
도넛,21783,2024-12-29 20:21:56
도넛,26524,2024-12-30 10:54:56
도넛,21478,2024-12-29 19:21:56
머핀,24204,2024-12-30 08:07:56
머핀,17361,2024-12-30 05:32:56
크루아상,21965,2024-12-29 21:40:56
머핀,12084,2024-12-30 08:05:56
크루아상,25689,2024-12-30 04:42:56
머핀,11003,2024-12-30 06:12:56
머핀,4090,2024-12-30 15:51:56
머핀,25527,2024-12-30 02:14:56
머핀,18019,2024-12-30 16:46:56
머핀,9282,2024-12-30 01:34:56
크루아상,7392,2024-12-30 07:25:56
머핀,14851,2024-12-30 00:37:56
크루아상,19366,2024-12-30 01:05:56
머핀,20714,2024-12-30 08:04:56
머핀,17191,2024-12-30 01:30:56
머핀,3793,2024-12-30 08:34:56
