menu,price,order_time
떡볶이,16601,2024-12-30 07:13:56
감자튀김,3943,2024-12-30 02:10:56
닭강정,26145,2024-12-30 05:09:56
닭강정,21167,2024-12-29 20:20:56
닭강정,3084,2024-12-29 23:15:56
떡볶이,19598,2024-12-30 06:23:56
닭강정,17546,2024-12-29 17:26:56
떡볶이,19843,2024-12-30 15:59:56
닭강정,16475,2024-12-29 17:32:56
감자튀김,16827,2024-12-30 04:36:56
감자튀김,22738,2024-12-30 07:01:56
닭강정,5348,2024-12-29 22:32:56
감자튀김,7017,2024-12-30 00:28:56
닭강정,15175,2024-12-30 09:44:56
감자튀김,2292,2024-12-30 11:40:56
떡볶이,10944,2024-12-29 19:06:56
닭강정,6922,2024-12-29 23:37:56
떡볶이,17807,2024-12-30 10:00:56
감자튀김,22363,2024-12-30 16:49:56
감자튀김,6471,2024-12-30 00:45:56
감자튀김,6971,2024-12-30 07:00:56
떡볶이,12093,2024-12-29 18:25:56
떡볶이,18139,2024-12-30 16:45:56
닭강정,6628,2024-12-30 02:54:56
감자튀김,24652,2024-12-30 01:52:56
감자튀김,25619,2024-12-30 02:07:56
닭강정,23616,2024-12-30 09:20:56
떡볶이,18608,2024-12-30 03:14:56
닭강정,22782,2024-12-30 05:09:56
닭강정,19183,2024-12-29 20:57:56
닭강정,13615,2024-12-30 16:22:56
감자튀김,19678,2024-12-30 04:25:56
감자튀김,29956,2024-12-30 03:48:56
감자튀김,23025,2024-12-29 23:06:56
닭강정,8635,2024-12-30 10:08:56
떡볶이,27094,2024-12-30 06:09:56
감자튀김,10403,2024-12-30 14:55:56
닭강정,7371,2024-12-30 11:52:56
떡볶이,12461,2024-12-30 10:26:56
감자튀김,16980,2024-12-30 05:20:56
감자튀김,4964,2024-12-29 18:58:56
떡볶이,8323,2024-12-30 13:48:56
떡볶이,24038,2024-12-29 22:44:56
닭강정,8428,2024-12-29 21:08:56
떡볶이,13120,2024-12-29 18:21:56
닭강정,16318,2024-12-30 05:15:56
감자튀김,6955,2024-12-30 01:34:56
감자튀김,6492,2024-12-30 03:14:56
감자튀김,1393,2024-12-30 06:18:56
떡볶이,24847,2024-12-30 09:51:56
떡볶이,13074,2024-12-29 21:21:56
감자튀김,1230,2024-12-29 19:34:56
떡볶이,24356,2024-12-29 19:49:56
떡볶이,4002,2024-12-30 06:45:56
떡볶이,15149,2024-12-29 21:45:56
떡볶이,12032,2024-12-30 16:55:56
닭강정,15549,2024-12-30 14:21:56
감자튀김,1776,2024-12-29 18:14:56
감자튀김,3098,2024-12-30 05:39:56
닭강정,24830,2024-12-29 22:57:56
감자튀김,8007,2024-12-30 09:24:56
감자튀김,6634,2024-12-30 12:32:56
감자튀김,23768,2024-12-30 02:15:56
닭강정,19025,2024-12-30 04:32:56
닭강정,20853,2024-12-29 23:54:56
닭강정,11549,2024-12-29 23:20:56
닭강정,1534,2024-12-30 13:28:56
떡볶이,8897,2024-12-30 13:04:56
감자튀김,8489,2024-12-29 22:43:56
감자튀김,27430,2024-12-30 01:43:56
닭강정,5015,2024-12-30 12:30:56
닭강정,23134,2024-12-30 08:06:56
닭강정,3531,2024-12-30 00:47:56
떡볶이,19984,2024-12-29 23:56:56
떡볶이,20229,2024-12-30 05:08:56
감자튀김,22994,2024-12-29 19:02:56
닭강정,13552,2024-12-29 20:25:56
닭강정,24471,2024-12-30 09:03:56
감자튀김,23320,2024-12-30 03:01:56
감자튀김,7986,2024-12-30 07:08:56
닭강정,6025,2024-12-29 17:51:56
감자튀김,20123,2024-12-30 15:42:56
닭강정,23235,2024-12-30 07:21:56
감자튀김,29037,2024-12-30 12:36:56
떡볶이,22412,2024-12-30 13:19:56
감자튀김,12671,2024-12-30 08:10:56
감자튀김,10761,2024-12-30 02:33:56
떡볶이,27277,2024-12-30 15:46:56
닭강정,11009,2024-12-30 10:19:56
감자튀김,21546,2024-12-30 16:24:56
닭강정,22135,2024-12-30 00:41:56
감자튀김,12901,2024-12-30 11:49:56
떡볶이,9667,2024-12-29 22:31:56
떡볶이,13458,2024-12-30 07:10:56
떡볶이,9629,2024-12-29 18:32:56
감자튀김,2534,2024-12-29 19:38:56
떡볶이,8888,2024-12-30 09:31:56
떡볶이,21327,2024-12-30 07:04:56
닭강정,19662,2024-12-29 20:57:56
닭강정,23908,2024-12-30 00:12:56
