menu,price,order_time
떡볶이,15996,2024-12-29 18:32:56
닭강정,22143,2024-12-30 04:10:56
감자튀김,11708,2024-12-29 19:35:56
감자튀김,19351,2024-12-30 03:23:56
감자튀김,11258,2024-12-30 00:45:56
닭강정,14458,2024-12-30 05:09:56
떡볶이,12432,2024-12-29 21:48:56
닭강정,15284,2024-12-29 21:08:56
감자튀김,24654,2024-12-30 02:54:56
닭강정,16137,2024-12-30 12:50:56
감자튀김,22731,2024-12-29 20:34:56
감자튀김,18216,2024-12-30 08:54:56
감자튀김,9460,2024-12-29 19:47:56
감자튀김,21630,2024-12-30 08:44:56
감자튀김,9017,2024-12-30 08:06:56
닭강정,16219,2024-12-30 05:56:56
떡볶이,23827,2024-12-30 09:32:56
떡볶이,19518,2024-12-30 13:12:56
감자튀김,10906,2024-12-29 22:32:56
감자튀김,15576,2024-12-29 19:10:56
닭강정,2708,2024-12-30 03:55:56
닭강정,12453,2024-12-30 04:41:56
감자튀김,13252,2024-12-29 20:13:56
떡볶이,6798,2024-12-29 21:18:56
닭강정,22214,2024-12-30 16:19:56
떡볶이,10297,2024-12-30 12:30:56
감자튀김,10695,2024-12-30 04:35:56
떡볶이,14098,2024-12-29 22:55:56
떡볶이,11143,2024-12-30 08:53:56
감자튀김,9314,2024-12-29 23:15:56
감자튀김,24284,2024-12-30 07:27:56
떡볶이,27816,2024-12-29 19:25:56
떡볶이,1103,2024-12-29 19:20:56
감자튀김,2609,2024-12-29 22:44:56
감자튀김,11578,2024-12-29 17:41:56
떡볶이,8097,2024-12-30 14:28:56
닭강정,26502,2024-12-29 21:26:56
닭강정,14804,2024-12-30 16:04:56
감자튀김,26614,2024-12-30 13:18:56
닭강정,1570,2024-12-30 04:53:56
닭강정,7869,2024-12-30 01:33:56
닭강정,22323,2024-12-30 06:43:56
감자튀김,11991,2024-12-30 09:50:56
떡볶이,17712,2024-12-30 06:59:56
닭강정,10565,2024-12-30 01:54:56
떡볶이,15455,2024-12-30 10:25:56
떡볶이,20600,2024-12-30 11:14:56
닭강정,28801,2024-12-30 16:12:56
감자튀김,16350,2024-12-30 13:46:56
닭강정,25118,2024-12-30 12:08:56
닭강정,18535,2024-12-29 23:10:56
떡볶이,5571,2024-12-30 06:24:56
떡볶이,23398,2024-12-30 12:06:56
감자튀김,16729,2024-12-30 00:24:56
떡볶이,2214,2024-12-30 13:44:56
닭강정,21135,2024-12-30 07:00:56
떡볶이,23828,2024-12-30 06:46:56
감자튀김,3926,2024-12-29 23:08:56
감자튀김,19394,2024-12-30 17:12:56
떡볶이,2983,2024-12-30 15:09:56
감자튀김,11532,2024-12-30 00:17:56
감자튀김,12961,2024-12-30 04:23:56
떡볶이,14871,2024-12-30 09:33:56
닭강정,15807,2024-12-29 18:23:56
닭강정,19715,2024-12-29 22:47:56
감자튀김,29129,2024-12-29 20:15:56
감자튀김,9659,2024-12-30 06:21:56
감자튀김,12072,2024-12-30 15:08:56
닭강정,28995,2024-12-30 10:28:56
떡볶이,15487,2024-12-29 21:02:56
닭강정,12726,2024-12-29 18:33:56
닭강정,22549,2024-12-29 18:45:56
닭강정,14105,2024-12-30 12:31:56
떡볶이,11767,2024-12-29 20:06:56
닭강정,27698,2024-12-29 23:57:56
닭강정,2131,2024-12-30 16:30:56
닭강정,10944,2024-12-30 16:08:56
감자튀김,1324,2024-12-30 08:20:56
떡볶이,7939,2024-12-30 09:20:56
닭강정,16845,2024-12-30 14:09:56
떡볶이,17190,2024-12-29 23:11:56
떡볶이,23654,2024-12-29 21:10:56
닭강정,15083,2024-12-29 20:40:56
닭강정,2807,2024-12-30 07:46:56
떡볶이,16667,2024-12-30 10:16:56
떡볶이,28255,2024-12-30 02:15:56
떡볶이,20295,2024-12-30 13:06:56
감자튀김,4729,2024-12-30 09:15:56
감자튀김,12742,2024-12-29 17:42:56
감자튀김,10806,2024-12-30 02:22:56
닭강정,14567,2024-12-30 03:41:56
감자튀김,10987,2024-12-30 03:44:56
닭강정,15125,2024-12-30 09:40:56
닭강정,17744,2024-12-30 11:12:56
감자튀김,19242,2024-12-30 06:53:56
떡볶이,7257,2024-12-29 21:14:56
닭강정,19309,2024-12-30 09:09:56
떡볶이,5889,2024-12-30 08:50:56
닭강정,20986,2024-12-30 06:42:56
감자튀김,20973,2024-12-29 20:10:56
