menu,price,order_time
케이크,17623,2024-12-29 17:24:56
카푸치노,7619,2024-12-30 00:22:56
케이크,5289,2024-12-30 06:47:56
아메리카노,15427,2024-12-30 03:17:56
카푸치노,7625,2024-12-30 04:27:56
카푸치노,3189,2024-12-29 23:28:56
카푸치노,7936,2024-12-30 14:42:56
케이크,6073,2024-12-30 07:38:56
아메리카노,3353,2024-12-30 02:39:56
아메리카노,12970,2024-12-29 21:35:56
케이크,24859,2024-12-30 08:21:56
아메리카노,14222,2024-12-30 16:00:56
케이크,27840,2024-12-29 18:12:56
아메리카노,18616,2024-12-29 20:12:56
아메리카노,10516,2024-12-30 09:28:56
카푸치노,28105,2024-12-30 10:01:56
카푸치노,23625,2024-12-29 18:04:56
아메리카노,18806,2024-12-29 22:34:56
카푸치노,23550,2024-12-30 07:37:56
카푸치노,2547,2024-12-29 21:22:56
케이크,6621,2024-12-30 14:47:56
카푸치노,12446,2024-12-30 07:07:56
카푸치노,15111,2024-12-30 00:39:56
케이크,28653,2024-12-30 16:24:56
카푸치노,29645,2024-12-30 06:21:56
케이크,3415,2024-12-30 05:01:56
케이크,9402,2024-12-30 02:11:56
아메리카노,28746,2024-12-29 23:10:56
케이크,16039,2024-12-30 16:57:56
케이크,11333,2024-12-29 22:48:56
카푸치노,15193,2024-12-30 08:55:56
아메리카노,7424,2024-12-29 22:49:56
아메리카노,19810,2024-12-30 04:00:56
아메리카노,26123,2024-12-30 01:51:56
카푸치노,25562,2024-12-29 17:27:56
아메리카노,9568,2024-12-30 11:22:56
케이크,3570,2024-12-30 17:07:56
케이크,29793,2024-12-29 21:03:56
케이크,29440,2024-12-30 07:37:56
케이크,15282,2024-12-30 05:10:56
아메리카노,14990,2024-12-30 13:18:56
카푸치노,21222,2024-12-29 20:47:56
케이크,14744,2024-12-30 11:25:56
아메리카노,18695,2024-12-29 17:28:56
카푸치노,6868,2024-12-30 09:50:56
케이크,22531,2024-12-30 16:46:56
카푸치노,7569,2024-12-30 04:14:56
아메리카노,25494,2024-12-30 07:55:56
케이크,19946,2024-12-30 06:04:56
아메리카노,17672,2024-12-30 13:58:56
아메리카노,6852,2024-12-30 02:01:56
케이크,16443,2024-12-29 23:19:56
카푸치노,25118,2024-12-30 13:02:56
아메리카노,28546,2024-12-30 02:37:56
카푸치노,1489,2024-12-30 01:06:56
아메리카노,9458,2024-12-30 15:56:56
케이크,6764,2024-12-30 06:27:56
카푸치노,2238,2024-12-30 12:36:56
아메리카노,19041,2024-12-30 03:36:56
아메리카노,13058,2024-12-30 13:11:56
카푸치노,10472,2024-12-30 16:36:56
아메리카노,18659,2024-12-30 01:52:56
아메리카노,16517,2024-12-29 22:40:56
카푸치노,17466,2024-12-30 12:00:56
아메리카노,11005,2024-12-30 15:46:56
케이크,25723,2024-12-29 20:58:56
케이크,8626,2024-12-30 16:31:56
아메리카노,1710,2024-12-30 04:22:56
케이크,11570,2024-12-30 09:00:56
케이크,28644,2024-12-30 06:40:56
케이크,19035,2024-12-30 09:08:56
카푸치노,3228,2024-12-30 13:57:56
카푸치노,12840,2024-12-30 10:43:56
케이크,20989,2024-12-29 22:02:56
케이크,26894,2024-12-30 15:18:56
케이크,10935,2024-12-30 17:21:56
카푸치노,29396,2024-12-30 06:16:56
아메리카노,6873,2024-12-30 12:12:56
케이크,29926,2024-12-30 11:59:56
케이크,26497,2024-12-30 16:38:56
아메리카노,1014,2024-12-30 08:41:56
케이크,10780,2024-12-30 10:37:56
카푸치노,3399,2024-12-30 02:43:56
카푸치노,25724,2024-12-29 23:48:56
아메리카노,12741,2024-12-30 15:43:56
아메리카노,15598,2024-12-30 03:42:56
카푸치노,29294,2024-12-29 23:58:56
카푸치노,23014,2024-12-30 02:17:56
카푸치노,18512,2024-12-29 21:45:56
아메리카노,6697,2024-12-30 09:52:56
아메리카노,20245,2024-12-30 06:42:56
카푸치노,22405,2024-12-30 10:40:56
케이크,22295,2024-12-30 04:25:56
아메리카노,12764,2024-12-30 14:27:56
케이크,23830,2024-12-30 08:26:56
카푸치노,28770,2024-12-29 17:45:56
케이크,15252,2024-12-29 22:17:56
케이크,16594,2024-12-30 04:24:56
아메리카노,1375,2024-12-29 21:19:56
아메리카노,9342,2024-12-30 13:48:56
