menu,price,order_time
참치회,5214,2024-12-30 12:12:56
광어회,3955,2024-12-30 09:20:56
연어초밥,8587,2024-12-30 10:13:56
광어회,23562,2024-12-30 12:00:56
연어초밥,12969,2024-12-30 04:57:56
참치회,10440,2024-12-29 19:01:56
참치회,16345,2024-12-30 09:10:56
참치회,5097,2024-12-30 06:52:56
참치회,5219,2024-12-29 23:48:56
연어초밥,4604,2024-12-30 08:57:56
연어초밥,19213,2024-12-30 04:15:56
광어회,19633,2024-12-30 01:43:56
연어초밥,12118,2024-12-30 06:05:56
참치회,9022,2024-12-30 07:43:56
광어회,20970,2024-12-30 14:33:56
참치회,25286,2024-12-30 16:43:56
참치회,18108,2024-12-30 08:13:56
참치회,25923,2024-12-29 18:38:56
참치회,23907,2024-12-30 11:36:56
참치회,8043,2024-12-30 01:15:56
연어초밥,7778,2024-12-30 13:17:56
참치회,1573,2024-12-30 13:52:56
연어초밥,20725,2024-12-30 04:59:56
참치회,22170,2024-12-30 14:07:56
참치회,1062,2024-12-30 06:50:56
연어초밥,17356,2024-12-30 13:35:56
연어초밥,8039,2024-12-29 19:44:56
연어초밥,27039,2024-12-29 22:25:56
참치회,3474,2024-12-30 11:52:56
참치회,21855,2024-12-30 13:25:56
연어초밥,23221,2024-12-30 16:06:56
광어회,13291,2024-12-30 13:34:56
광어회,25305,2024-12-30 09:29:56
참치회,7939,2024-12-30 16:56:56
연어초밥,3445,2024-12-29 21:22:56
참치회,25657,2024-12-30 08:44:56
연어초밥,19165,2024-12-29 21:20:56
참치회,13896,2024-12-30 13:03:56
연어초밥,22051,2024-12-30 01:16:56
광어회,4088,2024-12-30 08:05:56
연어초밥,3998,2024-12-29 23:05:56
참치회,12828,2024-12-30 05:31:56
연어초밥,20596,2024-12-30 10:55:56
광어회,26532,2024-12-30 08:56:56
참치회,1403,2024-12-29 17:49:56
광어회,9308,2024-12-30 00:17:56
연어초밥,3657,2024-12-30 08:55:56
광어회,13580,2024-12-30 13:43:56
연어초밥,28827,2024-12-30 07:12:56
참치회,21238,2024-12-30 11:41:56
연어초밥,9014,2024-12-29 18:22:56
연어초밥,22431,2024-12-30 11:52:56
광어회,12740,2024-12-30 01:16:56
광어회,6911,2024-12-30 15:32:56
참치회,14385,2024-12-29 20:22:56
참치회,21680,2024-12-30 12:13:56
참치회,3077,2024-12-30 16:58:56
연어초밥,18061,2024-12-30 16:30:56
연어초밥,4274,2024-12-29 18:12:56
연어초밥,3926,2024-12-30 00:50:56
참치회,26608,2024-12-30 01:08:56
연어초밥,11648,2024-12-30 15:54:56
참치회,13542,2024-12-29 21:53:56
광어회,21498,2024-12-30 08:44:56
참치회,3187,2024-12-29 19:53:56
연어초밥,4118,2024-12-30 04:55:56
광어회,18044,2024-12-30 11:03:56
광어회,22001,2024-12-30 14:30:56
광어회,12954,2024-12-30 11:20:56
연어초밥,17705,2024-12-30 02:56:56
광어회,15643,2024-12-30 17:16:56
연어초밥,20162,2024-12-30 16:52:56
참치회,23874,2024-12-30 13:27:56
참치회,4035,2024-12-30 01:10:56
광어회,8982,2024-12-29 18:06:56
연어초밥,9098,2024-12-30 09:32:56
연어초밥,5294,2024-12-30 09:12:56
연어초밥,29733,2024-12-30 13:17:56
광어회,15277,2024-12-30 08:48:56
광어회,1822,2024-12-30 14:10:56
광어회,17109,2024-12-30 06:23:56
연어초밥,8043,2024-12-30 17:16:56
참치회,19927,2024-12-30 03:30:56
연어초밥,4262,2024-12-30 03:50:56
참치회,8033,2024-12-30 04:07:56
참치회,29339,2024-12-30 10:11:56
연어초밥,25913,2024-12-30 01:02:56
참치회,1777,2024-12-30 09:35:56
광어회,9504,2024-12-29 20:11:56
광어회,2347,2024-12-30 15:38:56
참치회,7261,2024-12-29 23:31:56
연어초밥,17897,2024-12-30 07:04:56
광어회,13756,2024-12-29 20:52:56
연어초밥,26213,2024-12-30 04:46:56
광어회,10198,2024-12-30 12:42:56
참치회,20110,2024-12-30 15:18:56
광어회,6076,2024-12-30 09:08:56
참치회,22983,2024-12-29 18:00:56
연어초밥,23955,2024-12-30 07:57:56
광어회,12785,2024-12-30 07:38:56
