menu,price,order_time
케이크,24369,2024-12-29 18:37:56
아메리카노,7963,2024-12-30 12:24:56
케이크,2808,2024-12-29 21:53:56
카푸치노,3114,2024-12-30 11:22:56
카푸치노,26007,2024-12-30 15:01:56
아메리카노,27819,2024-12-30 09:10:56
아메리카노,4708,2024-12-30 11:15:56
아메리카노,24731,2024-12-30 14:59:56
케이크,27919,2024-12-30 08:32:56
카푸치노,21258,2024-12-30 14:09:56
케이크,24483,2024-12-30 12:27:56
카푸치노,13279,2024-12-29 19:34:56
케이크,2275,2024-12-30 05:49:56
아메리카노,27215,2024-12-30 13:58:56
카푸치노,9275,2024-12-30 16:00:56
케이크,21687,2024-12-30 06:29:56
아메리카노,4195,2024-12-30 14:45:56
카푸치노,25698,2024-12-29 18:15:56
카푸치노,27592,2024-12-30 03:38:56
아메리카노,8702,2024-12-29 20:27:56
아메리카노,11410,2024-12-30 16:47:56
아메리카노,16461,2024-12-30 14:35:56
케이크,1323,2024-12-30 04:54:56
아메리카노,10345,2024-12-30 09:51:56
아메리카노,15719,2024-12-30 16:59:56
카푸치노,12108,2024-12-30 12:21:56
카푸치노,10700,2024-12-30 01:21:56
케이크,16206,2024-12-30 01:30:56
케이크,27422,2024-12-30 07:37:56
아메리카노,14167,2024-12-30 06:44:56
아메리카노,13254,2024-12-29 21:31:56
아메리카노,3464,2024-12-29 18:59:56
카푸치노,16709,2024-12-30 10:43:56
케이크,23454,2024-12-30 12:47:56
카푸치노,28955,2024-12-30 14:37:56
카푸치노,5136,2024-12-30 02:24:56
아메리카노,10516,2024-12-30 01:17:56
카푸치노,23129,2024-12-30 05:00:56
케이크,9487,2024-12-29 19:50:56
아메리카노,17901,2024-12-29 18:40:56
아메리카노,20273,2024-12-30 14:17:56
케이크,4864,2024-12-30 10:20:56
카푸치노,21973,2024-12-29 19:24:56
케이크,9995,2024-12-30 10:10:56
카푸치노,8929,2024-12-29 20:30:56
카푸치노,17553,2024-12-29 23:46:56
케이크,23249,2024-12-29 22:28:56
카푸치노,8578,2024-12-30 09:42:56
아메리카노,18701,2024-12-29 23:05:56
케이크,3927,2024-12-30 01:31:56
카푸치노,16125,2024-12-29 23:12:56
아메리카노,1532,2024-12-30 11:44:56
케이크,25734,2024-12-30 08:49:56
아메리카노,20805,2024-12-30 11:18:56
아메리카노,1418,2024-12-29 19:11:56
아메리카노,24837,2024-12-30 16:48:56
아메리카노,5680,2024-12-30 14:50:56
케이크,12183,2024-12-29 17:57:56
카푸치노,4321,2024-12-30 09:12:56
카푸치노,11754,2024-12-30 03:24:56
케이크,17724,2024-12-30 16:33:56
카푸치노,13902,2024-12-30 15:21:56
케이크,28322,2024-12-30 16:26:56
카푸치노,17894,2024-12-30 16:58:56
아메리카노,18639,2024-12-30 16:57:56
카푸치노,28397,2024-12-30 02:34:56
아메리카노,21228,2024-12-29 20:49:56
카푸치노,6901,2024-12-29 19:00:56
케이크,6234,2024-12-30 02:04:56
카푸치노,4877,2024-12-30 17:11:56
케이크,26654,2024-12-30 13:22:56
카푸치노,8155,2024-12-30 00:59:56
아메리카노,20625,2024-12-29 18:31:56
케이크,4883,2024-12-29 22:17:56
카푸치노,7656,2024-12-30 10:47:56
케이크,8028,2024-12-29 20:35:56
아메리카노,10917,2024-12-30 13:26:56
케이크,15086,2024-12-29 21:52:56
카푸치노,9357,2024-12-30 13:04:56
케이크,5636,2024-12-30 05:19:56
아메리카노,16044,2024-12-30 00:24:56
아메리카노,1988,2024-12-29 19:22:56
아메리카노,28486,2024-12-29 17:59:56
케이크,16546,2024-12-29 19:31:56
케이크,20113,2024-12-29 23:15:56
카푸치노,14217,2024-12-30 10:05:56
케이크,28449,2024-12-29 17:40:56
아메리카노,19165,2024-12-30 02:03:56
카푸치노,8206,2024-12-30 00:06:56
아메리카노,9624,2024-12-30 12:03:56
아메리카노,9889,2024-12-30 06:01:56
케이크,1620,2024-12-29 19:43:56
케이크,18705,2024-12-29 22:21:56
아메리카노,23965,2024-12-30 02:04:56
카푸치노,16606,2024-12-30 17:13:56
아메리카노,21471,2024-12-30 16:52:56
케이크,1708,2024-12-29 23:14:56
카푸치노,2266,2024-12-30 16:59:56
아메리카노,3105,2024-12-29 22:39:56
케이크,25621,2024-12-30 03:56:56
