menu,price,order_time
도넛,4700,2024-12-29 17:53:56
크루아상,9410,2024-12-30 03:43:56
도넛,9514,2024-12-30 02:40:56
크루아상,2675,2024-12-30 09:39:56
크루아상,11015,2024-12-29 23:48:56
도넛,17623,2024-12-30 05:31:56
크루아상,7906,2024-12-29 18:13:56
머핀,11720,2024-12-30 11:50:56
도넛,15646,2024-12-30 13:34:56
도넛,8152,2024-12-29 23:59:56
머핀,12102,2024-12-29 19:09:56
머핀,5819,2024-12-30 06:11:56
크루아상,2947,2024-12-29 18:24:56
머핀,29938,2024-12-30 08:27:56
머핀,12058,2024-12-30 12:23:56
머핀,10819,2024-12-29 17:37:56
머핀,25646,2024-12-29 23:50:56
크루아상,17110,2024-12-30 05:06:56
도넛,17545,2024-12-29 20:22:56
머핀,7802,2024-12-29 18:14:56
도넛,20763,2024-12-29 18:13:56
도넛,23928,2024-12-30 00:16:56
도넛,17325,2024-12-30 03:25:56
크루아상,6704,2024-12-30 12:21:56
크루아상,24557,2024-12-30 14:23:56
머핀,6655,2024-12-30 13:08:56
도넛,23694,2024-12-30 09:09:56
도넛,13956,2024-12-30 16:08:56
크루아상,20953,2024-12-30 13:14:56
머핀,28182,2024-12-29 22:01:56
크루아상,3318,2024-12-30 14:52:56
크루아상,11273,2024-12-30 02:35:56
크루아상,19047,2024-12-30 06:26:56
머핀,8289,2024-12-30 04:47:56
머핀,14616,2024-12-29 21:30:56
머핀,3390,2024-12-30 00:53:56
크루아상,7090,2024-12-30 15:16:56
머핀,24809,2024-12-29 18:14:56
크루아상,18139,2024-12-30 01:13:56
머핀,13843,2024-12-30 14:30:56
크루아상,1204,2024-12-29 21:06:56
크루아상,27970,2024-12-29 19:29:56
도넛,21460,2024-12-29 21:10:56
머핀,9132,2024-12-30 06:05:56
크루아상,21005,2024-12-30 04:37:56
도넛,25255,2024-12-29 22:28:56
도넛,29014,2024-12-30 06:18:56
머핀,24038,2024-12-29 19:27:56
크루아상,12193,2024-12-30 17:13:56
크루아상,29241,2024-12-30 10:29:56
도넛,28549,2024-12-30 01:32:56
도넛,18937,2024-12-30 15:35:56
도넛,16530,2024-12-30 14:44:56
머핀,15526,2024-12-29 20:19:56
머핀,25704,2024-12-30 10:02:56
도넛,24728,2024-12-30 17:16:56
머핀,8134,2024-12-30 09:06:56
도넛,17737,2024-12-29 18:31:56
크루아상,7964,2024-12-30 13:31:56
크루아상,7753,2024-12-30 13:05:56
머핀,10792,2024-12-30 03:19:56
머핀,17675,2024-12-30 04:46:56
도넛,12444,2024-12-30 13:56:56
도넛,1524,2024-12-29 22:54:56
도넛,28197,2024-12-30 04:15:56
크루아상,8315,2024-12-29 19:03:56
도넛,4073,2024-12-30 05:36:56
도넛,5376,2024-12-30 05:21:56
크루아상,14944,2024-12-30 05:23:56
도넛,1567,2024-12-29 22:29:56
크루아상,28098,2024-12-30 14:41:56
머핀,9271,2024-12-30 04:51:56
머핀,25597,2024-12-29 23:43:56
크루아상,6197,2024-12-30 10:25:56
머핀,16547,2024-12-30 08:02:56
크루아상,27896,2024-12-30 03:27:56
도넛,29137,2024-12-30 02:26:56
도넛,3228,2024-12-29 17:59:56
크루아상,1536,2024-12-30 04:14:56
머핀,28888,2024-12-30 14:03:56
도넛,29679,2024-12-29 21:46:56
크루아상,1885,2024-12-30 01:29:56
머핀,6951,2024-12-30 11:10:56
머핀,15320,2024-12-30 05:29:56
머핀,25094,2024-12-30 08:23:56
크루아상,27307,2024-12-30 09:59:56
크루아상,25331,2024-12-30 04:06:56
크루아상,23548,2024-12-29 18:09:56
도넛,28364,2024-12-30 15:41:56
머핀,15735,2024-12-30 11:55:56
크루아상,17838,2024-12-30 11:52:56
크루아상,15483,2024-12-30 16:24:56
크루아상,18471,2024-12-29 21:20:56
도넛,8025,2024-12-30 16:32:56
도넛,3031,2024-12-30 06:47:56
머핀,8217,2024-12-30 13:03:56
크루아상,2457,2024-12-30 02:07:56
머핀,3239,2024-12-30 12:14:56
머핀,13942,2024-12-29 20:17:56
크루아상,3960,2024-12-29 17:32:56
