menu,price,order_time
연어초밥,27259,2024-12-30 12:22:56
연어초밥,9865,2024-12-29 21:55:56
연어초밥,20934,2024-12-30 15:13:56
연어초밥,22869,2024-12-30 03:51:56
참치회,1048,2024-12-30 12:50:56
참치회,1030,2024-12-30 12:43:56
연어초밥,16176,2024-12-30 15:29:56
연어초밥,18345,2024-12-30 00:51:56
연어초밥,18296,2024-12-30 16:40:56
연어초밥,27777,2024-12-29 20:59:56
참치회,1698,2024-12-30 00:18:56
참치회,1821,2024-12-30 13:43:56
연어초밥,21353,2024-12-30 08:53:56
연어초밥,12179,2024-12-30 16:57:56
연어초밥,23059,2024-12-29 22:32:56
광어회,18595,2024-12-30 07:35:56
광어회,5489,2024-12-30 15:13:56
참치회,5326,2024-12-29 19:05:56
연어초밥,2252,2024-12-30 15:57:56
연어초밥,23323,2024-12-30 01:48:56
연어초밥,23585,2024-12-30 14:19:56
참치회,9243,2024-12-30 00:54:56
참치회,5769,2024-12-30 15:54:56
광어회,14565,2024-12-29 17:31:56
광어회,26504,2024-12-30 02:39:56
연어초밥,12591,2024-12-30 12:26:56
참치회,17001,2024-12-30 16:00:56
참치회,8257,2024-12-30 06:01:56
광어회,22694,2024-12-29 23:51:56
참치회,5317,2024-12-30 03:25:56
광어회,27034,2024-12-30 10:32:56
광어회,26386,2024-12-29 18:47:56
광어회,10168,2024-12-29 19:12:56
광어회,21525,2024-12-30 11:33:56
연어초밥,20805,2024-12-29 21:48:56
광어회,24203,2024-12-29 18:21:56
참치회,19498,2024-12-29 18:35:56
참치회,26010,2024-12-30 06:22:56
광어회,1782,2024-12-30 03:58:56
연어초밥,21955,2024-12-30 03:29:56
광어회,12096,2024-12-29 19:25:56
참치회,25497,2024-12-30 01:19:56
참치회,22399,2024-12-29 19:58:56
연어초밥,1583,2024-12-29 18:29:56
참치회,1181,2024-12-30 13:20:56
연어초밥,24092,2024-12-30 08:01:56
광어회,6322,2024-12-30 11:28:56
참치회,8921,2024-12-30 15:55:56
연어초밥,11143,2024-12-30 16:52:56
참치회,1535,2024-12-30 11:39:56
연어초밥,14087,2024-12-29 21:03:56
광어회,22361,2024-12-30 03:14:56
연어초밥,29187,2024-12-30 16:19:56
연어초밥,17700,2024-12-30 07:06:56
광어회,24098,2024-12-30 07:19:56
광어회,2704,2024-12-30 08:55:56
광어회,12780,2024-12-30 02:22:56
광어회,16544,2024-12-30 10:05:56
연어초밥,3964,2024-12-30 14:12:56
연어초밥,12285,2024-12-30 02:36:56
참치회,10567,2024-12-30 01:44:56
참치회,9654,2024-12-29 21:09:56
연어초밥,26532,2024-12-29 17:38:56
참치회,29101,2024-12-29 23:10:56
참치회,14417,2024-12-29 21:16:56
광어회,16358,2024-12-30 06:24:56
참치회,8073,2024-12-30 01:46:56
광어회,15778,2024-12-29 17:31:56
광어회,11023,2024-12-30 07:28:56
참치회,4281,2024-12-30 03:45:56
참치회,15779,2024-12-30 03:02:56
참치회,16559,2024-12-30 15:27:56
연어초밥,2865,2024-12-29 18:11:56
참치회,10977,2024-12-30 12:10:56
연어초밥,16886,2024-12-29 21:13:56
광어회,19175,2024-12-30 15:03:56
연어초밥,18277,2024-12-29 21:38:56
참치회,25180,2024-12-29 23:19:56
참치회,2783,2024-12-30 13:07:56
광어회,17410,2024-12-30 01:45:56
참치회,8348,2024-12-30 01:13:56
연어초밥,17443,2024-12-30 14:37:56
참치회,3640,2024-12-30 11:10:56
연어초밥,13684,2024-12-30 16:56:56
광어회,26015,2024-12-30 13:11:56
참치회,20387,2024-12-30 11:49:56
연어초밥,27650,2024-12-30 11:04:56
연어초밥,9668,2024-12-30 16:31:56
광어회,22987,2024-12-30 08:35:56
광어회,16993,2024-12-30 14:27:56
연어초밥,6027,2024-12-30 01:32:56
광어회,24128,2024-12-30 12:31:56
참치회,17808,2024-12-30 09:00:56
참치회,4307,2024-12-29 17:59:56
참치회,17978,2024-12-29 17:43:56
연어초밥,20803,2024-12-29 19:04:56
참치회,6653,2024-12-29 21:43:56
연어초밥,1750,2024-12-29 20:43:56
광어회,1234,2024-12-29 23:39:56
참치회,14273,2024-12-30 07:31:56
