menu,price,order_time
떡볶이,16881,2024-12-30 07:30:57
닭강정,29181,2024-12-30 16:28:57
감자튀김,10673,2024-12-30 10:32:57
떡볶이,15282,2024-12-30 12:28:57
감자튀김,9583,2024-12-30 16:40:57
닭강정,4411,2024-12-30 12:14:57
닭강정,22127,2024-12-30 16:37:57
닭강정,17646,2024-12-30 15:05:57
닭강정,29060,2024-12-29 23:29:57
감자튀김,25148,2024-12-29 23:11:57
떡볶이,8877,2024-12-30 10:38:57
닭강정,17246,2024-12-30 12:06:57
감자튀김,19522,2024-12-29 20:51:57
떡볶이,15523,2024-12-30 11:43:57
닭강정,3090,2024-12-30 07:08:57
감자튀김,13868,2024-12-30 02:42:57
닭강정,13354,2024-12-30 02:10:57
닭강정,22978,2024-12-30 16:20:57
닭강정,27137,2024-12-30 16:04:57
닭강정,2919,2024-12-29 19:22:57
감자튀김,1265,2024-12-30 13:59:57
닭강정,8957,2024-12-29 22:53:57
감자튀김,4494,2024-12-29 23:21:57
닭강정,27145,2024-12-30 15:28:57
닭강정,2051,2024-12-30 05:22:57
닭강정,17082,2024-12-29 22:56:57
감자튀김,22259,2024-12-29 22:30:57
감자튀김,4568,2024-12-30 10:51:57
닭강정,2507,2024-12-30 09:48:57
감자튀김,7068,2024-12-30 16:14:57
닭강정,1930,2024-12-30 10:14:57
떡볶이,22925,2024-12-29 21:27:57
감자튀김,3020,2024-12-29 21:23:57
떡볶이,4178,2024-12-30 10:43:57
떡볶이,16313,2024-12-30 05:38:57
닭강정,2873,2024-12-30 07:22:57
떡볶이,22610,2024-12-29 19:46:57
떡볶이,25674,2024-12-30 16:24:57
닭강정,29846,2024-12-30 15:44:57
닭강정,13758,2024-12-30 01:46:57
감자튀김,10373,2024-12-30 07:49:57
닭강정,1666,2024-12-29 20:33:57
떡볶이,20241,2024-12-30 02:06:57
감자튀김,19505,2024-12-29 23:10:57
닭강정,10478,2024-12-29 18:39:57
감자튀김,3041,2024-12-29 22:53:57
감자튀김,7784,2024-12-30 08:05:57
감자튀김,10803,2024-12-30 08:38:57
떡볶이,14125,2024-12-30 07:43:57
떡볶이,12101,2024-12-30 01:16:57
감자튀김,25933,2024-12-30 13:59:57
감자튀김,20502,2024-12-30 11:01:57
떡볶이,29157,2024-12-29 20:50:57
떡볶이,11567,2024-12-30 12:03:57
감자튀김,27098,2024-12-30 11:37:57
떡볶이,29395,2024-12-30 01:28:57
닭강정,26128,2024-12-30 09:26:57
닭강정,8055,2024-12-30 00:16:57
떡볶이,23223,2024-12-30 03:50:57
감자튀김,18769,2024-12-30 03:09:57
닭강정,28908,2024-12-30 06:56:57
떡볶이,3664,2024-12-30 03:38:57
감자튀김,17353,2024-12-30 13:35:57
닭강정,26126,2024-12-30 01:32:57
닭강정,24813,2024-12-30 16:34:57
떡볶이,16325,2024-12-30 02:43:57
감자튀김,10829,2024-12-29 18:49:57
감자튀김,10751,2024-12-30 14:33:57
감자튀김,28380,2024-12-29 17:42:57
감자튀김,28150,2024-12-30 08:03:57
닭강정,3269,2024-12-30 14:22:57
감자튀김,4522,2024-12-30 00:18:57
감자튀김,2165,2024-12-30 12:54:57
닭강정,15393,2024-12-29 22:32:57
떡볶이,25277,2024-12-30 04:09:57
감자튀김,29513,2024-12-29 20:40:57
감자튀김,29409,2024-12-30 14:06:57
떡볶이,3131,2024-12-30 03:58:57
닭강정,7980,2024-12-30 16:25:57
감자튀김,11607,2024-12-30 14:32:57
감자튀김,11259,2024-12-30 15:04:57
떡볶이,8440,2024-12-30 12:55:57
감자튀김,29804,2024-12-30 04:03:57
감자튀김,13400,2024-12-29 21:52:57
닭강정,3776,2024-12-30 16:34:57
닭강정,23259,2024-12-29 22:03:57
떡볶이,13003,2024-12-30 13:08:57
감자튀김,21707,2024-12-30 03:17:57
떡볶이,20748,2024-12-29 17:50:57
닭강정,19400,2024-12-29 22:36:57
떡볶이,15716,2024-12-29 20:27:57
떡볶이,4699,2024-12-30 13:15:57
감자튀김,22541,2024-12-29 17:31:57
떡볶이,2058,2024-12-30 14:46:57
감자튀김,5144,2024-12-30 15:18:57
떡볶이,5262,2024-12-29 18:49:57
닭강정,1947,2024-12-30 05:43:57
닭강정,22439,2024-12-30 03:44:57
닭강정,11758,2024-12-29 20:49:57
닭강정,4536,2024-12-30 09:21:57
