menu,price,order_time
아메리카노,2865,2024-12-29 20:17:56
케이크,5302,2024-12-30 15:22:56
카푸치노,27536,2024-12-29 17:33:56
케이크,6352,2024-12-30 05:58:56
카푸치노,29540,2024-12-30 07:57:56
아메리카노,10029,2024-12-30 02:54:56
아메리카노,9251,2024-12-29 23:38:56
아메리카노,2762,2024-12-30 11:21:56
케이크,16657,2024-12-30 09:58:56
아메리카노,14829,2024-12-29 22:12:56
아메리카노,11894,2024-12-30 10:45:56
케이크,24935,2024-12-30 02:20:56
케이크,21327,2024-12-30 07:16:56
케이크,20943,2024-12-30 00:43:56
케이크,10813,2024-12-30 05:08:56
케이크,12925,2024-12-30 02:35:56
케이크,19707,2024-12-29 21:47:56
아메리카노,19846,2024-12-30 07:09:56
아메리카노,19908,2024-12-30 00:04:56
카푸치노,7041,2024-12-30 11:39:56
아메리카노,10897,2024-12-30 08:27:56
아메리카노,8408,2024-12-29 18:37:56
아메리카노,22755,2024-12-30 04:09:56
카푸치노,3020,2024-12-29 19:15:56
카푸치노,8245,2024-12-30 02:04:56
케이크,6489,2024-12-30 12:52:56
카푸치노,11333,2024-12-30 14:48:56
카푸치노,29877,2024-12-30 13:32:56
케이크,28882,2024-12-29 17:32:56
카푸치노,6944,2024-12-29 18:08:56
카푸치노,27240,2024-12-30 13:59:56
카푸치노,27105,2024-12-30 03:23:56
아메리카노,3392,2024-12-30 08:15:56
케이크,3034,2024-12-30 06:24:56
아메리카노,15332,2024-12-29 23:09:56
카푸치노,21171,2024-12-29 23:17:56
케이크,14014,2024-12-30 15:11:56
카푸치노,24953,2024-12-30 15:29:56
아메리카노,12507,2024-12-30 08:10:56
케이크,2096,2024-12-30 01:03:56
카푸치노,14199,2024-12-30 09:19:56
카푸치노,12787,2024-12-30 01:28:56
케이크,10463,2024-12-30 12:32:56
카푸치노,29104,2024-12-30 17:06:56
아메리카노,19961,2024-12-30 05:24:56
케이크,29931,2024-12-30 16:08:56
케이크,27271,2024-12-30 02:14:56
케이크,28603,2024-12-29 23:40:56
아메리카노,18322,2024-12-30 07:34:56
카푸치노,17478,2024-12-30 10:32:56
아메리카노,21439,2024-12-30 04:56:56
카푸치노,6689,2024-12-30 11:23:56
아메리카노,24730,2024-12-30 01:03:56
케이크,1926,2024-12-29 22:12:56
아메리카노,27958,2024-12-30 14:25:56
케이크,25523,2024-12-30 15:26:56
카푸치노,13287,2024-12-30 14:23:56
아메리카노,23109,2024-12-29 19:29:56
케이크,14234,2024-12-29 20:11:56
아메리카노,2838,2024-12-30 17:14:56
케이크,7091,2024-12-30 01:57:56
케이크,24887,2024-12-30 00:24:56
케이크,5249,2024-12-29 21:00:56
아메리카노,16709,2024-12-30 01:42:56
케이크,19202,2024-12-29 19:40:56
케이크,10859,2024-12-30 12:52:56
카푸치노,9594,2024-12-29 17:43:56
카푸치노,27492,2024-12-30 12:37:56
아메리카노,28614,2024-12-29 23:13:56
카푸치노,29424,2024-12-30 04:40:56
케이크,13584,2024-12-30 07:28:56
카푸치노,26580,2024-12-30 16:17:56
아메리카노,24186,2024-12-29 23:19:56
아메리카노,16594,2024-12-30 11:59:56
아메리카노,25587,2024-12-30 04:16:56
아메리카노,20906,2024-12-30 12:10:56
아메리카노,12082,2024-12-30 06:24:56
케이크,10970,2024-12-29 20:05:56
케이크,23057,2024-12-29 18:19:56
카푸치노,29103,2024-12-30 17:11:56
케이크,16019,2024-12-29 19:20:56
케이크,17581,2024-12-30 07:45:56
카푸치노,8511,2024-12-29 19:53:56
아메리카노,20197,2024-12-29 19:39:56
아메리카노,2389,2024-12-29 21:36:56
아메리카노,22212,2024-12-30 13:52:56
케이크,3221,2024-12-30 06:00:56
케이크,27719,2024-12-30 01:30:56
아메리카노,26521,2024-12-30 02:42:56
아메리카노,15109,2024-12-30 05:07:56
카푸치노,3902,2024-12-29 21:50:56
카푸치노,15040,2024-12-29 22:47:56
카푸치노,9931,2024-12-30 13:24:56
아메리카노,7995,2024-12-30 00:19:56
카푸치노,15844,2024-12-30 06:16:56
아메리카노,5841,2024-12-30 10:46:56
케이크,21976,2024-12-30 09:16:56
카푸치노,20802,2024-12-30 04:10:56
카푸치노,23906,2024-12-29 23:22:56
아메리카노,29315,2024-12-29 21:55:56
