menu,price,order_time
카푸치노,27219,2024-12-30 14:13:56
카푸치노,22742,2024-12-30 05:37:56
아메리카노,7957,2024-12-30 04:46:56
카푸치노,20194,2024-12-29 20:10:56
아메리카노,7028,2024-12-30 04:42:56
카푸치노,8663,2024-12-30 15:57:56
아메리카노,15403,2024-12-29 23:43:56
아메리카노,12984,2024-12-29 18:49:56
케이크,7518,2024-12-30 14:59:56
아메리카노,13478,2024-12-30 05:20:56
아메리카노,26286,2024-12-30 09:02:56
케이크,14127,2024-12-30 02:13:56
케이크,24309,2024-12-30 06:37:56
아메리카노,23367,2024-12-30 01:46:56
케이크,12179,2024-12-29 22:48:56
아메리카노,16193,2024-12-29 23:29:56
아메리카노,24689,2024-12-30 16:35:56
아메리카노,24550,2024-12-29 18:34:56
케이크,17694,2024-12-30 14:09:56
케이크,26321,2024-12-30 04:32:56
카푸치노,8391,2024-12-30 00:58:56
카푸치노,9131,2024-12-29 19:01:56
카푸치노,6953,2024-12-30 00:50:56
아메리카노,17806,2024-12-29 18:39:56
카푸치노,10523,2024-12-30 01:55:56
케이크,11152,2024-12-30 12:23:56
케이크,6673,2024-12-30 16:52:56
아메리카노,16171,2024-12-30 02:47:56
아메리카노,28691,2024-12-29 17:32:56
카푸치노,23825,2024-12-29 21:58:56
케이크,26165,2024-12-30 00:11:56
케이크,6858,2024-12-30 15:45:56
케이크,9169,2024-12-29 17:47:56
카푸치노,14000,2024-12-29 19:55:56
아메리카노,21174,2024-12-30 01:02:56
케이크,4403,2024-12-30 08:24:56
카푸치노,27716,2024-12-30 15:15:56
카푸치노,10702,2024-12-30 10:57:56
카푸치노,21908,2024-12-29 23:19:56
카푸치노,1287,2024-12-30 01:48:56
카푸치노,14057,2024-12-30 05:54:56
카푸치노,25888,2024-12-30 16:40:56
아메리카노,7952,2024-12-29 22:58:56
케이크,1534,2024-12-29 19:09:56
아메리카노,24322,2024-12-30 15:41:56
카푸치노,23999,2024-12-30 10:38:56
케이크,21649,2024-12-30 01:40:56
카푸치노,14942,2024-12-29 22:29:56
카푸치노,19065,2024-12-30 14:31:56
아메리카노,14131,2024-12-30 15:13:56
카푸치노,3538,2024-12-30 14:14:56
카푸치노,3353,2024-12-30 07:28:56
케이크,18691,2024-12-30 07:19:56
케이크,24236,2024-12-29 19:46:56
케이크,21146,2024-12-29 17:21:56
카푸치노,25735,2024-12-30 02:12:56
케이크,19172,2024-12-30 06:46:56
카푸치노,27474,2024-12-30 05:31:56
아메리카노,20396,2024-12-30 15:28:56
케이크,21596,2024-12-30 08:26:56
케이크,29186,2024-12-29 21:05:56
카푸치노,5054,2024-12-30 09:17:56
카푸치노,20469,2024-12-30 07:50:56
카푸치노,26668,2024-12-30 16:52:56
케이크,9134,2024-12-30 12:45:56
케이크,2994,2024-12-29 23:02:56
케이크,7614,2024-12-29 18:13:56
케이크,17620,2024-12-29 17:57:56
아메리카노,23395,2024-12-29 22:31:56
아메리카노,24491,2024-12-30 10:35:56
케이크,20162,2024-12-29 21:48:56
카푸치노,28780,2024-12-30 00:09:56
케이크,14026,2024-12-29 18:10:56
케이크,17964,2024-12-30 10:57:56
카푸치노,10161,2024-12-30 00:14:56
카푸치노,5166,2024-12-29 19:07:56
카푸치노,29577,2024-12-29 22:32:56
아메리카노,13498,2024-12-29 20:06:56
케이크,7185,2024-12-30 01:58:56
카푸치노,27692,2024-12-30 13:33:56
아메리카노,15863,2024-12-30 16:55:56
아메리카노,22592,2024-12-30 13:26:56
케이크,19438,2024-12-30 09:29:56
케이크,10530,2024-12-29 20:04:56
케이크,23811,2024-12-30 14:40:56
아메리카노,6024,2024-12-30 06:02:56
카푸치노,23275,2024-12-30 05:16:56
아메리카노,10926,2024-12-29 23:54:56
아메리카노,18132,2024-12-30 04:51:56
카푸치노,11447,2024-12-30 01:50:56
아메리카노,24139,2024-12-30 16:35:56
아메리카노,8145,2024-12-30 01:33:56
케이크,28668,2024-12-30 06:05:56
아메리카노,29013,2024-12-30 16:21:56
아메리카노,8958,2024-12-30 07:32:56
케이크,14535,2024-12-29 22:20:56
케이크,28192,2024-12-30 14:36:56
카푸치노,2517,2024-12-29 19:36:56
카푸치노,27272,2024-12-29 20:59:56
카푸치노,29596,2024-12-30 02:58:56
