menu,price,order_time
김밥,17293,2024-12-30 13:49:56
김밥,16023,2024-12-30 06:03:56
떡볶이,3731,2024-12-30 14:42:56
김밥,16912,2024-12-30 04:27:56
떡볶이,26722,2024-12-29 17:53:56
김밥,24386,2024-12-30 08:42:56
만두,5496,2024-12-30 14:51:56
김밥,3024,2024-12-30 00:17:56
떡볶이,21994,2024-12-30 15:59:56
떡볶이,12031,2024-12-30 12:50:56
떡볶이,6803,2024-12-30 07:52:56
만두,1560,2024-12-30 05:39:56
떡볶이,15439,2024-12-29 21:01:56
만두,7279,2024-12-30 08:05:56
만두,18839,2024-12-30 03:44:56
김밥,16609,2024-12-29 21:20:56
만두,9408,2024-12-30 01:02:56
김밥,26717,2024-12-30 14:11:56
김밥,2330,2024-12-29 19:00:56
김밥,3986,2024-12-30 02:09:56
만두,7486,2024-12-30 11:34:56
만두,18102,2024-12-29 22:41:56
만두,3169,2024-12-29 19:27:56
떡볶이,11226,2024-12-29 17:59:56
만두,8841,2024-12-29 20:27:56
만두,22698,2024-12-30 13:10:56
만두,21733,2024-12-30 07:17:56
만두,4438,2024-12-30 03:30:56
만두,9445,2024-12-30 13:30:56
떡볶이,6153,2024-12-30 11:15:56
김밥,24822,2024-12-30 16:35:56
김밥,7163,2024-12-30 13:42:56
김밥,26867,2024-12-30 09:32:56
떡볶이,9992,2024-12-30 00:07:56
만두,28843,2024-12-30 07:22:56
떡볶이,19899,2024-12-29 18:28:56
김밥,16878,2024-12-29 21:18:56
김밥,3004,2024-12-30 14:46:56
떡볶이,24842,2024-12-30 03:38:56
김밥,5763,2024-12-29 23:27:56
만두,27142,2024-12-29 19:26:56
김밥,26436,2024-12-30 12:33:56
김밥,28269,2024-12-30 09:57:56
만두,8236,2024-12-29 22:13:56
김밥,5554,2024-12-29 20:50:56
떡볶이,4820,2024-12-30 01:17:56
김밥,4849,2024-12-30 08:15:56
만두,23879,2024-12-30 11:08:56
김밥,5577,2024-12-30 08:47:56
만두,5608,2024-12-30 15:01:56
떡볶이,7118,2024-12-30 12:42:56
떡볶이,15315,2024-12-30 11:30:56
김밥,20750,2024-12-29 22:47:56
떡볶이,28751,2024-12-30 11:35:56
만두,19124,2024-12-30 10:03:56
김밥,22939,2024-12-30 12:36:56
떡볶이,24385,2024-12-30 05:25:56
떡볶이,25856,2024-12-30 02:01:56
떡볶이,16780,2024-12-30 06:32:56
떡볶이,26591,2024-12-30 08:56:56
떡볶이,13288,2024-12-29 21:52:56
만두,11693,2024-12-30 13:25:56
떡볶이,6981,2024-12-29 21:03:56
떡볶이,3350,2024-12-30 16:20:56
만두,5096,2024-12-30 02:49:56
떡볶이,26305,2024-12-30 06:30:56
떡볶이,5546,2024-12-30 11:29:56
김밥,12581,2024-12-29 22:32:56
김밥,12309,2024-12-30 01:41:56
김밥,1956,2024-12-30 13:58:56
김밥,9333,2024-12-30 04:00:56
김밥,4978,2024-12-29 22:03:56
김밥,13333,2024-12-30 09:31:56
김밥,26856,2024-12-30 11:18:56
떡볶이,13380,2024-12-30 00:18:56
김밥,21298,2024-12-30 03:55:56
떡볶이,12777,2024-12-30 05:57:56
김밥,28286,2024-12-30 03:46:56
떡볶이,20487,2024-12-30 01:03:56
만두,10273,2024-12-30 00:56:56
만두,20242,2024-12-30 01:21:56
김밥,1602,2024-12-30 14:56:56
떡볶이,23375,2024-12-30 08:18:56
김밥,8610,2024-12-30 03:11:56
떡볶이,14709,2024-12-30 14:14:56
김밥,10244,2024-12-30 12:57:56
떡볶이,13605,2024-12-30 05:30:56
김밥,4746,2024-12-29 22:02:56
만두,23902,2024-12-30 08:28:56
만두,10235,2024-12-29 18:17:56
김밥,20632,2024-12-30 02:49:56
김밥,8740,2024-12-29 23:08:56
떡볶이,26637,2024-12-29 22:14:56
만두,23653,2024-12-30 11:12:56
떡볶이,22550,2024-12-30 10:00:56
김밥,27658,2024-12-30 11:37:56
김밥,3023,2024-12-29 20:02:56
만두,28117,2024-12-30 14:34:56
만두,21902,2024-12-29 17:21:56
김밥,25104,2024-12-30 13:09:56
