menu,price,order_time
카푸치노,26539,2024-12-30 01:57:56
카푸치노,5960,2024-12-29 21:43:56
케이크,27082,2024-12-30 02:54:56
케이크,23090,2024-12-30 12:37:56
아메리카노,29381,2024-12-30 03:25:56
아메리카노,28185,2024-12-30 05:03:56
아메리카노,9575,2024-12-30 00:39:56
아메리카노,22231,2024-12-30 07:17:56
케이크,12386,2024-12-29 20:19:56
카푸치노,7940,2024-12-29 19:05:56
카푸치노,20842,2024-12-30 00:24:56
아메리카노,24197,2024-12-30 01:46:56
카푸치노,11600,2024-12-30 16:13:56
아메리카노,18490,2024-12-30 16:24:56
케이크,18729,2024-12-29 20:54:56
아메리카노,4829,2024-12-30 07:53:56
카푸치노,10716,2024-12-30 11:58:56
케이크,29758,2024-12-29 21:49:56
케이크,14466,2024-12-29 19:50:56
카푸치노,19366,2024-12-29 18:04:56
케이크,3678,2024-12-29 19:23:56
케이크,21613,2024-12-30 14:46:56
아메리카노,17592,2024-12-30 01:00:56
케이크,21186,2024-12-29 22:07:56
케이크,10222,2024-12-30 05:52:56
케이크,1536,2024-12-30 05:32:56
카푸치노,9814,2024-12-30 14:56:56
카푸치노,10766,2024-12-30 03:43:56
아메리카노,1412,2024-12-29 18:51:56
카푸치노,6907,2024-12-29 23:25:56
카푸치노,12549,2024-12-30 00:02:56
카푸치노,4648,2024-12-30 16:56:56
아메리카노,27108,2024-12-30 08:09:56
아메리카노,17525,2024-12-29 22:59:56
카푸치노,9577,2024-12-30 06:37:56
카푸치노,25079,2024-12-29 18:04:56
아메리카노,28637,2024-12-30 07:48:56
카푸치노,12237,2024-12-30 00:41:56
아메리카노,16007,2024-12-29 19:35:56
케이크,5858,2024-12-29 23:22:56
카푸치노,13361,2024-12-30 04:57:56
카푸치노,9584,2024-12-29 22:30:56
아메리카노,8560,2024-12-30 02:04:56
케이크,18097,2024-12-30 13:16:56
케이크,15770,2024-12-30 06:31:56
아메리카노,27023,2024-12-29 20:25:56
카푸치노,23649,2024-12-30 10:27:56
케이크,25744,2024-12-30 09:01:56
카푸치노,12010,2024-12-29 23:50:56
카푸치노,19636,2024-12-30 08:21:56
케이크,24459,2024-12-30 02:39:56
케이크,24367,2024-12-30 07:16:56
케이크,11473,2024-12-30 05:37:56
아메리카노,26239,2024-12-30 10:22:56
카푸치노,2473,2024-12-30 16:46:56
카푸치노,15591,2024-12-29 21:17:56
카푸치노,10055,2024-12-30 02:56:56
카푸치노,5317,2024-12-30 03:47:56
카푸치노,26100,2024-12-29 18:43:56
카푸치노,9162,2024-12-30 04:34:56
아메리카노,27441,2024-12-30 11:33:56
카푸치노,8497,2024-12-30 16:23:56
카푸치노,10864,2024-12-30 17:17:56
카푸치노,22290,2024-12-29 23:25:56
카푸치노,20461,2024-12-29 23:49:56
카푸치노,28160,2024-12-30 06:34:56
케이크,15797,2024-12-30 00:51:56
카푸치노,21144,2024-12-30 13:10:56
아메리카노,17352,2024-12-30 10:52:56
카푸치노,17644,2024-12-30 07:43:56
케이크,1630,2024-12-30 12:20:56
아메리카노,3977,2024-12-30 06:28:56
케이크,9257,2024-12-30 03:15:56
카푸치노,12490,2024-12-30 04:54:56
아메리카노,29246,2024-12-30 06:43:56
카푸치노,16949,2024-12-29 23:27:56
케이크,25413,2024-12-30 04:41:56
케이크,1627,2024-12-30 10:37:56
케이크,17567,2024-12-30 17:09:56
카푸치노,9982,2024-12-29 22:17:56
아메리카노,10795,2024-12-30 00:23:56
케이크,5894,2024-12-29 17:26:56
아메리카노,10892,2024-12-30 14:37:56
카푸치노,6862,2024-12-30 09:31:56
아메리카노,4699,2024-12-29 20:43:56
케이크,8865,2024-12-30 16:37:56
케이크,11526,2024-12-29 22:22:56
아메리카노,26614,2024-12-30 08:44:56
카푸치노,6279,2024-12-29 23:01:56
케이크,11958,2024-12-30 15:20:56
카푸치노,3953,2024-12-30 07:51:56
아메리카노,20274,2024-12-30 13:45:56
카푸치노,2483,2024-12-29 22:17:56
아메리카노,11248,2024-12-30 00:39:56
케이크,4015,2024-12-30 15:06:56
아메리카노,5887,2024-12-29 18:23:56
케이크,15033,2024-12-30 12:53:56
아메리카노,1501,2024-12-29 20:15:56
아메리카노,7060,2024-12-30 09:46:56
케이크,12000,2024-12-30 12:19:56
