menu,price,order_time
닭강정,10338,2024-12-30 05:58:56
떡볶이,29756,2024-12-30 12:56:56
떡볶이,24293,2024-12-29 17:47:56
떡볶이,2656,2024-12-29 22:53:56
떡볶이,15149,2024-12-30 08:36:56
닭강정,19299,2024-12-30 01:17:56
감자튀김,6813,2024-12-30 03:45:56
떡볶이,9151,2024-12-30 15:12:56
떡볶이,12606,2024-12-29 18:52:56
떡볶이,4523,2024-12-29 21:59:56
닭강정,26541,2024-12-29 20:56:56
감자튀김,19424,2024-12-30 05:42:56
닭강정,5821,2024-12-30 03:48:56
감자튀김,7747,2024-12-30 06:06:56
감자튀김,6574,2024-12-30 06:37:56
감자튀김,9039,2024-12-30 07:12:56
닭강정,15870,2024-12-30 11:37:56
감자튀김,6327,2024-12-30 02:03:56
감자튀김,21017,2024-12-29 23:23:56
떡볶이,10208,2024-12-30 16:53:56
떡볶이,19121,2024-12-29 21:01:56
떡볶이,27038,2024-12-30 16:52:56
닭강정,26387,2024-12-30 16:14:56
떡볶이,3074,2024-12-30 07:00:56
떡볶이,3618,2024-12-30 12:36:56
감자튀김,3575,2024-12-30 08:11:56
닭강정,28728,2024-12-30 09:16:56
감자튀김,22921,2024-12-29 20:51:56
감자튀김,13793,2024-12-30 02:56:56
떡볶이,11655,2024-12-30 02:49:56
감자튀김,18270,2024-12-29 19:19:56
닭강정,15733,2024-12-30 10:26:56
떡볶이,15477,2024-12-30 11:09:56
떡볶이,20350,2024-12-30 09:45:56
닭강정,12812,2024-12-29 18:48:56
닭강정,17062,2024-12-30 08:34:56
떡볶이,15803,2024-12-30 13:24:56
감자튀김,19720,2024-12-29 18:54:56
닭강정,10334,2024-12-29 22:02:56
떡볶이,14643,2024-12-29 23:46:56
감자튀김,13680,2024-12-30 16:12:56
닭강정,11202,2024-12-30 01:57:56
감자튀김,23869,2024-12-29 20:39:56
떡볶이,26890,2024-12-30 02:28:56
떡볶이,4169,2024-12-30 13:04:56
감자튀김,9997,2024-12-29 20:57:56
닭강정,24853,2024-12-29 23:51:56
떡볶이,12369,2024-12-29 21:05:56
떡볶이,8684,2024-12-30 12:05:56
감자튀김,18766,2024-12-30 02:18:56
떡볶이,4173,2024-12-30 10:42:56
떡볶이,11145,2024-12-30 12:41:56
닭강정,3490,2024-12-30 14:19:56
닭강정,24178,2024-12-30 11:11:56
감자튀김,21089,2024-12-30 04:30:56
닭강정,24119,2024-12-29 22:38:56
떡볶이,2287,2024-12-30 05:50:56
떡볶이,3644,2024-12-29 19:08:56
떡볶이,15278,2024-12-30 17:21:56
떡볶이,12030,2024-12-30 09:15:56
떡볶이,12807,2024-12-29 21:00:56
닭강정,17301,2024-12-30 13:49:56
감자튀김,26027,2024-12-29 22:09:56
떡볶이,15821,2024-12-30 07:31:56
감자튀김,12478,2024-12-29 20:28:56
감자튀김,29283,2024-12-30 10:23:56
닭강정,24998,2024-12-29 23:32:56
닭강정,13795,2024-12-29 20:54:56
떡볶이,7212,2024-12-30 17:16:56
감자튀김,17598,2024-12-30 09:48:56
떡볶이,1681,2024-12-29 21:48:56
떡볶이,22049,2024-12-30 14:34:56
감자튀김,28612,2024-12-30 03:06:56
닭강정,13968,2024-12-30 13:01:56
떡볶이,17602,2024-12-30 01:14:56
감자튀김,25884,2024-12-30 10:59:56
닭강정,25581,2024-12-30 11:02:56
감자튀김,2356,2024-12-30 01:27:56
떡볶이,10166,2024-12-30 08:52:56
닭강정,15097,2024-12-30 15:09:56
떡볶이,19512,2024-12-30 05:52:56
떡볶이,18929,2024-12-30 17:06:56
감자튀김,18160,2024-12-30 11:13:56
떡볶이,17164,2024-12-30 04:35:56
닭강정,23175,2024-12-30 08:33:56
감자튀김,18116,2024-12-30 02:45:56
떡볶이,21442,2024-12-30 06:34:56
떡볶이,21285,2024-12-30 04:52:56
감자튀김,27307,2024-12-30 08:42:56
감자튀김,4396,2024-12-30 11:48:56
닭강정,25054,2024-12-30 12:13:56
닭강정,15665,2024-12-30 03:16:56
감자튀김,26158,2024-12-30 07:10:56
감자튀김,5932,2024-12-29 22:13:56
닭강정,5007,2024-12-30 15:45:56
닭강정,27557,2024-12-30 06:59:56
떡볶이,2236,2024-12-30 08:25:56
떡볶이,16263,2024-12-30 17:06:56
닭강정,16490,2024-12-29 23:45:56
닭강정,22279,2024-12-30 11:31:56
