menu,price,order_time
카푸치노,1228,2024-12-30 16:23:56
카푸치노,29147,2024-12-29 17:38:56
아메리카노,10782,2024-12-30 06:01:56
아메리카노,24012,2024-12-29 22:22:56
아메리카노,13595,2024-12-30 01:41:56
아메리카노,13653,2024-12-29 18:56:56
카푸치노,15466,2024-12-29 17:52:56
케이크,5424,2024-12-30 02:03:56
아메리카노,22144,2024-12-29 22:46:56
카푸치노,23629,2024-12-29 17:53:56
카푸치노,1162,2024-12-30 12:32:56
카푸치노,14941,2024-12-30 16:24:56
카푸치노,13631,2024-12-30 06:20:56
케이크,18598,2024-12-30 05:18:56
케이크,19386,2024-12-29 23:46:56
카푸치노,29008,2024-12-30 15:42:56
케이크,15099,2024-12-30 09:07:56
케이크,16415,2024-12-30 12:03:56
카푸치노,15832,2024-12-30 06:45:56
카푸치노,4249,2024-12-29 18:01:56
아메리카노,2010,2024-12-30 15:17:56
케이크,7391,2024-12-30 03:12:56
아메리카노,4741,2024-12-30 02:54:56
카푸치노,2434,2024-12-30 04:28:56
아메리카노,1837,2024-12-30 00:20:56
카푸치노,3419,2024-12-30 01:56:56
케이크,6617,2024-12-29 20:09:56
케이크,22774,2024-12-30 13:02:56
아메리카노,25109,2024-12-30 08:20:56
케이크,2665,2024-12-30 07:45:56
카푸치노,21447,2024-12-30 01:20:56
아메리카노,14769,2024-12-29 20:14:56
카푸치노,20312,2024-12-29 19:55:56
아메리카노,10321,2024-12-30 07:17:56
카푸치노,22790,2024-12-30 06:36:56
아메리카노,9371,2024-12-30 12:09:56
카푸치노,13884,2024-12-29 20:08:56
케이크,9625,2024-12-30 14:48:56
아메리카노,15842,2024-12-30 14:02:56
케이크,2572,2024-12-30 13:42:56
케이크,1796,2024-12-30 02:01:56
케이크,6222,2024-12-29 18:18:56
케이크,27484,2024-12-30 05:19:56
아메리카노,5828,2024-12-30 09:13:56
아메리카노,16029,2024-12-30 00:22:56
카푸치노,16231,2024-12-30 13:18:56
카푸치노,5804,2024-12-29 20:42:56
아메리카노,10580,2024-12-29 18:37:56
아메리카노,24859,2024-12-30 01:06:56
카푸치노,15561,2024-12-30 10:51:56
카푸치노,22475,2024-12-30 13:04:56
케이크,28533,2024-12-30 05:59:56
케이크,1010,2024-12-30 02:44:56
카푸치노,2191,2024-12-30 08:09:56
아메리카노,27015,2024-12-30 16:37:56
카푸치노,16036,2024-12-29 21:30:56
케이크,22629,2024-12-30 01:07:56
카푸치노,13934,2024-12-30 16:40:56
케이크,22370,2024-12-30 16:43:56
아메리카노,10756,2024-12-30 17:14:56
케이크,26797,2024-12-30 10:12:56
카푸치노,24153,2024-12-30 09:40:56
아메리카노,24669,2024-12-30 10:28:56
아메리카노,25882,2024-12-30 00:25:56
케이크,24843,2024-12-30 00:07:56
케이크,18694,2024-12-30 03:31:56
케이크,13044,2024-12-30 11:18:56
케이크,28976,2024-12-30 07:14:56
아메리카노,27580,2024-12-29 23:16:56
카푸치노,21692,2024-12-30 17:18:56
아메리카노,21266,2024-12-30 14:17:56
카푸치노,25374,2024-12-30 13:11:56
카푸치노,5277,2024-12-30 05:41:56
카푸치노,3693,2024-12-30 09:14:56
케이크,29647,2024-12-30 16:41:56
카푸치노,2474,2024-12-30 01:15:56
아메리카노,11592,2024-12-30 08:44:56
아메리카노,16517,2024-12-29 21:17:56
카푸치노,13256,2024-12-30 09:06:56
케이크,22948,2024-12-30 11:50:56
카푸치노,18546,2024-12-30 01:37:56
카푸치노,20804,2024-12-30 10:48:56
아메리카노,10609,2024-12-30 10:09:56
아메리카노,5442,2024-12-30 03:11:56
카푸치노,19479,2024-12-30 10:02:56
아메리카노,6613,2024-12-30 00:15:56
아메리카노,25875,2024-12-30 11:34:56
케이크,6173,2024-12-30 02:06:56
아메리카노,21880,2024-12-30 05:22:56
케이크,27339,2024-12-29 21:18:56
아메리카노,4926,2024-12-30 08:12:56
아메리카노,19477,2024-12-30 15:03:56
아메리카노,22935,2024-12-30 00:03:56
케이크,15762,2024-12-29 21:38:56
케이크,9631,2024-12-29 23:01:56
카푸치노,8566,2024-12-29 19:53:56
케이크,20404,2024-12-30 05:58:56
카푸치노,3076,2024-12-30 07:59:56
카푸치노,10937,2024-12-29 19:26:56
케이크,8285,2024-12-30 03:43:56
