menu,price,order_time
카푸치노,22166,2024-12-29 22:32:56
아메리카노,3159,2024-12-30 14:18:56
카푸치노,11851,2024-12-30 02:15:56
케이크,2564,2024-12-30 16:17:56
카푸치노,4320,2024-12-30 04:39:56
카푸치노,11721,2024-12-30 11:29:56
아메리카노,21951,2024-12-30 02:56:56
카푸치노,9901,2024-12-29 22:53:56
아메리카노,17705,2024-12-30 04:30:56
아메리카노,20276,2024-12-30 05:34:56
아메리카노,7034,2024-12-29 21:52:56
케이크,28945,2024-12-30 11:02:56
카푸치노,8108,2024-12-29 21:31:56
케이크,28320,2024-12-29 18:49:56
아메리카노,18137,2024-12-30 16:45:56
카푸치노,28068,2024-12-30 10:08:56
카푸치노,11402,2024-12-29 19:43:56
아메리카노,10369,2024-12-30 02:26:56
카푸치노,15509,2024-12-29 17:45:56
케이크,27318,2024-12-30 04:56:56
케이크,9251,2024-12-30 01:41:56
케이크,19897,2024-12-30 08:10:56
케이크,6953,2024-12-29 21:58:56
카푸치노,4674,2024-12-29 18:21:56
아메리카노,22349,2024-12-30 15:29:56
카푸치노,21456,2024-12-30 03:14:56
아메리카노,14479,2024-12-30 12:10:56
카푸치노,14958,2024-12-30 03:12:56
케이크,13104,2024-12-29 23:42:56
아메리카노,4398,2024-12-30 11:53:56
아메리카노,2624,2024-12-29 20:46:56
케이크,25661,2024-12-29 23:19:56
케이크,3748,2024-12-30 09:07:56
아메리카노,29862,2024-12-30 11:38:56
아메리카노,6775,2024-12-30 11:24:56
카푸치노,3034,2024-12-30 13:56:56
카푸치노,4749,2024-12-29 17:54:56
카푸치노,24966,2024-12-30 04:04:56
케이크,15945,2024-12-30 16:36:56
케이크,26591,2024-12-29 19:09:56
카푸치노,23131,2024-12-30 12:57:56
카푸치노,18510,2024-12-30 08:12:56
아메리카노,12529,2024-12-30 11:35:56
케이크,7174,2024-12-30 14:18:56
카푸치노,2911,2024-12-30 06:33:56
카푸치노,18548,2024-12-30 02:29:56
카푸치노,20714,2024-12-30 02:26:56
아메리카노,14155,2024-12-30 02:07:56
아메리카노,20589,2024-12-29 20:55:56
케이크,27319,2024-12-29 19:22:56
카푸치노,19476,2024-12-30 12:59:56
아메리카노,20839,2024-12-30 06:19:56
아메리카노,2054,2024-12-30 03:16:56
아메리카노,27072,2024-12-30 11:26:56
케이크,2952,2024-12-30 15:06:56
케이크,22904,2024-12-30 11:54:56
카푸치노,18668,2024-12-30 08:12:56
카푸치노,10181,2024-12-30 15:47:56
케이크,26640,2024-12-30 09:45:56
아메리카노,17821,2024-12-29 19:24:56
케이크,4608,2024-12-29 17:41:56
카푸치노,27396,2024-12-30 06:39:56
케이크,18492,2024-12-30 06:57:56
카푸치노,9721,2024-12-30 10:18:56
카푸치노,14963,2024-12-30 03:21:56
아메리카노,12645,2024-12-30 10:29:56
아메리카노,11678,2024-12-30 05:14:56
케이크,16578,2024-12-30 14:33:56
아메리카노,5980,2024-12-30 15:41:56
아메리카노,26120,2024-12-29 23:59:56
아메리카노,23221,2024-12-30 11:31:56
아메리카노,10226,2024-12-30 12:48:56
카푸치노,23978,2024-12-30 12:47:56
케이크,28872,2024-12-30 00:25:56
카푸치노,13185,2024-12-29 23:56:56
아메리카노,15723,2024-12-30 00:33:56
아메리카노,15160,2024-12-30 09:58:56
아메리카노,20108,2024-12-29 20:19:56
케이크,28513,2024-12-30 12:05:56
아메리카노,9433,2024-12-30 12:20:56
아메리카노,4420,2024-12-29 20:59:56
카푸치노,9710,2024-12-30 11:42:56
케이크,25553,2024-12-30 01:06:56
케이크,8498,2024-12-29 19:46:56
카푸치노,20739,2024-12-30 01:08:56
케이크,12553,2024-12-29 18:45:56
카푸치노,8403,2024-12-30 03:07:56
케이크,10839,2024-12-30 06:56:56
카푸치노,1239,2024-12-29 22:05:56
카푸치노,1329,2024-12-30 05:40:56
아메리카노,27798,2024-12-29 23:14:56
아메리카노,26191,2024-12-29 23:19:56
아메리카노,24900,2024-12-29 19:12:56
카푸치노,19440,2024-12-30 16:01:56
아메리카노,20342,2024-12-30 09:41:56
케이크,26182,2024-12-29 21:10:56
카푸치노,24340,2024-12-29 18:43:56
케이크,8270,2024-12-30 14:24:56
케이크,7741,2024-12-30 13:03:56
카푸치노,5496,2024-12-30 06:45:56
