menu,price,order_time
광어회,7786,2024-12-29 17:22:56
참치회,27120,2024-12-30 00:27:56
참치회,18166,2024-12-30 06:10:56
광어회,22477,2024-12-30 03:42:56
연어초밥,21909,2024-12-30 16:03:56
광어회,6538,2024-12-30 03:22:56
광어회,17394,2024-12-30 17:06:56
연어초밥,18796,2024-12-30 02:33:56
참치회,24190,2024-12-29 21:40:56
광어회,20919,2024-12-30 16:14:56
광어회,24586,2024-12-29 23:17:56
연어초밥,2873,2024-12-30 12:46:56
광어회,11840,2024-12-29 21:06:56
연어초밥,18337,2024-12-30 06:48:56
참치회,17528,2024-12-30 05:22:56
참치회,12269,2024-12-30 00:29:56
참치회,5807,2024-12-30 16:42:56
연어초밥,27293,2024-12-29 22:27:56
광어회,15354,2024-12-30 06:16:56
연어초밥,26676,2024-12-30 03:40:56
연어초밥,3010,2024-12-29 21:16:56
참치회,10979,2024-12-30 14:07:56
연어초밥,26534,2024-12-30 08:01:56
참치회,15219,2024-12-30 06:48:56
참치회,14659,2024-12-30 10:18:56
광어회,11125,2024-12-29 19:09:56
광어회,24339,2024-12-30 03:28:56
연어초밥,16693,2024-12-29 17:32:56
광어회,29402,2024-12-30 16:30:56
광어회,18669,2024-12-30 12:05:56
광어회,1326,2024-12-29 22:54:56
연어초밥,9139,2024-12-29 20:25:56
광어회,9865,2024-12-29 17:59:56
연어초밥,27331,2024-12-30 03:38:56
광어회,24902,2024-12-30 15:26:56
연어초밥,17783,2024-12-30 08:05:56
연어초밥,17658,2024-12-30 14:53:56
광어회,5519,2024-12-30 12:05:56
광어회,14312,2024-12-30 03:36:56
광어회,4885,2024-12-30 02:40:56
광어회,7140,2024-12-29 23:38:56
연어초밥,29159,2024-12-30 04:03:56
참치회,19496,2024-12-30 01:21:56
참치회,9886,2024-12-30 02:09:56
연어초밥,25008,2024-12-29 20:04:56
참치회,18745,2024-12-30 13:18:56
광어회,14507,2024-12-30 13:22:56
연어초밥,1703,2024-12-30 16:07:56
광어회,22508,2024-12-30 04:32:56
광어회,29866,2024-12-29 21:33:56
광어회,20993,2024-12-30 10:56:56
연어초밥,14961,2024-12-30 08:07:56
광어회,24419,2024-12-30 01:15:56
광어회,7996,2024-12-29 22:53:56
광어회,1968,2024-12-30 08:20:56
광어회,25547,2024-12-30 14:23:56
참치회,3364,2024-12-30 15:25:56
연어초밥,20713,2024-12-29 17:42:56
연어초밥,13142,2024-12-29 22:26:56
연어초밥,7125,2024-12-30 03:07:56
연어초밥,29367,2024-12-30 13:22:56
연어초밥,9709,2024-12-29 22:36:56
광어회,20621,2024-12-29 19:12:56
참치회,10614,2024-12-30 09:05:56
광어회,17486,2024-12-29 20:40:56
광어회,17241,2024-12-30 15:24:56
참치회,5246,2024-12-30 07:44:56
광어회,21430,2024-12-30 15:33:56
광어회,20896,2024-12-29 18:32:56
참치회,16336,2024-12-30 16:54:56
광어회,20417,2024-12-30 13:25:56
참치회,2832,2024-12-30 07:57:56
광어회,5529,2024-12-30 03:54:56
광어회,9879,2024-12-29 23:54:56
참치회,14585,2024-12-30 13:08:56
연어초밥,23543,2024-12-30 07:40:56
참치회,29361,2024-12-30 10:17:56
광어회,20291,2024-12-29 23:50:56
연어초밥,6328,2024-12-30 05:01:56
연어초밥,6557,2024-12-30 15:43:56
연어초밥,19980,2024-12-30 10:17:56
연어초밥,22244,2024-12-29 22:58:56
참치회,20303,2024-12-29 18:02:56
참치회,29564,2024-12-29 18:52:56
광어회,8658,2024-12-30 07:36:56
광어회,6172,2024-12-29 18:28:56
참치회,23709,2024-12-30 04:51:56
참치회,12560,2024-12-30 12:46:56
연어초밥,2998,2024-12-30 08:40:56
광어회,5839,2024-12-30 00:10:56
참치회,4701,2024-12-29 23:31:56
연어초밥,29825,2024-12-30 07:59:56
참치회,24475,2024-12-30 11:27:56
광어회,10152,2024-12-29 17:23:56
참치회,25847,2024-12-29 21:53:56
연어초밥,28638,2024-12-29 19:17:56
연어초밥,14356,2024-12-30 08:02:56
참치회,28280,2024-12-30 14:15:56
광어회,15739,2024-12-30 15:37:56
광어회,17882,2024-12-29 23:09:56
