menu,price,order_time
감자튀김,16619,2024-12-30 08:10:56
닭강정,5946,2024-12-30 09:32:56
닭강정,11664,2024-12-29 20:22:56
닭강정,15530,2024-12-30 00:02:56
감자튀김,18853,2024-12-30 14:21:56
닭강정,9935,2024-12-30 10:36:56
닭강정,25889,2024-12-29 21:43:56
닭강정,7617,2024-12-30 04:07:56
떡볶이,5343,2024-12-30 01:58:56
닭강정,23906,2024-12-30 00:49:56
닭강정,20060,2024-12-29 23:49:56
감자튀김,11479,2024-12-30 07:32:56
떡볶이,7996,2024-12-30 05:40:56
닭강정,27940,2024-12-29 19:27:56
감자튀김,26196,2024-12-30 11:18:56
감자튀김,4447,2024-12-29 23:35:56
닭강정,3695,2024-12-30 15:23:56
떡볶이,6412,2024-12-29 23:53:56
감자튀김,21898,2024-12-29 20:23:56
떡볶이,23872,2024-12-29 23:38:56
닭강정,3563,2024-12-30 08:05:56
감자튀김,11787,2024-12-29 20:14:56
떡볶이,25785,2024-12-29 19:34:56
닭강정,24211,2024-12-29 19:00:56
감자튀김,29499,2024-12-30 08:39:56
닭강정,19879,2024-12-30 09:38:56
떡볶이,28749,2024-12-30 04:52:56
감자튀김,6960,2024-12-29 18:25:56
감자튀김,9068,2024-12-29 22:26:56
감자튀김,29403,2024-12-29 21:10:56
떡볶이,25707,2024-12-30 05:40:56
감자튀김,23919,2024-12-30 13:04:56
닭강정,7163,2024-12-30 11:59:56
닭강정,4747,2024-12-30 12:22:56
떡볶이,8466,2024-12-30 10:44:56
감자튀김,3406,2024-12-30 14:06:56
떡볶이,23335,2024-12-30 01:31:56
닭강정,6741,2024-12-29 19:09:56
떡볶이,9409,2024-12-30 12:46:56
닭강정,20933,2024-12-29 22:05:56
떡볶이,8203,2024-12-30 11:39:56
떡볶이,17663,2024-12-29 20:24:56
닭강정,13240,2024-12-30 02:00:56
감자튀김,26357,2024-12-30 12:18:56
감자튀김,27706,2024-12-30 06:00:56
감자튀김,9657,2024-12-29 22:45:56
닭강정,8644,2024-12-30 01:45:56
감자튀김,29454,2024-12-30 00:20:56
떡볶이,1432,2024-12-30 02:50:56
감자튀김,5070,2024-12-30 16:40:56
감자튀김,12204,2024-12-30 11:37:56
떡볶이,3482,2024-12-30 03:37:56
떡볶이,27098,2024-12-30 05:57:56
떡볶이,20496,2024-12-30 03:09:56
닭강정,1097,2024-12-30 03:32:56
감자튀김,3141,2024-12-30 07:52:56
떡볶이,18543,2024-12-30 15:24:56
감자튀김,3028,2024-12-30 13:31:56
감자튀김,7835,2024-12-30 06:15:56
닭강정,28657,2024-12-29 23:07:56
감자튀김,26300,2024-12-29 19:06:56
닭강정,22249,2024-12-30 14:45:56
떡볶이,6806,2024-12-29 21:29:56
감자튀김,16921,2024-12-30 05:23:56
감자튀김,15092,2024-12-29 19:36:56
떡볶이,3212,2024-12-30 01:16:56
감자튀김,16489,2024-12-30 00:28:56
감자튀김,20281,2024-12-30 08:28:56
떡볶이,19859,2024-12-30 06:37:56
감자튀김,3966,2024-12-30 17:01:56
감자튀김,9981,2024-12-30 01:14:56
감자튀김,22181,2024-12-29 20:08:56
닭강정,12175,2024-12-30 16:41:56
감자튀김,8385,2024-12-30 14:05:56
감자튀김,17260,2024-12-30 15:34:56
감자튀김,22446,2024-12-29 21:50:56
떡볶이,3882,2024-12-29 19:19:56
감자튀김,8866,2024-12-29 23:37:56
닭강정,17997,2024-12-29 18:05:56
떡볶이,7459,2024-12-29 23:56:56
감자튀김,15651,2024-12-29 17:34:56
닭강정,13660,2024-12-30 13:43:56
떡볶이,10822,2024-12-29 18:12:56
닭강정,13069,2024-12-29 18:37:56
감자튀김,17770,2024-12-30 00:38:56
닭강정,5307,2024-12-30 11:44:56
떡볶이,18907,2024-12-30 03:21:56
감자튀김,11210,2024-12-29 22:19:56
떡볶이,12031,2024-12-30 15:57:56
떡볶이,3464,2024-12-30 01:08:56
닭강정,9012,2024-12-30 16:52:56
닭강정,6034,2024-12-30 02:24:56
떡볶이,17114,2024-12-30 13:39:56
닭강정,23934,2024-12-29 23:31:56
감자튀김,5259,2024-12-30 09:48:56
떡볶이,12887,2024-12-29 19:04:56
닭강정,18622,2024-12-30 10:57:56
닭강정,29378,2024-12-29 17:33:56
감자튀김,28636,2024-12-30 06:31:56
감자튀김,10502,2024-12-30 12:09:56
