menu,price,order_time
감자튀김,17485,2024-12-29 23:36:56
닭강정,18528,2024-12-30 02:22:56
닭강정,25526,2024-12-30 00:58:56
떡볶이,25825,2024-12-30 01:43:56
떡볶이,7571,2024-12-30 06:26:56
닭강정,27635,2024-12-30 14:14:56
떡볶이,29539,2024-12-30 03:42:56
감자튀김,28092,2024-12-30 05:14:56
떡볶이,26260,2024-12-30 02:37:56
감자튀김,16488,2024-12-29 21:03:56
닭강정,24663,2024-12-30 00:03:56
닭강정,20685,2024-12-30 13:56:56
감자튀김,7818,2024-12-30 14:13:56
닭강정,27230,2024-12-30 10:01:56
닭강정,6150,2024-12-29 23:27:56
닭강정,22498,2024-12-30 15:52:56
닭강정,14682,2024-12-29 21:06:56
떡볶이,17556,2024-12-30 01:14:56
닭강정,3701,2024-12-29 18:54:56
닭강정,15631,2024-12-30 12:47:56
감자튀김,3857,2024-12-30 00:26:56
감자튀김,10360,2024-12-30 06:07:56
감자튀김,18079,2024-12-30 10:13:56
감자튀김,23542,2024-12-30 12:46:56
감자튀김,28262,2024-12-30 07:35:56
감자튀김,22278,2024-12-29 19:29:56
감자튀김,1240,2024-12-29 20:39:56
감자튀김,29326,2024-12-30 00:04:56
떡볶이,26918,2024-12-30 08:22:56
떡볶이,4289,2024-12-30 11:06:56
감자튀김,18595,2024-12-30 10:48:56
닭강정,24055,2024-12-30 12:11:56
닭강정,28062,2024-12-30 10:05:56
감자튀김,22623,2024-12-30 08:14:56
떡볶이,27666,2024-12-30 14:58:56
감자튀김,5950,2024-12-30 16:06:56
닭강정,15415,2024-12-30 11:31:56
닭강정,27772,2024-12-30 03:50:56
감자튀김,7291,2024-12-30 14:07:56
떡볶이,1559,2024-12-30 06:47:56
떡볶이,5984,2024-12-30 06:05:56
떡볶이,29517,2024-12-30 03:03:56
닭강정,9789,2024-12-29 20:04:56
감자튀김,10458,2024-12-30 00:59:56
떡볶이,29683,2024-12-29 19:26:56
감자튀김,6147,2024-12-30 15:25:56
닭강정,8842,2024-12-30 08:16:56
닭강정,3637,2024-12-30 13:04:56
감자튀김,5857,2024-12-30 03:24:56
닭강정,24876,2024-12-30 09:46:56
닭강정,3517,2024-12-30 04:58:56
감자튀김,5794,2024-12-29 21:22:56
감자튀김,27265,2024-12-29 17:56:56
감자튀김,20558,2024-12-30 06:20:56
떡볶이,27312,2024-12-30 09:16:56
떡볶이,22652,2024-12-30 12:25:56
닭강정,13871,2024-12-30 01:35:56
닭강정,3830,2024-12-30 09:04:56
떡볶이,4084,2024-12-30 04:50:56
감자튀김,13142,2024-12-29 19:56:56
떡볶이,10394,2024-12-30 04:19:56
감자튀김,18336,2024-12-29 18:39:56
떡볶이,7019,2024-12-29 22:06:56
떡볶이,24611,2024-12-30 02:10:56
닭강정,3332,2024-12-29 19:35:56
닭강정,26853,2024-12-29 22:31:56
닭강정,16741,2024-12-29 20:21:56
떡볶이,27430,2024-12-29 20:12:56
닭강정,21683,2024-12-30 11:36:56
감자튀김,20001,2024-12-29 23:22:56
닭강정,11474,2024-12-29 20:22:56
떡볶이,4371,2024-12-30 07:28:56
감자튀김,2354,2024-12-30 10:20:56
닭강정,27599,2024-12-29 18:07:56
떡볶이,18973,2024-12-30 00:37:56
떡볶이,24522,2024-12-30 07:25:56
닭강정,2161,2024-12-30 15:03:56
감자튀김,14239,2024-12-30 11:58:56
떡볶이,17346,2024-12-30 00:30:56
닭강정,18369,2024-12-30 09:21:56
감자튀김,15084,2024-12-30 05:23:56
떡볶이,1168,2024-12-30 14:50:56
감자튀김,24280,2024-12-30 15:35:56
닭강정,4190,2024-12-29 23:47:56
떡볶이,1960,2024-12-30 13:14:56
닭강정,27934,2024-12-30 08:57:56
떡볶이,11001,2024-12-30 05:28:56
떡볶이,28030,2024-12-29 17:59:56
감자튀김,9490,2024-12-30 16:35:56
닭강정,20661,2024-12-30 00:13:56
감자튀김,2146,2024-12-30 00:34:56
떡볶이,22310,2024-12-30 13:36:56
닭강정,1341,2024-12-30 13:09:56
감자튀김,26144,2024-12-30 07:58:56
떡볶이,21303,2024-12-30 08:48:56
감자튀김,7092,2024-12-29 18:26:56
감자튀김,1891,2024-12-30 14:13:56
감자튀김,9467,2024-12-29 18:27:56
닭강정,1232,2024-12-30 01:23:56
닭강정,18948,2024-12-30 14:07:56
