menu,price,order_time
감자튀김,28429,2024-12-30 12:02:56
떡볶이,3969,2024-12-30 13:54:56
떡볶이,11763,2024-12-30 03:33:56
감자튀김,7593,2024-12-30 05:14:56
감자튀김,16114,2024-12-30 04:40:56
떡볶이,7843,2024-12-30 07:41:56
떡볶이,4344,2024-12-29 22:45:56
닭강정,24323,2024-12-29 23:51:56
감자튀김,26368,2024-12-30 13:49:56
감자튀김,19005,2024-12-30 15:31:56
닭강정,27062,2024-12-29 19:06:56
감자튀김,21314,2024-12-29 20:49:56
떡볶이,12111,2024-12-30 11:06:56
감자튀김,3947,2024-12-30 05:30:56
떡볶이,25745,2024-12-30 03:52:56
감자튀김,17084,2024-12-30 08:43:56
떡볶이,21639,2024-12-30 16:34:56
떡볶이,28112,2024-12-30 04:09:56
떡볶이,24990,2024-12-29 19:57:56
닭강정,23108,2024-12-30 11:33:56
닭강정,24754,2024-12-30 14:57:56
닭강정,18891,2024-12-30 00:11:56
감자튀김,9669,2024-12-30 13:50:56
닭강정,11818,2024-12-30 09:37:56
떡볶이,6537,2024-12-30 12:41:56
떡볶이,1659,2024-12-30 15:58:56
닭강정,20990,2024-12-29 21:54:56
닭강정,22992,2024-12-30 09:25:56
감자튀김,9847,2024-12-30 08:46:56
떡볶이,26914,2024-12-30 05:26:56
떡볶이,28021,2024-12-30 06:41:56
닭강정,25766,2024-12-29 20:23:56
감자튀김,14827,2024-12-30 11:06:56
감자튀김,4142,2024-12-30 04:13:56
떡볶이,14375,2024-12-30 05:21:56
떡볶이,7161,2024-12-30 09:14:56
닭강정,3257,2024-12-30 10:03:56
닭강정,26919,2024-12-30 16:02:56
감자튀김,23828,2024-12-30 12:49:56
감자튀김,23681,2024-12-29 18:32:56
떡볶이,29222,2024-12-29 22:16:56
떡볶이,24744,2024-12-30 00:24:56
감자튀김,21687,2024-12-30 10:14:56
떡볶이,14653,2024-12-30 06:03:56
감자튀김,14636,2024-12-30 13:58:56
닭강정,26751,2024-12-30 13:28:56
감자튀김,26702,2024-12-29 18:54:56
닭강정,24602,2024-12-30 04:16:56
감자튀김,25249,2024-12-29 22:23:56
감자튀김,19959,2024-12-30 14:43:56
감자튀김,20217,2024-12-30 09:04:56
닭강정,18028,2024-12-29 21:53:56
떡볶이,13136,2024-12-30 06:47:56
떡볶이,7334,2024-12-30 00:45:56
떡볶이,13548,2024-12-30 08:39:56
감자튀김,23621,2024-12-29 21:48:56
감자튀김,2353,2024-12-29 18:50:56
떡볶이,28888,2024-12-30 16:21:56
감자튀김,29918,2024-12-29 21:37:56
떡볶이,16248,2024-12-30 05:19:56
감자튀김,22798,2024-12-30 00:58:56
감자튀김,6280,2024-12-30 07:53:56
떡볶이,13269,2024-12-29 21:38:56
닭강정,19003,2024-12-29 17:47:56
닭강정,7889,2024-12-30 10:19:56
감자튀김,29134,2024-12-30 14:31:56
떡볶이,1892,2024-12-30 11:15:56
감자튀김,12763,2024-12-30 02:35:56
떡볶이,28756,2024-12-29 18:33:56
떡볶이,24709,2024-12-29 23:04:56
닭강정,13755,2024-12-30 05:49:56
감자튀김,28705,2024-12-30 00:33:56
감자튀김,12824,2024-12-29 22:39:56
닭강정,16362,2024-12-30 13:59:56
닭강정,1495,2024-12-30 00:34:56
감자튀김,29289,2024-12-30 06:53:56
떡볶이,12122,2024-12-30 03:08:56
닭강정,13527,2024-12-30 16:58:56
닭강정,10600,2024-12-30 16:17:56
닭강정,25434,2024-12-30 14:56:56
감자튀김,24782,2024-12-29 20:21:56
닭강정,19809,2024-12-29 19:17:56
감자튀김,15340,2024-12-30 05:41:56
감자튀김,21441,2024-12-29 23:38:56
감자튀김,15209,2024-12-30 01:02:56
감자튀김,14619,2024-12-30 12:28:56
닭강정,1152,2024-12-30 16:08:56
감자튀김,20706,2024-12-30 03:44:56
떡볶이,7770,2024-12-30 14:29:56
감자튀김,24048,2024-12-30 14:57:56
감자튀김,21098,2024-12-30 15:03:56
감자튀김,5245,2024-12-30 12:10:56
떡볶이,10185,2024-12-30 08:55:56
떡볶이,9015,2024-12-30 05:15:56
감자튀김,18209,2024-12-29 20:58:56
닭강정,11610,2024-12-30 00:57:56
감자튀김,6655,2024-12-29 19:35:56
닭강정,21085,2024-12-30 01:48:56
닭강정,26868,2024-12-30 17:07:56
감자튀김,16745,2024-12-29 20:23:56
