menu,price,order_time
크루아상,22039,2024-12-29 21:41:56
도넛,26202,2024-12-30 16:35:56
도넛,27512,2024-12-30 11:33:56
도넛,23935,2024-12-30 08:26:56
도넛,13192,2024-12-30 14:22:56
머핀,2738,2024-12-30 11:25:56
크루아상,20578,2024-12-29 23:29:56
도넛,15875,2024-12-29 21:47:56
머핀,21139,2024-12-30 16:49:56
도넛,25761,2024-12-30 05:06:56
머핀,27182,2024-12-30 13:23:56
크루아상,24352,2024-12-30 02:10:56
도넛,26769,2024-12-29 23:30:56
도넛,24300,2024-12-30 14:16:56
도넛,20555,2024-12-29 19:59:56
도넛,24754,2024-12-29 18:26:56
크루아상,4273,2024-12-29 18:59:56
머핀,16754,2024-12-30 13:24:56
머핀,14085,2024-12-30 13:29:56
머핀,15330,2024-12-30 15:05:56
크루아상,12136,2024-12-29 21:20:56
머핀,23068,2024-12-30 16:57:56
머핀,15388,2024-12-30 04:04:56
도넛,14313,2024-12-30 01:44:56
크루아상,13856,2024-12-30 00:51:56
머핀,28366,2024-12-30 15:43:56
도넛,20919,2024-12-29 23:40:56
머핀,24671,2024-12-29 21:33:56
머핀,20936,2024-12-30 16:33:56
도넛,27049,2024-12-30 01:37:56
크루아상,24925,2024-12-30 12:45:56
머핀,2451,2024-12-29 17:21:56
머핀,7940,2024-12-29 20:52:56
도넛,14374,2024-12-30 14:02:56
머핀,26291,2024-12-30 03:31:56
크루아상,7423,2024-12-29 18:35:56
도넛,1849,2024-12-30 14:46:56
머핀,18702,2024-12-29 17:42:56
머핀,7091,2024-12-30 05:39:56
크루아상,10325,2024-12-29 17:58:56
머핀,21569,2024-12-30 01:14:56
크루아상,4987,2024-12-30 04:58:56
도넛,23994,2024-12-29 23:24:56
머핀,9193,2024-12-30 05:47:56
크루아상,14476,2024-12-30 05:01:56
크루아상,17864,2024-12-30 06:53:56
머핀,20509,2024-12-30 02:06:56
도넛,14043,2024-12-30 09:44:56
도넛,24678,2024-12-30 01:30:56
머핀,21393,2024-12-30 00:04:56
머핀,3467,2024-12-30 07:41:56
머핀,14642,2024-12-30 13:06:56
도넛,4141,2024-12-30 10:53:56
도넛,18836,2024-12-29 18:42:56
크루아상,5189,2024-12-30 01:02:56
크루아상,4367,2024-12-30 13:19:56
크루아상,27818,2024-12-29 21:33:56
머핀,25982,2024-12-30 04:04:56
크루아상,5961,2024-12-30 07:16:56
머핀,12941,2024-12-30 03:09:56
크루아상,2675,2024-12-30 08:03:56
머핀,12265,2024-12-30 11:41:56
머핀,29383,2024-12-29 21:21:56
도넛,26758,2024-12-30 06:45:56
도넛,7546,2024-12-30 02:39:56
도넛,25765,2024-12-30 12:35:56
크루아상,6449,2024-12-30 01:58:56
크루아상,15971,2024-12-30 10:56:56
크루아상,22312,2024-12-30 08:06:56
크루아상,27457,2024-12-30 06:23:56
도넛,15613,2024-12-30 02:03:56
도넛,9112,2024-12-29 17:32:56
크루아상,21102,2024-12-30 02:46:56
도넛,21079,2024-12-30 10:17:56
도넛,19081,2024-12-30 04:39:56
머핀,9529,2024-12-30 02:12:56
머핀,5273,2024-12-29 19:21:56
크루아상,9410,2024-12-29 19:44:56
크루아상,26006,2024-12-30 13:10:56
크루아상,17632,2024-12-29 17:36:56
크루아상,16781,2024-12-30 05:57:56
크루아상,17319,2024-12-30 08:23:56
머핀,29821,2024-12-30 05:00:56
도넛,28877,2024-12-30 04:46:56
머핀,16093,2024-12-30 17:05:56
머핀,6587,2024-12-30 05:45:56
크루아상,11800,2024-12-29 22:42:56
머핀,18389,2024-12-30 02:59:56
도넛,7463,2024-12-30 15:35:56
머핀,9648,2024-12-30 04:28:56
머핀,15861,2024-12-30 04:54:56
머핀,16700,2024-12-30 01:49:56
머핀,5033,2024-12-30 05:27:56
머핀,11979,2024-12-29 20:59:56
크루아상,15003,2024-12-29 20:39:56
머핀,7225,2024-12-30 15:00:56
크루아상,10139,2024-12-30 08:11:56
도넛,15237,2024-12-30 14:03:56
도넛,9627,2024-12-29 22:19:56
머핀,2570,2024-12-30 11:26:56
