menu,price,order_time
닭강정,29994,2024-12-30 08:33:56
닭강정,17386,2024-12-30 12:35:56
닭강정,14942,2024-12-30 05:15:56
떡볶이,10212,2024-12-30 16:52:56
닭강정,2232,2024-12-30 07:03:56
떡볶이,7961,2024-12-30 01:22:56
닭강정,10198,2024-12-29 19:01:56
떡볶이,11417,2024-12-29 19:32:56
감자튀김,9724,2024-12-30 12:54:56
떡볶이,10175,2024-12-29 20:27:56
감자튀김,23345,2024-12-29 17:25:56
닭강정,13043,2024-12-30 01:37:56
떡볶이,12786,2024-12-29 23:13:56
닭강정,27381,2024-12-30 07:26:56
감자튀김,25204,2024-12-30 05:32:56
감자튀김,16884,2024-12-30 06:19:56
떡볶이,2902,2024-12-29 20:16:56
닭강정,18598,2024-12-30 05:33:56
떡볶이,17937,2024-12-30 16:44:56
닭강정,29661,2024-12-30 15:26:56
떡볶이,24263,2024-12-29 20:58:56
떡볶이,28574,2024-12-29 22:16:56
닭강정,9037,2024-12-30 06:35:56
감자튀김,20543,2024-12-30 09:56:56
떡볶이,25647,2024-12-29 23:47:56
떡볶이,9453,2024-12-29 22:32:56
감자튀김,29249,2024-12-30 12:28:56
감자튀김,19777,2024-12-30 09:28:56
닭강정,19186,2024-12-30 06:18:56
감자튀김,24138,2024-12-29 19:04:56
떡볶이,22722,2024-12-30 11:10:56
감자튀김,4044,2024-12-30 04:56:56
떡볶이,23640,2024-12-30 12:30:56
닭강정,20620,2024-12-30 12:32:56
떡볶이,24439,2024-12-30 08:17:56
닭강정,6942,2024-12-30 02:12:56
감자튀김,2498,2024-12-30 16:07:56
닭강정,19264,2024-12-30 03:43:56
닭강정,5578,2024-12-29 17:41:56
감자튀김,5199,2024-12-30 14:18:56
떡볶이,1435,2024-12-30 09:41:56
떡볶이,12998,2024-12-30 14:48:56
닭강정,18124,2024-12-30 13:18:56
떡볶이,16856,2024-12-30 15:37:56
닭강정,28458,2024-12-29 18:51:56
떡볶이,4281,2024-12-30 08:53:56
닭강정,12768,2024-12-30 02:34:56
떡볶이,17953,2024-12-30 13:09:56
닭강정,8963,2024-12-30 09:08:56
떡볶이,7386,2024-12-30 13:31:56
닭강정,26680,2024-12-30 07:04:56
감자튀김,17831,2024-12-29 19:02:56
닭강정,7128,2024-12-29 21:07:56
떡볶이,12350,2024-12-30 07:47:56
닭강정,2565,2024-12-30 09:19:56
닭강정,6051,2024-12-30 05:07:56
닭강정,26848,2024-12-30 01:14:56
닭강정,12229,2024-12-30 15:16:56
감자튀김,27213,2024-12-30 07:34:56
감자튀김,26920,2024-12-29 23:56:56
닭강정,15722,2024-12-30 05:00:56
닭강정,13535,2024-12-29 18:24:56
닭강정,26251,2024-12-30 01:22:56
떡볶이,7151,2024-12-30 08:27:56
닭강정,16863,2024-12-30 15:36:56
떡볶이,12693,2024-12-30 14:58:56
떡볶이,29231,2024-12-30 09:18:56
감자튀김,27222,2024-12-30 03:32:56
떡볶이,25647,2024-12-30 11:58:56
닭강정,19542,2024-12-30 06:48:56
닭강정,13910,2024-12-29 22:43:56
떡볶이,9912,2024-12-30 03:19:56
닭강정,25471,2024-12-30 05:52:56
닭강정,24121,2024-12-29 23:53:56
떡볶이,15101,2024-12-29 20:28:56
닭강정,14507,2024-12-29 23:27:56
감자튀김,15313,2024-12-30 04:25:56
감자튀김,29561,2024-12-30 15:29:56
감자튀김,18788,2024-12-29 17:48:56
감자튀김,3559,2024-12-29 23:08:56
떡볶이,1314,2024-12-30 01:21:56
떡볶이,29335,2024-12-30 06:12:56
닭강정,14699,2024-12-29 20:29:56
감자튀김,23966,2024-12-30 05:01:56
떡볶이,3691,2024-12-29 17:44:56
떡볶이,11493,2024-12-30 16:58:56
떡볶이,21728,2024-12-29 22:34:56
감자튀김,22114,2024-12-29 18:10:56
감자튀김,11635,2024-12-30 12:57:56
닭강정,26938,2024-12-30 12:00:56
감자튀김,8588,2024-12-30 04:56:56
떡볶이,16026,2024-12-30 01:08:56
떡볶이,17363,2024-12-30 06:04:56
닭강정,20813,2024-12-30 05:45:56
닭강정,17146,2024-12-30 14:45:56
닭강정,17041,2024-12-30 04:19:56
떡볶이,4455,2024-12-30 05:32:56
감자튀김,27293,2024-12-30 04:06:56
떡볶이,2462,2024-12-30 11:35:56
떡볶이,23686,2024-12-30 10:04:56
