menu,price,order_time
머핀,28222,2024-12-29 23:57:56
크루아상,3912,2024-12-30 00:56:56
도넛,20193,2024-12-30 00:23:56
크루아상,28492,2024-12-29 21:54:56
도넛,6647,2024-12-30 16:42:56
머핀,3275,2024-12-30 12:21:56
머핀,6790,2024-12-30 12:13:56
머핀,27802,2024-12-29 19:03:56
크루아상,26187,2024-12-29 21:02:56
머핀,17317,2024-12-30 14:38:56
도넛,9352,2024-12-30 13:08:56
크루아상,17181,2024-12-30 09:46:56
크루아상,13920,2024-12-30 01:54:56
크루아상,29966,2024-12-30 00:51:56
도넛,1420,2024-12-30 15:52:56
도넛,23520,2024-12-30 07:43:56
도넛,27825,2024-12-30 06:18:56
머핀,24636,2024-12-30 16:57:56
머핀,19565,2024-12-30 07:03:56
도넛,19200,2024-12-30 15:09:56
머핀,21186,2024-12-30 10:55:56
크루아상,11632,2024-12-30 13:59:56
도넛,24649,2024-12-30 17:08:56
도넛,14681,2024-12-30 13:49:56
머핀,10002,2024-12-29 17:41:56
도넛,26318,2024-12-30 13:22:56
크루아상,1756,2024-12-30 05:32:56
크루아상,26976,2024-12-29 18:37:56
크루아상,8795,2024-12-30 06:38:56
크루아상,22234,2024-12-29 23:59:56
도넛,3494,2024-12-30 03:16:56
도넛,27214,2024-12-30 01:37:56
머핀,12265,2024-12-30 03:35:56
도넛,11102,2024-12-30 07:02:56
도넛,20333,2024-12-30 10:49:56
크루아상,4977,2024-12-30 13:36:56
머핀,9821,2024-12-30 02:14:56
크루아상,8894,2024-12-30 07:10:56
도넛,11978,2024-12-30 01:57:56
머핀,2241,2024-12-30 08:37:56
도넛,7513,2024-12-30 12:53:56
도넛,20331,2024-12-29 20:58:56
머핀,8404,2024-12-29 21:18:56
크루아상,2766,2024-12-30 13:30:56
머핀,21818,2024-12-30 16:42:56
머핀,17104,2024-12-29 19:40:56
크루아상,2072,2024-12-30 10:56:56
도넛,3145,2024-12-30 05:20:56
머핀,22423,2024-12-29 18:33:56
크루아상,11407,2024-12-29 22:37:56
도넛,29656,2024-12-29 21:33:56
머핀,10389,2024-12-30 07:02:56
머핀,24616,2024-12-29 17:37:56
머핀,20374,2024-12-29 20:09:56
머핀,7433,2024-12-30 10:34:56
머핀,7914,2024-12-30 02:56:56
머핀,1834,2024-12-30 16:07:56
머핀,13791,2024-12-30 01:13:56
도넛,26161,2024-12-29 19:10:56
머핀,10784,2024-12-30 16:30:56
도넛,24233,2024-12-30 00:56:56
도넛,21507,2024-12-30 16:42:56
머핀,12825,2024-12-30 08:15:56
크루아상,13619,2024-12-30 14:27:56
머핀,11252,2024-12-30 14:40:56
크루아상,13588,2024-12-29 22:17:56
도넛,28199,2024-12-30 09:24:56
크루아상,1630,2024-12-30 08:18:56
머핀,19112,2024-12-30 03:51:56
크루아상,5908,2024-12-29 20:57:56
도넛,3671,2024-12-30 02:25:56
도넛,6036,2024-12-30 04:39:56
크루아상,26813,2024-12-29 17:52:56
도넛,15503,2024-12-30 16:14:56
크루아상,3035,2024-12-30 10:06:56
머핀,11209,2024-12-30 15:55:56
도넛,6087,2024-12-30 07:35:56
머핀,17976,2024-12-30 12:52:56
도넛,9321,2024-12-30 15:04:56
도넛,29731,2024-12-29 23:03:56
크루아상,29925,2024-12-30 05:33:56
머핀,16512,2024-12-30 02:08:56
크루아상,21890,2024-12-29 21:25:56
크루아상,27613,2024-12-30 12:04:56
크루아상,10769,2024-12-30 06:38:56
도넛,20135,2024-12-30 16:43:56
도넛,12263,2024-12-29 18:18:56
크루아상,29169,2024-12-29 19:21:56
도넛,12143,2024-12-30 07:39:56
크루아상,28357,2024-12-30 11:40:56
머핀,22162,2024-12-29 19:29:56
도넛,27361,2024-12-30 08:45:56
크루아상,4180,2024-12-30 02:28:56
도넛,27818,2024-12-29 20:02:56
머핀,22662,2024-12-30 16:30:56
머핀,26081,2024-12-29 18:08:56
머핀,7373,2024-12-29 23:44:56
크루아상,24781,2024-12-30 13:29:56
머핀,9022,2024-12-30 02:53:56
도넛,21963,2024-12-29 18:39:56
