menu,price,order_time
감자튀김,12247,2024-12-30 13:43:56
감자튀김,6557,2024-12-30 13:41:56
감자튀김,18896,2024-12-30 05:19:56
닭강정,29533,2024-12-30 14:02:56
닭강정,6535,2024-12-30 02:41:56
닭강정,28118,2024-12-29 20:12:56
닭강정,2881,2024-12-30 09:15:56
감자튀김,22615,2024-12-30 07:10:56
감자튀김,6244,2024-12-30 11:27:56
감자튀김,1732,2024-12-30 04:03:56
떡볶이,3094,2024-12-30 10:06:56
감자튀김,1411,2024-12-30 13:14:56
닭강정,9528,2024-12-30 06:50:56
닭강정,7712,2024-12-30 07:38:56
감자튀김,23618,2024-12-29 18:38:56
떡볶이,8644,2024-12-30 17:14:56
감자튀김,17814,2024-12-30 11:34:56
떡볶이,25766,2024-12-29 21:43:56
닭강정,10070,2024-12-30 06:32:56
떡볶이,14123,2024-12-30 06:10:56
떡볶이,3306,2024-12-29 19:03:56
감자튀김,12314,2024-12-30 04:47:56
닭강정,19492,2024-12-30 00:33:56
감자튀김,24411,2024-12-29 23:55:56
감자튀김,28062,2024-12-30 14:42:56
감자튀김,11556,2024-12-29 23:59:56
떡볶이,22620,2024-12-30 03:14:56
떡볶이,28207,2024-12-30 01:34:56
감자튀김,25283,2024-12-29 19:38:56
떡볶이,16476,2024-12-30 16:47:56
닭강정,15049,2024-12-29 23:06:56
감자튀김,26177,2024-12-30 16:17:56
닭강정,10565,2024-12-30 13:47:56
닭강정,5220,2024-12-30 15:11:56
닭강정,23647,2024-12-30 11:09:56
닭강정,8208,2024-12-30 07:45:56
떡볶이,25942,2024-12-30 05:08:56
떡볶이,10698,2024-12-30 16:10:56
감자튀김,28996,2024-12-30 06:05:56
떡볶이,7468,2024-12-30 16:48:56
감자튀김,8845,2024-12-30 15:07:56
닭강정,20059,2024-12-30 11:59:56
닭강정,16246,2024-12-30 16:00:56
감자튀김,9924,2024-12-30 09:49:56
닭강정,12786,2024-12-29 17:42:56
닭강정,14618,2024-12-30 05:51:56
떡볶이,8996,2024-12-29 19:09:56
닭강정,23973,2024-12-30 11:20:56
감자튀김,29442,2024-12-30 06:52:56
닭강정,27850,2024-12-29 18:14:56
닭강정,20508,2024-12-30 16:01:56
떡볶이,4081,2024-12-30 00:51:56
떡볶이,3565,2024-12-30 08:43:56
떡볶이,5880,2024-12-29 23:57:56
닭강정,13394,2024-12-30 01:02:56
떡볶이,7145,2024-12-29 18:10:56
떡볶이,6866,2024-12-30 14:53:56
닭강정,11216,2024-12-30 13:09:56
감자튀김,22155,2024-12-30 10:28:56
닭강정,6326,2024-12-29 22:44:56
떡볶이,16621,2024-12-29 20:15:56
닭강정,10497,2024-12-30 13:59:56
닭강정,4810,2024-12-30 11:54:56
닭강정,20280,2024-12-29 23:47:56
감자튀김,19303,2024-12-29 21:00:56
감자튀김,17947,2024-12-30 12:57:56
감자튀김,18420,2024-12-30 08:23:56
닭강정,24577,2024-12-30 11:51:56
떡볶이,23316,2024-12-30 03:35:56
닭강정,4673,2024-12-29 21:28:56
감자튀김,13273,2024-12-29 18:51:56
떡볶이,25856,2024-12-30 05:00:56
떡볶이,20118,2024-12-30 06:08:56
감자튀김,9532,2024-12-30 00:37:56
감자튀김,17008,2024-12-30 13:35:56
떡볶이,20743,2024-12-30 06:50:56
닭강정,12767,2024-12-30 09:48:56
닭강정,11016,2024-12-29 23:19:56
감자튀김,10270,2024-12-30 07:13:56
감자튀김,12076,2024-12-29 23:23:56
닭강정,5823,2024-12-29 22:37:56
감자튀김,21508,2024-12-30 06:16:56
닭강정,11491,2024-12-29 21:09:56
떡볶이,13478,2024-12-30 05:38:56
떡볶이,2699,2024-12-30 07:44:56
떡볶이,28525,2024-12-30 09:24:56
감자튀김,17250,2024-12-30 08:48:56
떡볶이,21867,2024-12-30 09:09:56
감자튀김,7674,2024-12-29 19:58:56
떡볶이,29640,2024-12-30 16:29:56
떡볶이,8750,2024-12-30 16:19:56
감자튀김,3242,2024-12-30 07:51:56
감자튀김,29262,2024-12-30 03:27:56
닭강정,12975,2024-12-30 08:50:56
감자튀김,16567,2024-12-30 10:01:56
닭강정,5002,2024-12-29 23:15:56
닭강정,22271,2024-12-30 09:54:56
떡볶이,10445,2024-12-29 21:43:56
떡볶이,14910,2024-12-29 22:27:56
닭강정,5383,2024-12-30 13:01:56
