menu,price,order_time
케이크,8323,2024-12-30 05:18:56
카푸치노,8225,2024-12-29 22:47:56
케이크,13299,2024-12-30 05:44:56
케이크,11862,2024-12-30 00:42:56
카푸치노,17469,2024-12-30 04:20:56
아메리카노,14388,2024-12-30 08:45:56
케이크,12577,2024-12-29 17:42:56
카푸치노,22771,2024-12-30 01:32:56
아메리카노,13741,2024-12-30 10:23:56
카푸치노,2841,2024-12-30 02:34:56
아메리카노,11094,2024-12-29 19:34:56
케이크,18799,2024-12-30 08:06:56
카푸치노,20731,2024-12-29 22:42:56
케이크,3265,2024-12-30 14:41:56
카푸치노,6058,2024-12-30 13:59:56
케이크,25629,2024-12-29 21:44:56
카푸치노,11257,2024-12-29 17:35:56
아메리카노,26849,2024-12-29 18:34:56
카푸치노,1739,2024-12-30 09:28:56
아메리카노,27638,2024-12-30 13:17:56
카푸치노,1563,2024-12-30 15:19:56
카푸치노,28954,2024-12-30 02:51:56
아메리카노,12280,2024-12-30 03:31:56
카푸치노,10839,2024-12-30 06:51:56
카푸치노,21716,2024-12-30 01:09:56
아메리카노,13570,2024-12-30 16:36:56
케이크,27705,2024-12-29 18:50:56
아메리카노,11137,2024-12-30 14:25:56
카푸치노,10562,2024-12-30 05:28:56
카푸치노,23063,2024-12-29 21:52:56
카푸치노,13123,2024-12-30 14:54:56
아메리카노,25337,2024-12-30 08:55:56
아메리카노,13559,2024-12-29 17:56:56
카푸치노,3116,2024-12-30 02:06:56
케이크,4640,2024-12-29 21:19:56
카푸치노,14308,2024-12-30 07:10:56
케이크,2888,2024-12-29 21:15:56
케이크,6801,2024-12-30 00:47:56
아메리카노,11038,2024-12-29 19:42:56
카푸치노,7612,2024-12-30 02:39:56
카푸치노,28303,2024-12-30 08:44:56
케이크,15104,2024-12-29 22:27:56
케이크,6562,2024-12-30 05:37:56
카푸치노,3601,2024-12-30 00:21:56
케이크,19300,2024-12-30 03:56:56
케이크,16918,2024-12-30 13:15:56
케이크,9065,2024-12-29 22:41:56
아메리카노,19715,2024-12-29 23:44:56
아메리카노,29455,2024-12-29 23:29:56
카푸치노,22607,2024-12-29 18:56:56
카푸치노,1679,2024-12-30 17:13:56
카푸치노,12955,2024-12-30 06:45:56
아메리카노,1915,2024-12-30 03:41:56
아메리카노,15964,2024-12-29 19:00:56
아메리카노,6695,2024-12-29 23:35:56
카푸치노,10031,2024-12-30 07:20:56
케이크,21972,2024-12-29 21:56:56
케이크,19356,2024-12-29 21:56:56
카푸치노,9741,2024-12-30 03:30:56
아메리카노,23368,2024-12-30 02:22:56
카푸치노,21594,2024-12-29 20:19:56
카푸치노,2371,2024-12-30 01:40:56
케이크,26016,2024-12-29 19:24:56
아메리카노,21276,2024-12-30 00:11:56
케이크,29320,2024-12-30 02:12:56
아메리카노,24398,2024-12-30 12:57:56
케이크,7842,2024-12-30 00:21:56
아메리카노,2926,2024-12-30 02:59:56
카푸치노,27140,2024-12-30 01:44:56
아메리카노,18883,2024-12-30 10:10:56
아메리카노,2740,2024-12-30 15:05:56
케이크,7800,2024-12-30 15:34:56
케이크,28992,2024-12-29 23:41:56
카푸치노,25590,2024-12-30 02:08:56
케이크,19443,2024-12-30 09:38:56
케이크,3667,2024-12-30 00:37:56
아메리카노,10647,2024-12-29 22:07:56
케이크,28047,2024-12-30 14:07:56
카푸치노,11040,2024-12-29 19:38:56
아메리카노,2651,2024-12-30 00:55:56
케이크,16029,2024-12-30 05:24:56
아메리카노,9531,2024-12-29 22:33:56
카푸치노,10494,2024-12-29 22:43:56
케이크,17393,2024-12-30 12:22:56
카푸치노,24548,2024-12-30 05:36:56
케이크,11869,2024-12-30 16:13:56
케이크,22007,2024-12-30 02:15:56
아메리카노,19616,2024-12-30 16:13:56
케이크,8649,2024-12-30 15:03:56
카푸치노,4443,2024-12-30 00:01:56
케이크,10158,2024-12-30 08:19:56
카푸치노,14416,2024-12-30 10:27:56
케이크,21497,2024-12-30 06:36:56
아메리카노,1998,2024-12-30 02:40:56
케이크,23744,2024-12-30 05:18:56
아메리카노,29358,2024-12-30 08:51:56
카푸치노,9375,2024-12-30 05:22:56
카푸치노,25935,2024-12-30 08:29:56
케이크,17642,2024-12-30 00:48:56
케이크,12640,2024-12-30 13:16:56
