menu,price,order_time
카푸치노,12200,2024-12-30 12:31:56
카푸치노,7112,2024-12-30 04:34:56
케이크,19888,2024-12-30 17:19:56
케이크,10035,2024-12-29 18:42:56
케이크,28620,2024-12-30 12:59:56
카푸치노,5221,2024-12-30 02:21:56
케이크,14835,2024-12-30 14:52:56
카푸치노,26620,2024-12-29 23:19:56
아메리카노,8368,2024-12-30 11:42:56
아메리카노,10559,2024-12-30 01:18:56
아메리카노,20053,2024-12-30 12:29:56
케이크,3051,2024-12-30 06:04:56
아메리카노,26755,2024-12-30 08:50:56
카푸치노,23998,2024-12-30 05:15:56
카푸치노,2987,2024-12-29 22:17:56
카푸치노,12514,2024-12-30 04:03:56
아메리카노,5107,2024-12-29 17:49:56
아메리카노,18531,2024-12-30 08:03:56
카푸치노,3152,2024-12-30 10:20:56
아메리카노,2100,2024-12-29 22:59:56
아메리카노,15159,2024-12-30 14:29:56
케이크,14573,2024-12-29 23:45:56
카푸치노,23310,2024-12-30 11:26:56
카푸치노,20548,2024-12-30 08:52:56
카푸치노,22468,2024-12-30 05:32:56
케이크,6907,2024-12-30 04:51:56
케이크,22296,2024-12-30 17:11:56
카푸치노,29069,2024-12-30 02:36:56
카푸치노,6798,2024-12-30 11:02:56
카푸치노,27812,2024-12-30 16:54:56
케이크,26185,2024-12-30 06:21:56
케이크,16793,2024-12-30 11:49:56
케이크,4148,2024-12-30 09:28:56
카푸치노,7264,2024-12-30 00:22:56
아메리카노,28171,2024-12-30 16:16:56
케이크,26531,2024-12-30 03:52:56
케이크,28637,2024-12-30 10:42:56
카푸치노,26072,2024-12-30 11:21:56
케이크,22021,2024-12-30 12:28:56
카푸치노,22060,2024-12-30 08:00:56
아메리카노,22143,2024-12-30 01:34:56
케이크,11459,2024-12-29 19:57:56
케이크,18913,2024-12-30 11:32:56
케이크,11496,2024-12-29 23:15:56
케이크,10711,2024-12-30 03:51:56
케이크,15130,2024-12-30 16:26:56
카푸치노,22309,2024-12-30 00:58:56
아메리카노,16486,2024-12-29 22:11:56
카푸치노,28138,2024-12-30 01:43:56
카푸치노,26240,2024-12-30 13:46:56
카푸치노,1058,2024-12-29 17:42:56
카푸치노,27058,2024-12-30 16:09:56
아메리카노,7069,2024-12-29 17:31:56
카푸치노,8606,2024-12-30 03:02:56
카푸치노,29351,2024-12-30 12:44:56
케이크,2792,2024-12-29 23:23:56
케이크,18361,2024-12-29 22:24:56
카푸치노,26975,2024-12-30 09:40:56
카푸치노,29940,2024-12-29 23:05:56
케이크,19014,2024-12-30 04:40:56
카푸치노,25955,2024-12-30 11:58:56
케이크,25024,2024-12-30 14:09:56
카푸치노,17825,2024-12-30 02:09:56
케이크,23097,2024-12-29 23:30:56
아메리카노,11827,2024-12-30 08:42:56
케이크,29531,2024-12-29 18:36:56
케이크,23812,2024-12-30 15:42:56
케이크,24134,2024-12-30 00:19:56
케이크,19763,2024-12-30 17:06:56
카푸치노,23872,2024-12-29 20:07:56
카푸치노,21390,2024-12-30 02:26:56
카푸치노,17905,2024-12-30 16:34:56
케이크,16571,2024-12-30 11:57:56
카푸치노,14536,2024-12-29 19:58:56
아메리카노,5619,2024-12-30 14:26:56
케이크,11611,2024-12-29 22:44:56
아메리카노,11041,2024-12-30 05:21:56
케이크,6314,2024-12-30 17:00:56
케이크,4028,2024-12-30 13:26:56
아메리카노,21818,2024-12-30 00:15:56
아메리카노,8786,2024-12-30 10:31:56
케이크,26742,2024-12-29 18:19:56
카푸치노,1573,2024-12-29 19:38:56
아메리카노,25647,2024-12-29 17:36:56
카푸치노,8468,2024-12-30 09:56:56
케이크,16614,2024-12-29 17:44:56
카푸치노,20021,2024-12-30 14:51:56
카푸치노,2720,2024-12-30 07:22:56
카푸치노,1835,2024-12-30 01:23:56
아메리카노,22106,2024-12-30 14:06:56
카푸치노,19421,2024-12-30 11:11:56
케이크,14028,2024-12-30 05:24:56
카푸치노,14994,2024-12-30 06:52:56
케이크,27337,2024-12-29 20:35:56
카푸치노,20361,2024-12-30 16:19:56
케이크,26156,2024-12-30 10:08:56
아메리카노,28122,2024-12-30 14:08:56
카푸치노,11306,2024-12-30 12:13:56
케이크,4625,2024-12-30 08:39:56
케이크,7632,2024-12-29 20:29:56
