menu,price,order_time
머핀,19399,2024-12-29 21:46:56
머핀,12639,2024-12-30 12:14:56
크루아상,15832,2024-12-30 05:08:56
크루아상,20654,2024-12-29 21:56:56
도넛,18590,2024-12-30 08:37:56
머핀,3491,2024-12-29 22:40:56
도넛,1829,2024-12-29 22:45:56
머핀,23851,2024-12-29 22:49:56
도넛,22584,2024-12-29 17:24:56
도넛,13986,2024-12-30 06:19:56
머핀,22650,2024-12-29 19:36:56
크루아상,13775,2024-12-29 23:09:56
머핀,4314,2024-12-29 18:24:56
머핀,15729,2024-12-29 20:13:56
머핀,23310,2024-12-30 06:58:56
머핀,1026,2024-12-30 02:21:56
크루아상,28651,2024-12-29 19:40:56
크루아상,23699,2024-12-29 17:53:56
크루아상,23955,2024-12-30 00:39:56
머핀,22918,2024-12-29 20:26:56
머핀,20506,2024-12-30 08:48:56
크루아상,19308,2024-12-29 21:26:56
크루아상,17639,2024-12-30 03:30:56
도넛,1549,2024-12-30 00:47:56
도넛,18842,2024-12-30 07:11:56
도넛,25301,2024-12-30 12:23:56
머핀,21011,2024-12-30 04:18:56
도넛,25093,2024-12-30 12:45:56
머핀,11639,2024-12-30 07:01:56
크루아상,16064,2024-12-30 03:04:56
머핀,24463,2024-12-30 09:05:56
크루아상,22322,2024-12-30 02:55:56
도넛,4332,2024-12-30 12:46:56
도넛,11715,2024-12-30 02:29:56
크루아상,21524,2024-12-30 01:37:56
머핀,8589,2024-12-29 19:11:56
크루아상,23688,2024-12-30 06:58:56
크루아상,2633,2024-12-30 16:14:56
도넛,4518,2024-12-30 05:35:56
크루아상,13099,2024-12-30 13:15:56
머핀,5917,2024-12-29 23:52:56
도넛,5612,2024-12-30 11:21:56
머핀,16993,2024-12-30 14:17:56
머핀,18767,2024-12-30 14:43:56
크루아상,5470,2024-12-30 12:33:56
머핀,13301,2024-12-29 23:05:56
크루아상,15652,2024-12-30 16:55:56
크루아상,14546,2024-12-29 21:08:56
도넛,3891,2024-12-30 06:06:56
도넛,12121,2024-12-29 23:00:56
머핀,10853,2024-12-30 11:29:56
머핀,27017,2024-12-29 18:36:56
도넛,26470,2024-12-30 01:32:56
크루아상,8978,2024-12-30 14:02:56
도넛,14750,2024-12-30 09:24:56
머핀,3103,2024-12-30 01:44:56
크루아상,25904,2024-12-30 06:49:56
머핀,5726,2024-12-30 08:50:56
도넛,27946,2024-12-29 23:42:56
머핀,19800,2024-12-30 03:39:56
크루아상,24959,2024-12-30 14:06:56
크루아상,15167,2024-12-30 04:52:56
머핀,9216,2024-12-30 02:40:56
도넛,6083,2024-12-30 07:54:56
크루아상,22579,2024-12-30 13:35:56
머핀,27391,2024-12-30 01:57:56
크루아상,2568,2024-12-29 19:29:56
크루아상,14665,2024-12-30 08:28:56
크루아상,28870,2024-12-30 15:03:56
머핀,10894,2024-12-29 21:25:56
크루아상,10808,2024-12-29 18:06:56
크루아상,18175,2024-12-29 19:06:56
도넛,25018,2024-12-30 01:09:56
머핀,27677,2024-12-30 05:57:56
도넛,19679,2024-12-30 00:07:56
크루아상,4746,2024-12-30 14:00:56
도넛,17345,2024-12-30 04:11:56
도넛,29702,2024-12-30 09:15:56
머핀,2621,2024-12-30 16:11:56
크루아상,25481,2024-12-30 14:37:56
머핀,20626,2024-12-30 13:09:56
도넛,3870,2024-12-30 00:27:56
머핀,6087,2024-12-29 22:45:56
머핀,29210,2024-12-30 00:44:56
머핀,29664,2024-12-30 06:43:56
도넛,8486,2024-12-30 12:39:56
머핀,19364,2024-12-30 13:36:56
크루아상,2915,2024-12-30 11:44:56
머핀,1640,2024-12-30 14:29:56
도넛,3755,2024-12-30 03:32:56
머핀,17362,2024-12-30 09:23:56
머핀,21946,2024-12-30 11:07:56
도넛,20533,2024-12-30 11:27:56
머핀,23531,2024-12-30 05:09:56
도넛,20473,2024-12-29 20:57:56
크루아상,17633,2024-12-30 01:12:56
머핀,27744,2024-12-29 20:16:56
머핀,27628,2024-12-29 18:34:56
크루아상,15503,2024-12-30 01:54:56
크루아상,10683,2024-12-29 21:09:56
