menu,price,order_time
떡볶이,18527,2024-12-29 17:50:56
김밥,21107,2024-12-29 20:40:56
김밥,16502,2024-12-29 21:55:56
만두,20269,2024-12-29 19:00:56
만두,18085,2024-12-30 13:54:56
만두,10050,2024-12-30 15:20:56
떡볶이,25512,2024-12-30 15:13:56
김밥,27739,2024-12-30 02:25:56
떡볶이,8446,2024-12-30 08:34:56
김밥,10082,2024-12-30 13:06:56
만두,28850,2024-12-30 14:30:56
김밥,9748,2024-12-30 02:22:56
떡볶이,14269,2024-12-30 05:30:56
만두,19863,2024-12-30 05:07:56
떡볶이,8998,2024-12-30 12:31:56
떡볶이,4775,2024-12-29 20:09:56
떡볶이,11771,2024-12-30 09:50:56
만두,3286,2024-12-29 23:14:56
김밥,22730,2024-12-30 12:01:56
만두,12172,2024-12-29 21:01:56
김밥,21612,2024-12-30 13:53:56
만두,18879,2024-12-30 06:45:56
김밥,19778,2024-12-30 09:26:56
김밥,25524,2024-12-30 03:24:56
만두,10885,2024-12-29 22:00:56
만두,11077,2024-12-30 00:12:56
떡볶이,1385,2024-12-30 02:47:56
떡볶이,2652,2024-12-29 19:39:56
만두,12703,2024-12-30 05:00:56
떡볶이,18899,2024-12-30 03:25:56
떡볶이,1100,2024-12-30 12:02:56
김밥,18675,2024-12-30 06:54:56
김밥,24498,2024-12-29 20:11:56
떡볶이,14493,2024-12-29 19:09:56
떡볶이,21098,2024-12-30 09:37:56
만두,6234,2024-12-29 17:33:56
김밥,23736,2024-12-30 03:04:56
김밥,6010,2024-12-30 12:03:56
만두,29964,2024-12-30 15:28:56
김밥,22174,2024-12-30 07:01:56
김밥,24632,2024-12-29 23:17:56
김밥,27101,2024-12-29 21:34:56
떡볶이,18296,2024-12-30 11:04:56
만두,14213,2024-12-29 18:17:56
만두,22540,2024-12-30 00:14:56
만두,19024,2024-12-30 00:48:56
김밥,9962,2024-12-30 12:56:56
만두,21874,2024-12-30 11:16:56
김밥,7802,2024-12-30 06:40:56
김밥,4434,2024-12-29 23:35:56
만두,5502,2024-12-30 07:15:56
만두,5644,2024-12-30 07:42:56
만두,22613,2024-12-29 20:19:56
떡볶이,29319,2024-12-30 01:40:56
떡볶이,4322,2024-12-29 22:05:56
김밥,16279,2024-12-29 21:49:56
떡볶이,2228,2024-12-30 11:36:56
떡볶이,11557,2024-12-30 03:05:56
김밥,19911,2024-12-30 09:40:56
떡볶이,2642,2024-12-30 08:45:56
김밥,13858,2024-12-30 11:07:56
만두,16843,2024-12-30 17:00:56
김밥,25846,2024-12-30 03:06:56
만두,2049,2024-12-29 18:33:56
떡볶이,13695,2024-12-30 00:30:56
만두,26157,2024-12-30 09:08:56
김밥,27016,2024-12-30 02:49:56
김밥,28365,2024-12-30 03:52:56
만두,21445,2024-12-29 17:37:56
떡볶이,23085,2024-12-30 07:49:56
김밥,12054,2024-12-30 01:09:56
만두,5650,2024-12-30 16:52:56
떡볶이,27304,2024-12-30 02:20:56
만두,18308,2024-12-30 01:37:56
김밥,26912,2024-12-30 15:28:56
떡볶이,6120,2024-12-30 14:17:56
만두,8701,2024-12-29 20:16:56
떡볶이,4175,2024-12-30 00:29:56
떡볶이,7478,2024-12-29 23:57:56
만두,21337,2024-12-29 21:19:56
떡볶이,10345,2024-12-29 23:53:56
만두,8279,2024-12-30 02:44:56
만두,29382,2024-12-30 14:48:56
김밥,12432,2024-12-30 06:10:56
떡볶이,25038,2024-12-29 21:44:56
김밥,14443,2024-12-30 14:20:56
만두,26685,2024-12-29 19:39:56
떡볶이,29117,2024-12-30 06:37:56
만두,21244,2024-12-30 11:51:56
떡볶이,14197,2024-12-30 14:36:56
김밥,27280,2024-12-30 12:00:56
떡볶이,7837,2024-12-30 04:46:56
만두,28022,2024-12-30 01:00:56
떡볶이,26894,2024-12-30 13:46:56
떡볶이,1956,2024-12-30 12:51:56
떡볶이,2459,2024-12-30 09:11:56
떡볶이,18593,2024-12-30 06:00:56
떡볶이,19203,2024-12-30 16:17:56
김밥,20597,2024-12-30 08:19:56
만두,26178,2024-12-29 20:39:56
