menu,price,order_time
감자튀김,28927,2024-12-30 14:04:56
감자튀김,14469,2024-12-30 14:16:56
떡볶이,26139,2024-12-30 04:49:56
떡볶이,10600,2024-12-30 08:34:56
떡볶이,28043,2024-12-30 07:05:56
닭강정,24131,2024-12-29 17:37:56
떡볶이,16452,2024-12-29 22:50:56
감자튀김,8182,2024-12-30 06:44:56
감자튀김,14779,2024-12-30 16:43:56
떡볶이,17922,2024-12-29 23:19:56
감자튀김,15593,2024-12-30 08:26:56
감자튀김,12494,2024-12-29 23:32:56
닭강정,17759,2024-12-29 23:57:56
떡볶이,10626,2024-12-29 20:02:56
감자튀김,25391,2024-12-29 19:58:56
감자튀김,20837,2024-12-30 13:11:56
감자튀김,22380,2024-12-30 07:20:56
닭강정,21320,2024-12-30 03:18:56
감자튀김,24733,2024-12-30 03:39:56
떡볶이,4906,2024-12-30 02:33:56
떡볶이,7606,2024-12-30 06:10:56
떡볶이,19054,2024-12-30 11:59:56
떡볶이,18249,2024-12-29 20:49:56
떡볶이,5622,2024-12-30 14:21:56
닭강정,25912,2024-12-30 06:25:56
감자튀김,29933,2024-12-30 12:36:56
감자튀김,6381,2024-12-30 14:17:56
닭강정,7224,2024-12-30 15:46:56
닭강정,8490,2024-12-29 23:57:56
닭강정,16635,2024-12-30 12:55:56
닭강정,2189,2024-12-30 12:23:56
닭강정,7997,2024-12-30 02:44:56
떡볶이,16452,2024-12-30 10:45:56
떡볶이,18936,2024-12-30 13:50:56
떡볶이,25216,2024-12-30 03:23:56
닭강정,27526,2024-12-30 02:45:56
떡볶이,28460,2024-12-30 02:24:56
감자튀김,23464,2024-12-30 16:42:56
감자튀김,8481,2024-12-29 23:08:56
닭강정,13424,2024-12-30 09:11:56
닭강정,29942,2024-12-30 03:13:56
닭강정,19098,2024-12-30 00:00:56
떡볶이,29676,2024-12-29 20:30:56
감자튀김,23834,2024-12-29 18:43:56
떡볶이,17602,2024-12-30 01:05:56
떡볶이,13925,2024-12-30 12:40:56
떡볶이,12550,2024-12-29 19:52:56
닭강정,20793,2024-12-30 12:47:56
감자튀김,3005,2024-12-29 22:01:56
감자튀김,3854,2024-12-30 00:44:56
닭강정,12004,2024-12-30 02:49:56
감자튀김,7044,2024-12-30 02:24:56
닭강정,21875,2024-12-29 19:32:56
닭강정,14362,2024-12-30 07:48:56
닭강정,20838,2024-12-30 07:44:56
닭강정,16794,2024-12-30 07:29:56
감자튀김,16122,2024-12-30 08:36:56
닭강정,24850,2024-12-30 09:41:56
닭강정,11962,2024-12-30 00:23:56
닭강정,27654,2024-12-29 17:45:56
닭강정,9022,2024-12-30 14:57:56
닭강정,25360,2024-12-30 06:09:56
감자튀김,3445,2024-12-30 10:21:56
떡볶이,17628,2024-12-30 14:57:56
닭강정,10966,2024-12-30 01:17:56
떡볶이,7977,2024-12-30 17:06:56
닭강정,27418,2024-12-30 05:21:56
떡볶이,26978,2024-12-29 18:50:56
떡볶이,26742,2024-12-29 18:40:56
감자튀김,6398,2024-12-29 19:32:56
닭강정,11666,2024-12-30 01:22:56
감자튀김,5645,2024-12-29 23:31:56
닭강정,19820,2024-12-29 23:31:56
닭강정,13955,2024-12-30 00:38:56
떡볶이,9157,2024-12-29 18:35:56
닭강정,21400,2024-12-30 02:49:56
떡볶이,18534,2024-12-30 06:42:56
감자튀김,20708,2024-12-30 09:57:56
감자튀김,14636,2024-12-30 03:52:56
떡볶이,23558,2024-12-30 16:47:56
닭강정,6692,2024-12-29 23:06:56
닭강정,28405,2024-12-30 07:18:56
떡볶이,19303,2024-12-30 00:02:56
닭강정,15515,2024-12-30 10:22:56
감자튀김,3201,2024-12-30 14:41:56
떡볶이,26037,2024-12-29 23:59:56
떡볶이,13798,2024-12-29 23:06:56
닭강정,16405,2024-12-29 23:08:56
감자튀김,14728,2024-12-30 16:01:56
닭강정,21009,2024-12-30 16:49:56
감자튀김,22021,2024-12-30 01:53:56
감자튀김,23996,2024-12-30 07:24:56
감자튀김,15113,2024-12-30 03:08:56
감자튀김,17289,2024-12-30 16:10:56
떡볶이,13317,2024-12-30 02:47:56
떡볶이,8976,2024-12-30 17:17:56
닭강정,20365,2024-12-30 16:29:56
닭강정,7551,2024-12-30 09:20:56
감자튀김,21713,2024-12-30 03:25:56
닭강정,26938,2024-12-30 06:06:56
