menu,price,order_time
닭강정,4846,2024-12-30 11:05:56
떡볶이,6098,2024-12-29 19:46:56
떡볶이,17397,2024-12-29 17:38:56
닭강정,11503,2024-12-30 14:41:56
감자튀김,26032,2024-12-30 02:59:56
닭강정,9303,2024-12-30 03:16:56
떡볶이,27042,2024-12-30 11:10:56
떡볶이,7063,2024-12-29 21:45:56
감자튀김,7075,2024-12-30 16:38:56
닭강정,13052,2024-12-30 08:33:56
감자튀김,4189,2024-12-30 09:45:56
감자튀김,13065,2024-12-30 13:08:56
떡볶이,15820,2024-12-30 04:51:56
감자튀김,27506,2024-12-30 12:09:56
감자튀김,28746,2024-12-30 04:36:56
떡볶이,13635,2024-12-30 04:23:56
닭강정,23527,2024-12-29 21:51:56
감자튀김,9045,2024-12-30 04:17:56
떡볶이,17448,2024-12-29 23:54:56
닭강정,25380,2024-12-30 12:41:56
감자튀김,21314,2024-12-29 20:43:56
닭강정,11542,2024-12-29 23:58:56
감자튀김,29263,2024-12-30 12:06:56
떡볶이,25923,2024-12-30 08:00:56
닭강정,3413,2024-12-30 10:33:56
떡볶이,11582,2024-12-30 02:26:56
감자튀김,7049,2024-12-30 04:51:56
떡볶이,13448,2024-12-30 05:15:56
떡볶이,7869,2024-12-30 15:06:56
닭강정,2101,2024-12-29 23:22:56
떡볶이,11229,2024-12-29 18:20:56
닭강정,23634,2024-12-30 11:58:56
닭강정,26420,2024-12-30 08:09:56
떡볶이,15968,2024-12-30 05:43:56
감자튀김,12067,2024-12-30 14:21:56
닭강정,7239,2024-12-29 20:51:56
감자튀김,20475,2024-12-30 14:42:56
감자튀김,27066,2024-12-30 11:49:56
떡볶이,1258,2024-12-30 09:48:56
감자튀김,23777,2024-12-30 14:35:56
감자튀김,3654,2024-12-30 10:49:56
감자튀김,12566,2024-12-30 06:44:56
닭강정,3803,2024-12-30 17:12:56
감자튀김,21056,2024-12-30 04:47:56
떡볶이,27639,2024-12-30 12:33:56
감자튀김,4461,2024-12-30 14:58:56
감자튀김,11943,2024-12-30 13:26:56
떡볶이,15162,2024-12-30 04:56:56
닭강정,27727,2024-12-30 01:09:56
닭강정,22149,2024-12-29 18:05:56
닭강정,6401,2024-12-30 11:09:56
닭강정,29297,2024-12-29 18:23:56
떡볶이,22938,2024-12-30 16:20:56
감자튀김,16435,2024-12-29 23:09:56
떡볶이,7476,2024-12-30 06:54:56
떡볶이,20451,2024-12-29 18:50:56
감자튀김,16510,2024-12-30 02:14:56
감자튀김,19346,2024-12-29 23:16:56
닭강정,27351,2024-12-29 22:25:56
떡볶이,15875,2024-12-30 11:17:56
떡볶이,17838,2024-12-30 09:32:56
닭강정,13136,2024-12-29 22:14:56
감자튀김,12957,2024-12-30 13:37:56
떡볶이,18594,2024-12-30 16:08:56
감자튀김,23724,2024-12-30 01:47:56
감자튀김,1149,2024-12-29 23:54:56
닭강정,9121,2024-12-30 06:55:56
닭강정,21284,2024-12-29 19:02:56
감자튀김,16449,2024-12-29 21:34:56
떡볶이,4681,2024-12-29 20:12:56
감자튀김,19259,2024-12-29 19:09:56
닭강정,20386,2024-12-30 09:44:56
감자튀김,25521,2024-12-30 07:20:56
감자튀김,20021,2024-12-30 09:19:56
떡볶이,18032,2024-12-30 12:44:56
닭강정,27438,2024-12-29 22:29:56
떡볶이,10123,2024-12-30 00:20:56
감자튀김,10814,2024-12-30 11:57:56
감자튀김,21837,2024-12-30 08:34:56
닭강정,28423,2024-12-30 09:47:56
떡볶이,7815,2024-12-29 23:54:56
떡볶이,28411,2024-12-30 03:45:56
닭강정,6432,2024-12-30 03:34:56
떡볶이,18994,2024-12-30 15:06:56
닭강정,27313,2024-12-30 01:13:56
감자튀김,5444,2024-12-30 09:44:56
감자튀김,24120,2024-12-30 10:17:56
닭강정,23623,2024-12-29 23:19:56
감자튀김,10940,2024-12-29 20:33:56
감자튀김,5392,2024-12-29 18:02:56
떡볶이,10459,2024-12-30 00:22:56
닭강정,24233,2024-12-29 22:24:56
떡볶이,22687,2024-12-30 10:23:56
감자튀김,10618,2024-12-30 02:48:56
닭강정,23826,2024-12-30 08:57:56
떡볶이,25675,2024-12-30 17:06:56
감자튀김,29810,2024-12-29 18:07:56
감자튀김,29107,2024-12-30 08:08:56
닭강정,12303,2024-12-30 12:12:56
떡볶이,25083,2024-12-30 16:08:56
