menu,price,order_time
떡볶이,21068,2024-12-29 22:06:56
떡볶이,23990,2024-12-30 13:49:56
감자튀김,11744,2024-12-30 13:39:56
떡볶이,7534,2024-12-30 16:54:56
닭강정,13553,2024-12-29 22:17:56
닭강정,14093,2024-12-30 16:54:56
감자튀김,22180,2024-12-30 13:42:56
감자튀김,28579,2024-12-30 16:25:56
감자튀김,1496,2024-12-29 17:57:56
감자튀김,23620,2024-12-30 06:19:56
닭강정,7841,2024-12-30 16:36:56
감자튀김,17658,2024-12-30 10:16:56
감자튀김,21160,2024-12-29 19:03:56
감자튀김,26790,2024-12-30 00:54:56
닭강정,27567,2024-12-30 01:10:56
감자튀김,20348,2024-12-30 14:36:56
닭강정,7599,2024-12-30 07:13:56
감자튀김,17180,2024-12-29 22:23:56
감자튀김,2315,2024-12-30 02:23:56
감자튀김,24817,2024-12-30 07:38:56
닭강정,9264,2024-12-29 21:32:56
떡볶이,16537,2024-12-30 00:29:56
닭강정,11911,2024-12-29 22:01:56
감자튀김,7511,2024-12-30 10:01:56
감자튀김,26172,2024-12-30 11:14:56
닭강정,11613,2024-12-30 12:50:56
감자튀김,15353,2024-12-30 10:16:56
닭강정,21129,2024-12-30 08:41:56
떡볶이,17402,2024-12-30 07:49:56
감자튀김,28831,2024-12-29 21:33:56
닭강정,28026,2024-12-30 10:31:56
닭강정,5570,2024-12-29 22:01:56
닭강정,11768,2024-12-30 00:34:56
닭강정,18490,2024-12-30 09:33:56
닭강정,2682,2024-12-29 21:03:56
떡볶이,9599,2024-12-30 00:12:56
닭강정,6965,2024-12-29 19:51:56
닭강정,18846,2024-12-29 22:40:56
감자튀김,8945,2024-12-30 14:11:56
떡볶이,29717,2024-12-30 07:14:56
닭강정,14328,2024-12-30 11:41:56
감자튀김,19072,2024-12-30 08:10:56
닭강정,22765,2024-12-30 10:11:56
떡볶이,14945,2024-12-30 10:21:56
떡볶이,23384,2024-12-30 09:58:56
감자튀김,21914,2024-12-30 13:00:56
떡볶이,13812,2024-12-30 01:05:56
떡볶이,4419,2024-12-30 12:15:56
감자튀김,10927,2024-12-30 13:34:56
닭강정,6556,2024-12-29 19:45:56
닭강정,17852,2024-12-30 10:24:56
떡볶이,27608,2024-12-30 16:41:56
감자튀김,17328,2024-12-30 11:14:56
감자튀김,19195,2024-12-30 07:49:56
닭강정,16202,2024-12-29 22:25:56
감자튀김,18262,2024-12-30 04:50:56
닭강정,18334,2024-12-30 07:09:56
감자튀김,2002,2024-12-29 20:19:56
떡볶이,25933,2024-12-30 13:33:56
닭강정,25710,2024-12-29 22:42:56
닭강정,26007,2024-12-30 12:01:56
닭강정,27549,2024-12-30 09:55:56
닭강정,4477,2024-12-29 17:31:56
닭강정,28641,2024-12-30 01:19:56
감자튀김,8820,2024-12-29 17:29:56
감자튀김,13905,2024-12-30 10:46:56
떡볶이,11234,2024-12-30 14:00:56
닭강정,24917,2024-12-30 05:32:56
감자튀김,24936,2024-12-30 09:32:56
감자튀김,8391,2024-12-30 11:28:56
닭강정,15172,2024-12-30 12:48:56
닭강정,5179,2024-12-30 01:38:56
떡볶이,4500,2024-12-30 01:57:56
떡볶이,28427,2024-12-30 05:00:56
감자튀김,18482,2024-12-29 20:57:56
감자튀김,9960,2024-12-30 15:38:56
닭강정,13013,2024-12-30 01:26:56
감자튀김,21407,2024-12-30 08:33:56
떡볶이,21301,2024-12-30 13:50:56
떡볶이,29566,2024-12-30 12:41:56
떡볶이,26729,2024-12-29 22:23:56
닭강정,3072,2024-12-30 08:02:56
닭강정,9654,2024-12-30 10:04:56
떡볶이,6119,2024-12-30 14:55:56
닭강정,5276,2024-12-30 05:26:56
닭강정,25028,2024-12-30 04:10:56
감자튀김,8381,2024-12-30 13:58:56
닭강정,15895,2024-12-30 01:33:56
닭강정,1477,2024-12-29 19:15:56
닭강정,19090,2024-12-30 01:00:56
닭강정,15459,2024-12-30 14:17:56
감자튀김,10134,2024-12-30 17:14:56
감자튀김,20062,2024-12-30 12:32:56
닭강정,16338,2024-12-29 23:29:56
떡볶이,1926,2024-12-30 08:02:56
감자튀김,23900,2024-12-29 22:02:56
떡볶이,18828,2024-12-30 12:54:56
떡볶이,10655,2024-12-29 22:41:56
감자튀김,29889,2024-12-30 04:58:56
떡볶이,16758,2024-12-30 17:00:56
