menu,price,order_time
카푸치노,23368,2024-12-30 16:56:56
케이크,4145,2024-12-30 17:02:56
케이크,21763,2024-12-30 12:50:56
아메리카노,25707,2024-12-29 23:08:56
카푸치노,8252,2024-12-30 00:26:56
케이크,16227,2024-12-30 08:26:56
케이크,1795,2024-12-29 18:13:56
아메리카노,4507,2024-12-30 05:41:56
카푸치노,8442,2024-12-30 03:58:56
케이크,15562,2024-12-30 02:49:56
카푸치노,3334,2024-12-29 23:55:56
케이크,13778,2024-12-29 18:42:56
아메리카노,25915,2024-12-29 23:51:56
카푸치노,4266,2024-12-30 00:39:56
케이크,7651,2024-12-30 16:50:56
아메리카노,22971,2024-12-29 21:13:56
아메리카노,6568,2024-12-29 19:37:56
카푸치노,18579,2024-12-30 08:37:56
케이크,29614,2024-12-30 14:44:56
케이크,29819,2024-12-30 13:58:56
케이크,18855,2024-12-29 18:51:56
아메리카노,26708,2024-12-30 01:18:56
카푸치노,23976,2024-12-30 02:21:56
아메리카노,23486,2024-12-30 05:48:56
아메리카노,1639,2024-12-30 14:36:56
카푸치노,7497,2024-12-29 21:09:56
카푸치노,5431,2024-12-30 06:42:56
케이크,11653,2024-12-30 11:10:56
케이크,4758,2024-12-29 22:31:56
케이크,22874,2024-12-30 05:53:56
아메리카노,11857,2024-12-30 04:42:56
케이크,21339,2024-12-30 15:22:56
아메리카노,16659,2024-12-30 08:45:56
카푸치노,11901,2024-12-30 01:37:56
케이크,22845,2024-12-30 12:47:56
케이크,24896,2024-12-30 15:11:56
케이크,11553,2024-12-30 03:34:56
카푸치노,20392,2024-12-29 22:08:56
케이크,25883,2024-12-30 01:15:56
케이크,20162,2024-12-29 19:45:56
아메리카노,18732,2024-12-30 09:43:56
아메리카노,25119,2024-12-30 13:12:56
아메리카노,23320,2024-12-29 20:20:56
카푸치노,5478,2024-12-30 01:02:56
카푸치노,5953,2024-12-30 14:10:56
카푸치노,10787,2024-12-30 10:41:56
아메리카노,8715,2024-12-30 09:36:56
카푸치노,15267,2024-12-30 09:21:56
카푸치노,29296,2024-12-29 23:59:56
아메리카노,27264,2024-12-29 18:45:56
카푸치노,18887,2024-12-29 18:01:56
카푸치노,15229,2024-12-30 06:06:56
아메리카노,14994,2024-12-30 12:13:56
아메리카노,11397,2024-12-29 21:04:56
카푸치노,19076,2024-12-30 02:20:56
케이크,19169,2024-12-30 06:23:56
카푸치노,22029,2024-12-30 09:29:56
아메리카노,28834,2024-12-30 08:28:56
카푸치노,21139,2024-12-30 01:12:56
아메리카노,1179,2024-12-29 20:38:56
카푸치노,18779,2024-12-30 15:19:56
카푸치노,12341,2024-12-29 19:02:56
케이크,19696,2024-12-30 16:12:56
아메리카노,19542,2024-12-30 14:26:56
아메리카노,18607,2024-12-29 21:36:56
아메리카노,18203,2024-12-29 21:47:56
카푸치노,7727,2024-12-30 16:18:56
카푸치노,28765,2024-12-30 12:53:56
케이크,4350,2024-12-29 21:27:56
아메리카노,26619,2024-12-30 06:58:56
아메리카노,9435,2024-12-30 01:28:56
아메리카노,15382,2024-12-30 01:47:56
케이크,14853,2024-12-29 20:01:56
카푸치노,23727,2024-12-29 18:11:56
케이크,18318,2024-12-30 00:39:56
케이크,14478,2024-12-30 14:29:56
카푸치노,13818,2024-12-29 18:06:56
케이크,2585,2024-12-30 10:29:56
카푸치노,12747,2024-12-30 02:49:56
아메리카노,2671,2024-12-30 09:54:56
카푸치노,1119,2024-12-29 21:43:56
카푸치노,2378,2024-12-30 05:04:56
케이크,27972,2024-12-30 16:14:56
케이크,6076,2024-12-30 14:09:56
카푸치노,6196,2024-12-30 12:54:56
카푸치노,14253,2024-12-30 00:20:56
아메리카노,25136,2024-12-30 07:53:56
케이크,14786,2024-12-30 11:24:56
케이크,21815,2024-12-30 06:44:56
케이크,4516,2024-12-29 19:36:56
카푸치노,5517,2024-12-30 11:40:56
케이크,9607,2024-12-30 06:09:56
카푸치노,12197,2024-12-29 22:23:56
케이크,20571,2024-12-30 14:38:56
케이크,11319,2024-12-30 15:58:56
카푸치노,7781,2024-12-29 18:34:56
케이크,12915,2024-12-30 13:20:56
케이크,8602,2024-12-30 02:57:56
아메리카노,19589,2024-12-30 08:53:56
케이크,29700,2024-12-29 22:21:56
