menu,price,order_time
카푸치노,10837,2024-12-29 22:47:56
카푸치노,10266,2024-12-30 10:24:56
카푸치노,28221,2024-12-29 22:23:56
아메리카노,14436,2024-12-30 05:30:56
아메리카노,14347,2024-12-30 09:16:56
카푸치노,20946,2024-12-30 14:07:56
아메리카노,15112,2024-12-30 14:28:56
케이크,8123,2024-12-30 15:47:56
아메리카노,19558,2024-12-29 17:26:56
케이크,17113,2024-12-30 09:39:56
아메리카노,8143,2024-12-29 22:49:56
아메리카노,2434,2024-12-29 19:18:56
카푸치노,28470,2024-12-29 23:53:56
카푸치노,13804,2024-12-30 04:36:56
아메리카노,7518,2024-12-29 23:49:56
카푸치노,27763,2024-12-30 02:23:56
아메리카노,22118,2024-12-30 07:09:56
케이크,9400,2024-12-29 22:14:56
카푸치노,8022,2024-12-30 10:54:56
아메리카노,7784,2024-12-30 16:11:56
케이크,26658,2024-12-29 19:49:56
아메리카노,1041,2024-12-30 12:31:56
카푸치노,25836,2024-12-29 21:38:56
카푸치노,17197,2024-12-30 12:26:56
아메리카노,18962,2024-12-30 10:07:56
케이크,17436,2024-12-29 17:46:56
케이크,3063,2024-12-29 18:32:56
케이크,22069,2024-12-29 21:53:56
아메리카노,27825,2024-12-29 20:55:56
케이크,29787,2024-12-30 08:41:56
카푸치노,16656,2024-12-29 22:04:56
케이크,19301,2024-12-30 15:42:56
카푸치노,12001,2024-12-30 13:02:56
카푸치노,14034,2024-12-29 21:50:56
케이크,18663,2024-12-30 15:52:56
케이크,14227,2024-12-30 11:29:56
카푸치노,28079,2024-12-30 09:03:56
아메리카노,1758,2024-12-30 02:15:56
카푸치노,24630,2024-12-30 08:21:56
카푸치노,28794,2024-12-30 06:02:56
케이크,22104,2024-12-30 09:15:56
아메리카노,4081,2024-12-30 06:05:56
아메리카노,6124,2024-12-30 12:59:56
케이크,28030,2024-12-30 08:42:56
아메리카노,15889,2024-12-30 08:54:56
케이크,15980,2024-12-30 11:50:56
아메리카노,8828,2024-12-29 17:59:56
아메리카노,2637,2024-12-30 16:50:56
케이크,15335,2024-12-30 16:19:56
아메리카노,24429,2024-12-29 19:56:56
카푸치노,21785,2024-12-30 10:29:56
카푸치노,9954,2024-12-29 22:33:56
아메리카노,21125,2024-12-30 04:02:56
케이크,3293,2024-12-30 02:04:56
케이크,1915,2024-12-30 04:59:56
케이크,11632,2024-12-30 09:35:56
카푸치노,6506,2024-12-30 01:22:56
케이크,16243,2024-12-30 09:28:56
아메리카노,15469,2024-12-30 09:46:56
카푸치노,4380,2024-12-30 14:50:56
케이크,18360,2024-12-29 18:03:56
아메리카노,9027,2024-12-30 10:30:56
아메리카노,14368,2024-12-29 18:52:56
카푸치노,13156,2024-12-30 09:55:56
케이크,26524,2024-12-30 12:12:56
카푸치노,27846,2024-12-30 15:18:56
아메리카노,25083,2024-12-29 23:47:56
아메리카노,10404,2024-12-30 11:09:56
아메리카노,20622,2024-12-30 10:53:56
아메리카노,20393,2024-12-29 18:37:56
카푸치노,3257,2024-12-30 00:17:56
아메리카노,17084,2024-12-30 17:12:56
아메리카노,22802,2024-12-30 17:17:56
아메리카노,20334,2024-12-29 17:27:56
케이크,3940,2024-12-30 15:09:56
아메리카노,15255,2024-12-30 02:18:56
카푸치노,1305,2024-12-30 11:59:56
카푸치노,24822,2024-12-30 12:59:56
아메리카노,27291,2024-12-29 22:04:56
카푸치노,19829,2024-12-29 22:23:56
카푸치노,11652,2024-12-30 09:36:56
케이크,22330,2024-12-29 18:02:56
아메리카노,6540,2024-12-29 18:43:56
아메리카노,10751,2024-12-30 10:18:56
카푸치노,25827,2024-12-29 23:24:56
케이크,20987,2024-12-30 13:00:56
카푸치노,28913,2024-12-30 03:46:56
아메리카노,11023,2024-12-30 11:28:56
카푸치노,13551,2024-12-30 11:23:56
카푸치노,22533,2024-12-30 11:49:56
카푸치노,22651,2024-12-29 18:12:56
케이크,9348,2024-12-30 05:07:56
케이크,26638,2024-12-30 11:03:56
카푸치노,13621,2024-12-30 05:17:56
카푸치노,13843,2024-12-30 01:45:56
카푸치노,29098,2024-12-30 04:47:56
아메리카노,9078,2024-12-30 03:03:56
케이크,15065,2024-12-30 02:36:56
카푸치노,25009,2024-12-30 00:40:56
케이크,15446,2024-12-30 02:37:56
