menu,price,order_time
케이크,16574,2024-12-30 06:48:57
케이크,25182,2024-12-30 02:56:57
케이크,12410,2024-12-30 10:32:57
아메리카노,13559,2024-12-29 20:47:57
카푸치노,20617,2024-12-30 04:55:57
카푸치노,17820,2024-12-30 00:08:57
카푸치노,17074,2024-12-29 23:25:57
케이크,22825,2024-12-29 20:49:57
아메리카노,22971,2024-12-30 07:39:57
아메리카노,27804,2024-12-30 12:23:57
카푸치노,14711,2024-12-29 22:20:57
아메리카노,27375,2024-12-30 14:43:57
카푸치노,16781,2024-12-30 07:00:57
아메리카노,18926,2024-12-30 10:36:57
카푸치노,18895,2024-12-30 07:58:57
케이크,22889,2024-12-29 18:51:57
카푸치노,18910,2024-12-30 13:25:57
아메리카노,17700,2024-12-30 06:57:57
카푸치노,12215,2024-12-29 23:24:57
케이크,4522,2024-12-29 17:36:57
케이크,10099,2024-12-30 02:15:57
케이크,7880,2024-12-29 23:37:57
카푸치노,26090,2024-12-30 04:46:57
아메리카노,1176,2024-12-30 17:02:57
케이크,25498,2024-12-30 00:40:57
케이크,26305,2024-12-30 01:42:57
케이크,3086,2024-12-30 02:01:57
카푸치노,24714,2024-12-30 03:37:57
아메리카노,3699,2024-12-30 05:51:57
케이크,10270,2024-12-30 01:44:57
카푸치노,12889,2024-12-30 01:41:57
케이크,14407,2024-12-30 03:19:57
아메리카노,18093,2024-12-29 22:50:57
케이크,8262,2024-12-30 04:38:57
케이크,3987,2024-12-30 00:41:57
케이크,27557,2024-12-30 09:56:57
케이크,16893,2024-12-30 08:01:57
케이크,15607,2024-12-30 06:29:57
카푸치노,22314,2024-12-29 21:48:57
케이크,25904,2024-12-30 02:48:57
아메리카노,17018,2024-12-30 06:55:57
카푸치노,10197,2024-12-29 22:34:57
카푸치노,2312,2024-12-30 08:28:57
아메리카노,1060,2024-12-29 19:01:57
아메리카노,6062,2024-12-30 13:56:57
아메리카노,15780,2024-12-30 01:31:57
케이크,28363,2024-12-30 13:46:57
케이크,29143,2024-12-30 13:03:57
케이크,13363,2024-12-30 12:23:57
아메리카노,9805,2024-12-29 23:02:57
케이크,11170,2024-12-30 01:02:57
아메리카노,19159,2024-12-30 02:47:57
카푸치노,15262,2024-12-30 13:26:57
케이크,12039,2024-12-29 17:33:57
케이크,4905,2024-12-30 01:34:57
카푸치노,28331,2024-12-29 22:50:57
케이크,28892,2024-12-30 07:54:57
케이크,7082,2024-12-29 22:28:57
카푸치노,2412,2024-12-30 01:06:57
아메리카노,22608,2024-12-30 16:57:57
카푸치노,28397,2024-12-30 07:29:57
아메리카노,21836,2024-12-30 14:36:57
케이크,20820,2024-12-30 07:37:57
카푸치노,8770,2024-12-30 11:55:57
아메리카노,15495,2024-12-29 22:29:57
아메리카노,24079,2024-12-30 15:28:57
케이크,27120,2024-12-30 00:21:57
카푸치노,15918,2024-12-29 20:47:57
아메리카노,22120,2024-12-30 00:17:57
아메리카노,20647,2024-12-29 18:36:57
카푸치노,8852,2024-12-30 13:25:57
카푸치노,25399,2024-12-30 09:19:57
아메리카노,18890,2024-12-30 04:08:57
카푸치노,28873,2024-12-30 02:54:57
아메리카노,25768,2024-12-30 01:49:57
케이크,20543,2024-12-30 09:27:57
카푸치노,17971,2024-12-30 14:17:57
아메리카노,2503,2024-12-29 18:21:57
카푸치노,6384,2024-12-30 00:10:57
아메리카노,21715,2024-12-30 08:33:57
아메리카노,24493,2024-12-30 14:00:57
아메리카노,10571,2024-12-29 23:33:57
카푸치노,8415,2024-12-30 17:18:57
케이크,25265,2024-12-30 16:21:57
카푸치노,23818,2024-12-30 15:18:57
아메리카노,3699,2024-12-30 01:02:57
아메리카노,7710,2024-12-30 10:23:57
케이크,14809,2024-12-29 21:16:57
아메리카노,9059,2024-12-30 02:38:57
아메리카노,24240,2024-12-30 16:14:57
아메리카노,25489,2024-12-30 09:47:57
카푸치노,26617,2024-12-30 06:46:57
카푸치노,2298,2024-12-30 01:34:57
아메리카노,12349,2024-12-30 08:32:57
아메리카노,14644,2024-12-30 13:10:57
케이크,29375,2024-12-30 08:13:57
아메리카노,3387,2024-12-30 10:28:57
아메리카노,9280,2024-12-29 20:44:57
카푸치노,26927,2024-12-30 10:23:57
카푸치노,20212,2024-12-29 23:32:57
