menu,price,order_time
카푸치노,22184,2024-12-30 11:46:56
케이크,10579,2024-12-30 11:21:56
카푸치노,13259,2024-12-29 23:15:56
카푸치노,1821,2024-12-30 13:17:56
아메리카노,12880,2024-12-29 23:05:56
카푸치노,27055,2024-12-30 09:25:56
카푸치노,18979,2024-12-30 12:17:56
아메리카노,1702,2024-12-29 21:02:56
카푸치노,1680,2024-12-29 18:07:56
아메리카노,3390,2024-12-30 05:10:56
카푸치노,20538,2024-12-30 06:31:56
케이크,17199,2024-12-29 22:18:56
케이크,7600,2024-12-30 01:17:56
아메리카노,9642,2024-12-30 03:22:56
카푸치노,14600,2024-12-30 11:02:56
카푸치노,13188,2024-12-30 14:35:56
아메리카노,26040,2024-12-30 09:24:56
케이크,21067,2024-12-29 19:48:56
카푸치노,19281,2024-12-30 05:50:56
카푸치노,20190,2024-12-30 01:23:56
아메리카노,24862,2024-12-29 21:13:56
카푸치노,26002,2024-12-30 00:56:56
케이크,27653,2024-12-30 07:40:56
카푸치노,24389,2024-12-30 14:00:56
카푸치노,15640,2024-12-30 04:35:56
케이크,10015,2024-12-29 22:38:56
카푸치노,7681,2024-12-30 05:51:56
케이크,20598,2024-12-30 04:37:56
아메리카노,10482,2024-12-30 03:56:56
케이크,20885,2024-12-29 23:34:56
카푸치노,25121,2024-12-29 20:07:56
카푸치노,15932,2024-12-30 16:01:56
카푸치노,24530,2024-12-30 10:32:56
케이크,28560,2024-12-30 00:06:56
카푸치노,15411,2024-12-29 21:40:56
아메리카노,21073,2024-12-29 20:15:56
카푸치노,6399,2024-12-29 18:50:56
케이크,14331,2024-12-30 13:56:56
카푸치노,6358,2024-12-30 14:14:56
아메리카노,6390,2024-12-29 20:41:56
카푸치노,25828,2024-12-30 06:31:56
아메리카노,21068,2024-12-30 12:07:56
아메리카노,10338,2024-12-30 06:00:56
카푸치노,28422,2024-12-30 06:01:56
케이크,26459,2024-12-30 10:50:56
케이크,20582,2024-12-30 15:24:56
아메리카노,19418,2024-12-30 13:13:56
케이크,26635,2024-12-30 03:03:56
케이크,24385,2024-12-29 21:53:56
카푸치노,27590,2024-12-30 00:45:56
아메리카노,27822,2024-12-30 09:01:56
카푸치노,13452,2024-12-30 02:44:56
케이크,18923,2024-12-30 06:40:56
아메리카노,23679,2024-12-30 13:03:56
아메리카노,27178,2024-12-30 01:18:56
케이크,6334,2024-12-30 16:33:56
케이크,4230,2024-12-30 03:09:56
카푸치노,26526,2024-12-30 13:35:56
아메리카노,6155,2024-12-30 11:34:56
케이크,13792,2024-12-30 04:07:56
아메리카노,16307,2024-12-29 23:59:56
케이크,28181,2024-12-30 03:51:56
아메리카노,27202,2024-12-30 14:15:56
카푸치노,6485,2024-12-29 23:42:56
아메리카노,28881,2024-12-30 06:08:56
아메리카노,4477,2024-12-30 03:13:56
케이크,1188,2024-12-29 19:33:56
케이크,21743,2024-12-29 20:29:56
케이크,28956,2024-12-30 09:04:56
카푸치노,27326,2024-12-30 04:00:56
아메리카노,12746,2024-12-30 12:54:56
아메리카노,22964,2024-12-30 14:20:56
케이크,22960,2024-12-29 17:57:56
카푸치노,19136,2024-12-29 21:28:56
아메리카노,27569,2024-12-30 14:51:56
카푸치노,17807,2024-12-30 13:47:56
아메리카노,22789,2024-12-30 00:37:56
케이크,28130,2024-12-30 16:01:56
아메리카노,17621,2024-12-30 09:06:56
케이크,3348,2024-12-29 18:27:56
케이크,12690,2024-12-29 19:18:56
아메리카노,12257,2024-12-30 10:30:56
카푸치노,19239,2024-12-30 06:35:56
아메리카노,28917,2024-12-30 13:28:56
케이크,24110,2024-12-30 17:06:56
카푸치노,23354,2024-12-29 21:14:56
카푸치노,29884,2024-12-30 06:18:56
케이크,25032,2024-12-30 15:37:56
카푸치노,25508,2024-12-30 02:28:56
케이크,7060,2024-12-30 14:13:56
케이크,25626,2024-12-30 14:40:56
아메리카노,8249,2024-12-29 19:25:56
아메리카노,25422,2024-12-30 10:08:56
케이크,22242,2024-12-30 15:12:56
아메리카노,4766,2024-12-29 21:25:56
카푸치노,12510,2024-12-29 22:47:56
카푸치노,21255,2024-12-30 16:15:56
케이크,2142,2024-12-30 04:08:56
카푸치노,1731,2024-12-30 12:47:56
아메리카노,25098,2024-12-29 23:45:56
