menu,price,order_time
감자튀김,14858,2024-12-29 23:34:56
닭강정,23275,2024-12-29 20:04:56
떡볶이,6701,2024-12-30 09:14:56
닭강정,15100,2024-12-30 14:03:56
떡볶이,13833,2024-12-30 08:38:56
닭강정,27086,2024-12-30 12:58:56
감자튀김,25475,2024-12-30 06:14:56
떡볶이,26435,2024-12-30 00:49:56
떡볶이,24784,2024-12-30 15:39:56
떡볶이,25602,2024-12-29 23:34:56
닭강정,16728,2024-12-30 04:29:56
닭강정,21414,2024-12-30 10:49:56
떡볶이,15427,2024-12-30 03:06:56
닭강정,5529,2024-12-30 09:33:56
닭강정,13981,2024-12-30 03:08:56
떡볶이,25277,2024-12-30 11:25:56
감자튀김,7039,2024-12-30 13:28:56
떡볶이,1469,2024-12-30 06:18:56
닭강정,13653,2024-12-29 20:01:56
감자튀김,5036,2024-12-30 14:06:56
닭강정,5511,2024-12-30 08:28:56
떡볶이,20219,2024-12-30 00:47:56
감자튀김,12177,2024-12-30 05:44:56
떡볶이,3738,2024-12-30 13:32:56
감자튀김,7535,2024-12-29 17:55:56
닭강정,21571,2024-12-30 06:40:56
감자튀김,10223,2024-12-30 12:53:56
닭강정,7557,2024-12-30 07:32:56
감자튀김,7048,2024-12-30 02:02:56
떡볶이,20627,2024-12-30 13:48:56
닭강정,27454,2024-12-30 02:44:56
떡볶이,29359,2024-12-29 17:22:56
감자튀김,11254,2024-12-30 05:17:56
닭강정,19734,2024-12-30 07:05:56
감자튀김,10550,2024-12-30 02:42:56
닭강정,3674,2024-12-29 17:51:56
닭강정,26116,2024-12-30 09:19:56
닭강정,3327,2024-12-30 08:50:56
감자튀김,1816,2024-12-30 12:52:56
닭강정,23481,2024-12-30 07:57:56
감자튀김,26836,2024-12-30 09:29:56
닭강정,5076,2024-12-29 21:26:56
닭강정,12448,2024-12-30 05:58:56
닭강정,10496,2024-12-30 15:52:56
감자튀김,2158,2024-12-30 13:52:56
떡볶이,12724,2024-12-30 04:53:56
떡볶이,26613,2024-12-29 20:07:56
떡볶이,27344,2024-12-30 16:16:56
닭강정,2702,2024-12-29 23:25:56
닭강정,17684,2024-12-30 01:42:56
닭강정,8153,2024-12-30 03:34:56
닭강정,20449,2024-12-29 17:37:56
떡볶이,5562,2024-12-30 06:42:56
떡볶이,25413,2024-12-29 18:01:56
닭강정,20886,2024-12-30 07:10:56
닭강정,13352,2024-12-29 22:49:56
닭강정,5814,2024-12-29 18:09:56
닭강정,15067,2024-12-30 03:21:56
닭강정,7853,2024-12-30 00:14:56
감자튀김,12932,2024-12-30 10:35:56
떡볶이,26996,2024-12-29 22:01:56
감자튀김,29112,2024-12-30 00:56:56
떡볶이,28745,2024-12-29 17:27:56
감자튀김,25828,2024-12-30 04:00:56
떡볶이,2671,2024-12-30 05:52:56
닭강정,1201,2024-12-30 00:38:56
감자튀김,11408,2024-12-29 17:35:56
감자튀김,20292,2024-12-30 08:35:56
떡볶이,24040,2024-12-30 15:51:56
감자튀김,4125,2024-12-29 17:44:56
감자튀김,10340,2024-12-29 19:30:56
닭강정,25262,2024-12-30 08:15:56
닭강정,1159,2024-12-30 12:10:56
감자튀김,16160,2024-12-30 04:12:56
떡볶이,22944,2024-12-29 18:29:56
떡볶이,20008,2024-12-30 11:26:56
닭강정,1726,2024-12-30 10:35:56
감자튀김,11573,2024-12-30 04:31:56
닭강정,9879,2024-12-30 07:51:56
떡볶이,21118,2024-12-30 08:42:56
닭강정,29380,2024-12-29 22:50:56
떡볶이,7928,2024-12-29 18:08:56
떡볶이,5779,2024-12-30 16:44:56
닭강정,16963,2024-12-30 11:10:56
떡볶이,12376,2024-12-29 18:12:56
닭강정,15600,2024-12-30 10:54:56
닭강정,19212,2024-12-30 01:34:56
떡볶이,7487,2024-12-29 21:08:56
감자튀김,23903,2024-12-29 19:42:56
닭강정,23784,2024-12-30 02:26:56
감자튀김,27475,2024-12-29 20:57:56
떡볶이,6555,2024-12-30 05:50:56
감자튀김,7570,2024-12-30 01:53:56
감자튀김,8345,2024-12-30 05:46:56
떡볶이,18563,2024-12-30 01:03:56
감자튀김,28001,2024-12-30 16:15:56
떡볶이,16777,2024-12-30 09:55:56
닭강정,19773,2024-12-29 19:23:56
닭강정,1082,2024-12-30 07:40:56
떡볶이,20875,2024-12-30 03:02:56
