menu,price,order_time
떡볶이,27016,2024-12-30 00:48:56
김밥,14032,2024-12-30 08:00:56
떡볶이,5345,2024-12-30 16:48:56
떡볶이,12890,2024-12-30 09:39:56
김밥,23713,2024-12-30 12:27:56
김밥,4835,2024-12-30 11:25:56
떡볶이,14175,2024-12-30 08:03:56
만두,9345,2024-12-30 14:57:56
김밥,1380,2024-12-30 02:51:56
떡볶이,10663,2024-12-29 22:54:56
만두,5124,2024-12-29 18:45:56
떡볶이,28421,2024-12-30 04:58:56
만두,16930,2024-12-29 21:33:56
김밥,24483,2024-12-29 21:39:56
김밥,16290,2024-12-30 17:05:56
떡볶이,8677,2024-12-30 01:11:56
만두,11226,2024-12-30 03:54:56
떡볶이,4533,2024-12-30 04:09:56
만두,2501,2024-12-30 03:53:56
김밥,6423,2024-12-30 12:57:56
만두,29234,2024-12-30 02:42:56
김밥,10834,2024-12-30 03:33:56
떡볶이,4541,2024-12-30 02:49:56
떡볶이,17927,2024-12-30 16:43:56
김밥,12740,2024-12-29 18:36:56
떡볶이,20577,2024-12-29 23:05:56
김밥,27766,2024-12-30 08:52:56
김밥,16574,2024-12-30 08:04:56
떡볶이,25136,2024-12-30 05:42:56
만두,21861,2024-12-29 23:12:56
떡볶이,17651,2024-12-29 23:44:56
김밥,11684,2024-12-30 10:39:56
김밥,8223,2024-12-30 01:14:56
떡볶이,27430,2024-12-29 17:45:56
만두,12165,2024-12-29 17:39:56
떡볶이,18853,2024-12-30 08:34:56
떡볶이,7237,2024-12-29 21:33:56
만두,5549,2024-12-30 06:22:56
떡볶이,16180,2024-12-30 04:22:56
김밥,9151,2024-12-30 01:43:56
만두,17577,2024-12-30 04:03:56
떡볶이,9683,2024-12-30 15:53:56
떡볶이,16809,2024-12-30 14:41:56
떡볶이,26832,2024-12-30 16:32:56
만두,23353,2024-12-30 13:03:56
떡볶이,19987,2024-12-30 15:18:56
김밥,15428,2024-12-30 08:01:56
떡볶이,10665,2024-12-29 18:47:56
김밥,3550,2024-12-30 06:52:56
만두,24452,2024-12-30 05:57:56
김밥,24170,2024-12-30 11:58:56
만두,17083,2024-12-29 23:19:56
만두,1940,2024-12-30 13:30:56
김밥,26900,2024-12-30 03:01:56
떡볶이,17082,2024-12-30 12:18:56
떡볶이,2914,2024-12-29 21:03:56
떡볶이,11359,2024-12-30 13:58:56
만두,10488,2024-12-30 00:36:56
만두,28797,2024-12-30 00:47:56
떡볶이,29035,2024-12-30 10:53:56
김밥,5298,2024-12-30 00:01:56
떡볶이,4023,2024-12-29 19:22:56
떡볶이,18209,2024-12-30 05:54:56
떡볶이,2811,2024-12-29 23:40:56
만두,14732,2024-12-30 07:01:56
김밥,9146,2024-12-29 18:44:56
김밥,13467,2024-12-29 18:33:56
만두,2689,2024-12-30 02:03:56
떡볶이,18410,2024-12-30 16:56:56
떡볶이,6029,2024-12-30 14:43:56
만두,28035,2024-12-30 15:07:56
만두,12563,2024-12-30 09:51:56
떡볶이,25153,2024-12-29 19:18:56
만두,9224,2024-12-30 17:20:56
만두,23799,2024-12-30 16:55:56
김밥,3067,2024-12-30 13:24:56
떡볶이,1812,2024-12-30 07:03:56
만두,7705,2024-12-30 09:11:56
떡볶이,15182,2024-12-29 23:44:56
떡볶이,8184,2024-12-30 06:33:56
떡볶이,12734,2024-12-30 01:38:56
만두,7575,2024-12-29 17:27:56
만두,6660,2024-12-30 03:46:56
만두,16874,2024-12-29 22:05:56
김밥,14057,2024-12-30 03:28:56
떡볶이,27197,2024-12-30 06:09:56
김밥,1316,2024-12-30 04:47:56
떡볶이,15079,2024-12-29 22:17:56
떡볶이,14557,2024-12-29 18:53:56
떡볶이,11832,2024-12-30 05:07:56
만두,23232,2024-12-30 10:15:56
김밥,21299,2024-12-30 02:27:56
김밥,6794,2024-12-30 02:52:56
김밥,11745,2024-12-30 08:10:56
김밥,16232,2024-12-30 00:05:56
떡볶이,19310,2024-12-30 03:24:56
만두,12611,2024-12-29 22:09:56
김밥,12763,2024-12-30 02:11:56
떡볶이,28727,2024-12-30 07:25:56
떡볶이,23762,2024-12-30 04:23:56
