menu,price,order_time
아메리카노,15541,2024-12-30 08:47:56
카푸치노,23276,2024-12-30 05:36:56
카푸치노,24555,2024-12-30 03:34:56
카푸치노,6248,2024-12-30 09:47:56
아메리카노,16143,2024-12-29 17:41:56
아메리카노,27095,2024-12-30 06:40:56
카푸치노,3587,2024-12-30 13:14:56
케이크,28525,2024-12-30 01:34:56
아메리카노,27978,2024-12-30 11:16:56
아메리카노,18864,2024-12-30 03:59:56
케이크,23796,2024-12-30 08:20:56
케이크,27041,2024-12-29 20:52:56
아메리카노,16627,2024-12-30 14:19:56
카푸치노,6039,2024-12-29 23:13:56
아메리카노,29761,2024-12-30 00:52:56
아메리카노,15777,2024-12-30 05:13:56
아메리카노,2671,2024-12-30 15:14:56
아메리카노,6458,2024-12-29 23:28:56
카푸치노,4134,2024-12-30 04:52:56
아메리카노,5693,2024-12-30 05:11:56
카푸치노,27316,2024-12-30 01:51:56
케이크,6698,2024-12-30 05:17:56
카푸치노,29888,2024-12-29 23:10:56
아메리카노,23505,2024-12-29 19:12:56
케이크,7026,2024-12-30 08:31:56
케이크,6969,2024-12-30 08:04:56
카푸치노,7947,2024-12-29 22:45:56
아메리카노,18548,2024-12-30 14:52:56
카푸치노,3952,2024-12-30 02:28:56
케이크,9777,2024-12-30 01:07:56
카푸치노,10667,2024-12-29 20:56:56
아메리카노,4937,2024-12-29 23:20:56
카푸치노,19711,2024-12-30 12:00:56
케이크,6148,2024-12-30 11:28:56
케이크,17341,2024-12-30 12:34:56
카푸치노,6333,2024-12-30 06:38:56
아메리카노,26558,2024-12-30 07:20:56
케이크,11508,2024-12-30 02:37:56
케이크,4222,2024-12-30 09:45:56
아메리카노,13850,2024-12-30 13:08:56
아메리카노,23794,2024-12-29 22:23:56
카푸치노,24457,2024-12-30 11:51:56
케이크,27567,2024-12-29 20:58:56
아메리카노,24223,2024-12-30 13:57:56
카푸치노,16753,2024-12-30 09:43:56
아메리카노,19409,2024-12-30 12:45:56
카푸치노,22047,2024-12-30 06:43:56
아메리카노,17257,2024-12-30 16:16:56
아메리카노,20303,2024-12-29 21:44:56
아메리카노,20406,2024-12-30 02:16:56
아메리카노,24398,2024-12-30 11:36:56
카푸치노,25466,2024-12-29 23:54:56
카푸치노,11126,2024-12-30 12:29:56
카푸치노,28659,2024-12-30 04:50:56
아메리카노,15544,2024-12-29 21:20:56
케이크,19691,2024-12-30 04:52:56
케이크,3136,2024-12-30 10:00:56
케이크,24312,2024-12-30 02:14:56
카푸치노,16274,2024-12-30 02:17:56
케이크,28358,2024-12-30 01:40:56
아메리카노,1413,2024-12-30 15:05:56
카푸치노,3451,2024-12-30 12:25:56
카푸치노,23735,2024-12-30 15:42:56
카푸치노,3375,2024-12-29 18:27:56
아메리카노,9886,2024-12-30 00:55:56
케이크,15751,2024-12-30 14:08:56
아메리카노,11665,2024-12-30 06:30:56
카푸치노,29664,2024-12-29 17:33:56
아메리카노,19867,2024-12-30 15:38:56
케이크,6667,2024-12-29 22:30:56
케이크,14671,2024-12-30 10:39:56
카푸치노,3990,2024-12-30 12:04:56
케이크,3818,2024-12-30 12:39:56
아메리카노,7623,2024-12-30 05:59:56
케이크,15491,2024-12-30 07:20:56
케이크,2991,2024-12-30 06:21:56
아메리카노,23903,2024-12-29 18:08:56
케이크,10200,2024-12-30 03:02:56
카푸치노,24449,2024-12-29 18:10:56
아메리카노,21243,2024-12-30 16:39:56
아메리카노,26264,2024-12-30 02:59:56
카푸치노,15822,2024-12-30 10:34:56
카푸치노,10704,2024-12-29 17:52:56
케이크,22083,2024-12-30 15:45:56
아메리카노,28322,2024-12-29 20:46:56
카푸치노,8506,2024-12-30 17:18:56
아메리카노,26723,2024-12-30 13:40:56
카푸치노,16490,2024-12-29 21:57:56
케이크,21485,2024-12-30 15:17:56
아메리카노,23235,2024-12-30 02:49:56
케이크,20539,2024-12-29 23:03:56
아메리카노,28766,2024-12-29 21:43:56
아메리카노,28349,2024-12-29 18:30:56
케이크,18829,2024-12-30 15:44:56
카푸치노,2577,2024-12-30 01:23:56
아메리카노,15804,2024-12-30 05:34:56
케이크,23418,2024-12-30 06:06:56
카푸치노,23629,2024-12-29 19:11:56
아메리카노,23709,2024-12-30 07:22:56
케이크,25585,2024-12-29 21:39:56
