menu,price,order_time
떡볶이,3749,2024-12-29 21:59:56
닭강정,22471,2024-12-30 07:10:56
닭강정,1119,2024-12-30 07:01:56
떡볶이,16490,2024-12-30 08:16:56
닭강정,20944,2024-12-30 13:55:56
떡볶이,5083,2024-12-30 08:28:56
떡볶이,23073,2024-12-30 12:31:56
떡볶이,28853,2024-12-30 14:44:56
감자튀김,28738,2024-12-30 05:56:56
떡볶이,21057,2024-12-30 00:40:56
닭강정,24584,2024-12-30 15:04:56
감자튀김,17216,2024-12-29 19:29:56
닭강정,25142,2024-12-30 00:40:56
닭강정,6403,2024-12-30 01:20:56
닭강정,23117,2024-12-29 19:51:56
닭강정,25236,2024-12-30 10:26:56
닭강정,11578,2024-12-30 02:40:56
떡볶이,1450,2024-12-30 12:35:56
닭강정,10460,2024-12-30 05:21:56
감자튀김,14999,2024-12-30 05:06:56
닭강정,23456,2024-12-30 06:06:56
감자튀김,3875,2024-12-29 18:13:56
감자튀김,15094,2024-12-30 05:06:56
감자튀김,22509,2024-12-30 12:25:56
닭강정,4249,2024-12-30 16:45:56
감자튀김,24561,2024-12-30 16:36:56
닭강정,21079,2024-12-30 01:18:56
떡볶이,16895,2024-12-30 02:10:56
감자튀김,24261,2024-12-29 21:57:56
떡볶이,1732,2024-12-30 07:46:56
닭강정,28077,2024-12-30 03:52:56
감자튀김,28605,2024-12-30 11:00:56
감자튀김,6843,2024-12-30 09:42:56
감자튀김,3724,2024-12-29 20:55:56
감자튀김,4844,2024-12-30 02:04:56
닭강정,13112,2024-12-30 00:03:56
감자튀김,9148,2024-12-30 05:41:56
떡볶이,13553,2024-12-30 12:20:56
감자튀김,29620,2024-12-29 19:31:56
감자튀김,15395,2024-12-29 23:28:56
닭강정,26890,2024-12-30 14:44:56
감자튀김,9574,2024-12-29 21:32:56
떡볶이,19520,2024-12-30 13:11:56
닭강정,8025,2024-12-30 16:20:56
감자튀김,18427,2024-12-30 10:42:56
닭강정,27100,2024-12-29 18:38:56
감자튀김,5178,2024-12-30 12:31:56
감자튀김,6463,2024-12-30 07:30:56
감자튀김,15146,2024-12-30 14:18:56
감자튀김,12119,2024-12-30 14:55:56
떡볶이,7657,2024-12-30 12:54:56
감자튀김,6065,2024-12-30 05:28:56
떡볶이,28292,2024-12-30 03:50:56
닭강정,24565,2024-12-29 19:44:56
떡볶이,16163,2024-12-30 06:41:56
떡볶이,26764,2024-12-29 20:50:56
닭강정,19564,2024-12-30 16:02:56
감자튀김,7327,2024-12-30 01:41:56
감자튀김,28212,2024-12-30 01:25:56
감자튀김,13027,2024-12-30 07:46:56
감자튀김,2284,2024-12-30 06:09:56
감자튀김,29976,2024-12-30 11:46:56
닭강정,29195,2024-12-29 19:22:56
감자튀김,22943,2024-12-30 14:52:56
닭강정,4511,2024-12-30 09:15:56
닭강정,25086,2024-12-30 11:14:56
떡볶이,1412,2024-12-30 04:35:56
닭강정,20802,2024-12-29 21:59:56
닭강정,29082,2024-12-30 14:38:56
떡볶이,13888,2024-12-30 06:27:56
감자튀김,16497,2024-12-30 07:27:56
닭강정,19333,2024-12-30 05:39:56
감자튀김,3317,2024-12-29 19:24:56
감자튀김,7929,2024-12-30 14:50:56
감자튀김,5192,2024-12-30 02:29:56
떡볶이,28530,2024-12-29 18:00:56
감자튀김,13065,2024-12-30 10:22:56
감자튀김,26464,2024-12-30 07:57:56
떡볶이,20192,2024-12-30 14:33:56
떡볶이,12934,2024-12-30 05:07:56
닭강정,14368,2024-12-30 11:20:56
떡볶이,17439,2024-12-30 13:13:56
닭강정,23325,2024-12-30 12:18:56
떡볶이,29251,2024-12-30 14:51:56
닭강정,14796,2024-12-30 06:23:56
닭강정,17503,2024-12-30 04:15:56
감자튀김,18955,2024-12-30 05:07:56
떡볶이,4691,2024-12-30 05:03:56
감자튀김,27461,2024-12-30 16:32:56
닭강정,12493,2024-12-30 13:15:56
닭강정,29055,2024-12-29 18:21:56
떡볶이,24808,2024-12-30 02:55:56
닭강정,7315,2024-12-29 20:23:56
떡볶이,6334,2024-12-29 17:49:56
닭강정,27732,2024-12-30 06:48:56
닭강정,16357,2024-12-30 02:10:56
감자튀김,10343,2024-12-30 14:59:56
감자튀김,24633,2024-12-30 09:05:56
닭강정,1817,2024-12-30 10:26:56
떡볶이,8787,2024-12-30 16:37:56
