menu,price,order_time
김밥,5886,2024-12-30 13:53:57
만두,12606,2024-12-30 03:47:57
만두,24227,2024-12-30 13:04:57
만두,21382,2024-12-29 20:42:57
만두,27910,2024-12-29 22:03:57
만두,1710,2024-12-29 23:11:57
떡볶이,3616,2024-12-30 07:27:57
만두,26049,2024-12-29 22:32:57
떡볶이,2986,2024-12-29 23:25:57
김밥,14754,2024-12-29 18:59:57
떡볶이,22567,2024-12-30 06:07:57
김밥,3268,2024-12-30 06:36:57
떡볶이,23799,2024-12-30 08:24:57
만두,14278,2024-12-29 20:45:57
만두,25947,2024-12-30 09:22:57
떡볶이,11934,2024-12-30 07:00:57
김밥,4334,2024-12-30 03:07:57
만두,9305,2024-12-29 23:24:57
김밥,19458,2024-12-29 18:31:57
김밥,20626,2024-12-30 08:47:57
만두,18723,2024-12-30 06:49:57
떡볶이,1231,2024-12-29 23:57:57
떡볶이,23370,2024-12-29 20:01:57
떡볶이,12069,2024-12-30 00:36:57
김밥,7753,2024-12-30 03:17:57
떡볶이,3870,2024-12-29 18:47:57
만두,17391,2024-12-30 09:04:57
김밥,12725,2024-12-30 00:45:57
김밥,9417,2024-12-29 18:41:57
떡볶이,1039,2024-12-30 14:27:57
떡볶이,29380,2024-12-30 03:15:57
만두,29299,2024-12-30 11:32:57
떡볶이,28855,2024-12-30 00:17:57
떡볶이,8604,2024-12-30 03:20:57
떡볶이,6695,2024-12-30 16:53:57
김밥,12341,2024-12-30 08:40:57
떡볶이,4829,2024-12-30 02:03:57
김밥,29817,2024-12-30 11:35:57
떡볶이,20318,2024-12-30 05:51:57
떡볶이,6756,2024-12-30 05:31:57
만두,22101,2024-12-30 05:35:57
김밥,11534,2024-12-29 19:56:57
만두,15615,2024-12-29 19:31:57
만두,12307,2024-12-29 22:08:57
떡볶이,21508,2024-12-29 20:24:57
만두,11621,2024-12-30 14:27:57
떡볶이,8037,2024-12-30 04:51:57
김밥,6730,2024-12-29 21:32:57
떡볶이,17432,2024-12-29 23:04:57
떡볶이,20384,2024-12-29 23:50:57
떡볶이,12833,2024-12-30 01:30:57
떡볶이,26248,2024-12-30 10:07:57
김밥,21359,2024-12-30 01:18:57
김밥,24597,2024-12-30 03:07:57
떡볶이,14984,2024-12-29 22:46:57
김밥,9561,2024-12-29 18:16:57
김밥,9898,2024-12-29 18:33:57
만두,27064,2024-12-30 11:49:57
만두,21192,2024-12-30 07:20:57
만두,22232,2024-12-30 04:57:57
떡볶이,24821,2024-12-30 09:35:57
만두,12644,2024-12-30 14:53:57
김밥,4868,2024-12-30 01:32:57
떡볶이,17499,2024-12-30 06:30:57
떡볶이,7562,2024-12-30 07:26:57
만두,16698,2024-12-30 02:59:57
만두,22301,2024-12-29 17:56:57
김밥,22704,2024-12-30 10:21:57
떡볶이,27556,2024-12-30 00:42:57
만두,10016,2024-12-30 11:06:57
김밥,14218,2024-12-30 07:37:57
만두,3718,2024-12-30 11:11:57
떡볶이,1204,2024-12-29 22:58:57
김밥,16713,2024-12-29 23:50:57
김밥,17105,2024-12-30 07:40:57
떡볶이,22289,2024-12-30 01:17:57
떡볶이,10113,2024-12-30 09:19:57
김밥,25301,2024-12-30 05:41:57
떡볶이,24500,2024-12-30 13:09:57
떡볶이,28008,2024-12-30 14:30:57
떡볶이,19776,2024-12-30 03:30:57
김밥,16783,2024-12-29 20:56:57
떡볶이,11708,2024-12-30 08:25:57
만두,13321,2024-12-29 18:02:57
떡볶이,26022,2024-12-29 23:08:57
김밥,29770,2024-12-29 20:39:57
만두,25365,2024-12-30 02:58:57
떡볶이,16705,2024-12-30 03:58:57
떡볶이,19251,2024-12-29 21:22:57
떡볶이,7387,2024-12-30 04:34:57
김밥,8975,2024-12-30 01:11:57
만두,26398,2024-12-30 13:39:57
김밥,22061,2024-12-30 09:07:57
김밥,23518,2024-12-29 20:28:57
김밥,5219,2024-12-30 09:39:57
만두,19342,2024-12-29 20:34:57
떡볶이,17719,2024-12-30 06:30:57
만두,25693,2024-12-29 18:41:57
김밥,10075,2024-12-30 05:02:57
떡볶이,1761,2024-12-30 11:08:57
