menu,price,order_time
IPA,29016,2024-12-29 22:54:56
흑맥주,17832,2024-12-30 10:24:56
필스너,24361,2024-12-30 00:54:56
IPA,10208,2024-12-30 07:12:56
흑맥주,22969,2024-12-30 13:45:56
IPA,1093,2024-12-30 01:04:56
필스너,9760,2024-12-30 15:51:56
흑맥주,26469,2024-12-29 21:44:56
IPA,17331,2024-12-30 13:18:56
필스너,5780,2024-12-29 23:19:56
흑맥주,4595,2024-12-29 18:52:56
흑맥주,11238,2024-12-30 02:48:56
IPA,13891,2024-12-29 20:17:56
IPA,9884,2024-12-30 02:12:56
흑맥주,7012,2024-12-30 02:11:56
필스너,3291,2024-12-30 16:36:56
IPA,25063,2024-12-30 07:45:56
IPA,11758,2024-12-30 03:38:56
필스너,11539,2024-12-30 16:40:56
IPA,19720,2024-12-30 12:57:56
흑맥주,22595,2024-12-30 15:34:56
필스너,20727,2024-12-30 03:19:56
IPA,4504,2024-12-29 17:48:56
필스너,1781,2024-12-30 16:42:56
IPA,9501,2024-12-30 07:23:56
필스너,19619,2024-12-30 10:40:56
IPA,19119,2024-12-30 03:19:56
흑맥주,16142,2024-12-30 13:49:56
IPA,7777,2024-12-29 23:40:56
IPA,10869,2024-12-29 19:37:56
흑맥주,14725,2024-12-30 16:23:56
IPA,14998,2024-12-29 23:41:56
IPA,14661,2024-12-30 05:11:56
흑맥주,11635,2024-12-30 01:15:56
흑맥주,18630,2024-12-29 23:04:56
필스너,22462,2024-12-30 07:01:56
흑맥주,3483,2024-12-30 16:02:56
필스너,18445,2024-12-30 01:57:56
필스너,11475,2024-12-29 23:05:56
IPA,17533,2024-12-30 01:06:56
흑맥주,18320,2024-12-29 23:10:56
필스너,3747,2024-12-30 01:53:56
필스너,2491,2024-12-30 15:15:56
필스너,6579,2024-12-30 13:39:56
IPA,10094,2024-12-30 05:54:56
흑맥주,10396,2024-12-30 09:23:56
IPA,9804,2024-12-29 20:41:56
필스너,11888,2024-12-30 16:10:56
필스너,22359,2024-12-30 08:50:56
흑맥주,18046,2024-12-29 17:40:56
IPA,16130,2024-12-30 10:02:56
필스너,26025,2024-12-30 13:52:56
IPA,13055,2024-12-29 18:19:56
필스너,3844,2024-12-30 00:19:56
흑맥주,21000,2024-12-29 23:04:56
흑맥주,11720,2024-12-30 12:43:56
흑맥주,20404,2024-12-30 13:51:56
필스너,13434,2024-12-29 22:15:56
흑맥주,12138,2024-12-30 09:42:56
필스너,23726,2024-12-30 10:14:56
흑맥주,20297,2024-12-30 08:44:56
필스너,3618,2024-12-30 16:17:56
흑맥주,17532,2024-12-30 14:21:56
IPA,16269,2024-12-29 19:05:56
흑맥주,8043,2024-12-29 19:54:56
IPA,21146,2024-12-30 00:06:56
흑맥주,16777,2024-12-30 00:54:56
IPA,17267,2024-12-30 02:20:56
흑맥주,12795,2024-12-30 04:09:56
필스너,20338,2024-12-29 21:27:56
흑맥주,10707,2024-12-30 02:43:56
필스너,1310,2024-12-30 13:18:56
필스너,25563,2024-12-30 01:23:56
필스너,10203,2024-12-29 23:05:56
필스너,20887,2024-12-30 09:38:56
필스너,23595,2024-12-30 10:28:56
IPA,7957,2024-12-29 18:32:56
IPA,9888,2024-12-30 16:59:56
IPA,19152,2024-12-30 10:46:56
필스너,6617,2024-12-30 10:17:56
흑맥주,15729,2024-12-30 11:51:56
IPA,24668,2024-12-30 04:56:56
필스너,17667,2024-12-30 04:44:56
IPA,2046,2024-12-29 22:14:56
흑맥주,19606,2024-12-29 23:11:56
IPA,9237,2024-12-30 08:38:56
필스너,10951,2024-12-30 03:38:56
필스너,25105,2024-12-29 22:30:56
필스너,25624,2024-12-30 05:14:56
IPA,29682,2024-12-30 04:49:56
필스너,5186,2024-12-30 01:35:56
필스너,20960,2024-12-30 08:40:56
흑맥주,9761,2024-12-30 15:33:56
IPA,3549,2024-12-29 21:33:56
IPA,24069,2024-12-30 13:29:56
IPA,11736,2024-12-29 22:40:56
필스너,21129,2024-12-30 03:25:56
IPA,21208,2024-12-30 02:44:56
흑맥주,15877,2024-12-29 22:55:56
IPA,26957,2024-12-30 11:25:56
