menu,price,order_time
아메리카노,4028,2024-12-30 06:47:56
카푸치노,6275,2024-12-30 10:37:56
카푸치노,25650,2024-12-30 02:47:56
카푸치노,6027,2024-12-30 02:09:56
카푸치노,15623,2024-12-30 07:44:56
아메리카노,15702,2024-12-30 01:30:56
케이크,12370,2024-12-30 05:06:56
아메리카노,20376,2024-12-29 21:35:56
아메리카노,13847,2024-12-30 06:28:56
아메리카노,22489,2024-12-29 22:07:56
카푸치노,25477,2024-12-29 20:13:56
케이크,26101,2024-12-30 05:38:56
아메리카노,2582,2024-12-29 22:46:56
아메리카노,22688,2024-12-29 18:35:56
아메리카노,7978,2024-12-30 03:21:56
카푸치노,5121,2024-12-30 07:21:56
아메리카노,15675,2024-12-30 01:14:56
카푸치노,28531,2024-12-30 06:46:56
카푸치노,14237,2024-12-29 23:39:56
카푸치노,29340,2024-12-30 00:05:56
아메리카노,7712,2024-12-29 23:50:56
카푸치노,22374,2024-12-29 22:51:56
케이크,17864,2024-12-30 11:56:56
아메리카노,10324,2024-12-29 19:55:56
아메리카노,4946,2024-12-30 01:01:56
케이크,7371,2024-12-30 02:33:56
케이크,17332,2024-12-30 06:42:56
케이크,27453,2024-12-30 11:07:56
케이크,23368,2024-12-29 22:20:56
아메리카노,8017,2024-12-29 23:25:56
케이크,15625,2024-12-30 07:22:56
아메리카노,18348,2024-12-30 16:18:56
아메리카노,15719,2024-12-30 06:18:56
카푸치노,12034,2024-12-30 02:33:56
카푸치노,3953,2024-12-30 14:49:56
케이크,21573,2024-12-30 11:48:56
케이크,11586,2024-12-30 07:13:56
카푸치노,5201,2024-12-30 15:28:56
케이크,4550,2024-12-29 23:48:56
케이크,24377,2024-12-30 08:29:56
카푸치노,22477,2024-12-29 18:30:56
카푸치노,8976,2024-12-30 15:43:56
케이크,20248,2024-12-30 09:07:56
아메리카노,13616,2024-12-30 05:15:56
케이크,12024,2024-12-30 10:50:56
케이크,27793,2024-12-30 14:55:56
케이크,11686,2024-12-30 01:30:56
아메리카노,25361,2024-12-30 00:00:56
카푸치노,11149,2024-12-30 16:04:56
아메리카노,8434,2024-12-30 06:54:56
케이크,21809,2024-12-30 15:58:56
아메리카노,8432,2024-12-29 21:50:56
케이크,16349,2024-12-29 18:31:56
카푸치노,5061,2024-12-30 02:51:56
케이크,5657,2024-12-30 13:34:56
케이크,21384,2024-12-30 01:00:56
케이크,11501,2024-12-30 01:44:56
아메리카노,16285,2024-12-29 22:43:56
케이크,26197,2024-12-29 21:19:56
케이크,1349,2024-12-30 02:35:56
카푸치노,26605,2024-12-29 23:54:56
카푸치노,3318,2024-12-30 16:07:56
아메리카노,3624,2024-12-29 18:42:56
카푸치노,19380,2024-12-30 12:02:56
아메리카노,28312,2024-12-30 09:04:56
카푸치노,2843,2024-12-30 06:14:56
케이크,3085,2024-12-30 11:30:56
아메리카노,13370,2024-12-30 09:09:56
케이크,13518,2024-12-30 09:30:56
카푸치노,1428,2024-12-30 08:29:56
카푸치노,16773,2024-12-29 17:25:56
아메리카노,28765,2024-12-29 21:14:56
카푸치노,14212,2024-12-30 10:55:56
케이크,10518,2024-12-30 01:40:56
카푸치노,3026,2024-12-30 15:31:56
카푸치노,25204,2024-12-29 18:37:56
카푸치노,6619,2024-12-29 23:07:56
아메리카노,27598,2024-12-30 15:33:56
케이크,20106,2024-12-30 07:59:56
케이크,20060,2024-12-30 04:00:56
카푸치노,17302,2024-12-30 02:03:56
아메리카노,23268,2024-12-29 21:03:56
케이크,12319,2024-12-30 13:29:56
아메리카노,5523,2024-12-30 17:09:56
아메리카노,4745,2024-12-29 23:20:56
케이크,11259,2024-12-30 03:19:56
케이크,14757,2024-12-30 04:03:56
아메리카노,5007,2024-12-30 05:24:56
케이크,24345,2024-12-29 17:45:56
케이크,24702,2024-12-30 15:18:56
케이크,9127,2024-12-30 02:09:56
케이크,5840,2024-12-29 18:41:56
아메리카노,27987,2024-12-30 06:29:56
아메리카노,22198,2024-12-29 22:28:56
아메리카노,2281,2024-12-30 10:01:56
아메리카노,4198,2024-12-30 05:00:56
아메리카노,6866,2024-12-30 00:02:56
케이크,21068,2024-12-30 10:54:56
아메리카노,24866,2024-12-30 15:59:56
케이크,23962,2024-12-30 08:36:56
