menu,price,order_time
떡볶이,26210,2024-12-30 09:50:56
떡볶이,27346,2024-12-29 22:31:56
떡볶이,28087,2024-12-30 03:51:56
감자튀김,10196,2024-12-30 09:31:56
감자튀김,21683,2024-12-30 12:46:56
떡볶이,5848,2024-12-29 23:40:56
감자튀김,7946,2024-12-30 04:41:56
닭강정,17626,2024-12-30 12:49:56
떡볶이,21477,2024-12-30 03:45:56
감자튀김,20146,2024-12-30 01:46:56
감자튀김,21855,2024-12-30 09:20:56
닭강정,28526,2024-12-30 05:35:56
닭강정,20761,2024-12-30 03:46:56
감자튀김,14136,2024-12-30 04:58:56
떡볶이,10388,2024-12-30 01:53:56
떡볶이,7523,2024-12-30 07:15:56
닭강정,14607,2024-12-29 20:01:56
떡볶이,6095,2024-12-29 21:15:56
닭강정,21377,2024-12-30 00:14:56
떡볶이,13769,2024-12-30 07:31:56
닭강정,27436,2024-12-30 13:52:56
떡볶이,8293,2024-12-30 14:13:56
떡볶이,8257,2024-12-29 18:40:56
닭강정,23754,2024-12-30 10:06:56
닭강정,6634,2024-12-29 18:52:56
닭강정,17469,2024-12-29 22:25:56
감자튀김,24490,2024-12-30 01:25:56
감자튀김,7769,2024-12-30 13:23:56
닭강정,17381,2024-12-30 10:48:56
닭강정,2668,2024-12-29 17:42:56
떡볶이,16899,2024-12-30 05:54:56
감자튀김,13598,2024-12-29 21:48:56
감자튀김,5277,2024-12-29 23:11:56
감자튀김,8293,2024-12-29 17:30:56
떡볶이,28781,2024-12-30 11:32:56
떡볶이,5200,2024-12-30 08:41:56
닭강정,19133,2024-12-30 15:40:56
닭강정,1813,2024-12-29 21:24:56
감자튀김,1023,2024-12-30 15:39:56
닭강정,7265,2024-12-30 08:43:56
감자튀김,20047,2024-12-30 12:23:56
떡볶이,9073,2024-12-30 00:57:56
감자튀김,6680,2024-12-30 13:41:56
떡볶이,14746,2024-12-29 20:01:56
감자튀김,12905,2024-12-30 01:07:56
감자튀김,17906,2024-12-30 09:27:56
감자튀김,8147,2024-12-30 11:10:56
닭강정,6062,2024-12-30 09:57:56
감자튀김,19727,2024-12-30 00:30:56
닭강정,19290,2024-12-30 06:10:56
닭강정,28612,2024-12-29 19:38:56
감자튀김,10238,2024-12-30 02:11:56
떡볶이,22586,2024-12-30 06:15:56
떡볶이,24699,2024-12-29 21:46:56
떡볶이,16670,2024-12-30 04:54:56
떡볶이,7547,2024-12-29 21:38:56
감자튀김,9702,2024-12-30 05:14:56
닭강정,19518,2024-12-30 00:32:56
닭강정,27322,2024-12-30 04:41:56
떡볶이,16450,2024-12-29 20:15:56
떡볶이,29949,2024-12-30 04:18:56
닭강정,1127,2024-12-30 03:17:56
감자튀김,20566,2024-12-30 01:31:56
닭강정,3349,2024-12-30 12:31:56
닭강정,2044,2024-12-30 05:59:56
닭강정,9656,2024-12-30 05:02:56
닭강정,2489,2024-12-30 01:14:56
떡볶이,23748,2024-12-30 05:27:56
닭강정,21920,2024-12-30 01:24:56
닭강정,10626,2024-12-30 16:13:56
떡볶이,10907,2024-12-30 12:37:56
감자튀김,26865,2024-12-29 18:38:56
떡볶이,18928,2024-12-30 15:53:56
감자튀김,16540,2024-12-30 13:05:56
떡볶이,3405,2024-12-30 13:14:56
떡볶이,10355,2024-12-30 05:31:56
떡볶이,4088,2024-12-29 20:46:56
감자튀김,22817,2024-12-29 23:03:56
떡볶이,27477,2024-12-30 03:16:56
닭강정,1761,2024-12-30 05:30:56
떡볶이,18386,2024-12-30 05:33:56
감자튀김,28342,2024-12-30 02:06:56
떡볶이,9684,2024-12-30 06:16:56
닭강정,7866,2024-12-30 11:04:56
감자튀김,26242,2024-12-30 14:34:56
떡볶이,24428,2024-12-29 18:06:56
감자튀김,19781,2024-12-30 11:13:56
닭강정,17535,2024-12-30 15:12:56
닭강정,10744,2024-12-30 13:37:56
닭강정,21736,2024-12-29 21:21:56
닭강정,7948,2024-12-30 04:46:56
떡볶이,22935,2024-12-29 23:46:56
닭강정,24172,2024-12-29 20:28:56
닭강정,16566,2024-12-30 11:57:56
떡볶이,20040,2024-12-29 21:49:56
떡볶이,29052,2024-12-30 10:23:56
닭강정,23769,2024-12-29 17:33:56
닭강정,5080,2024-12-30 15:45:56
떡볶이,21243,2024-12-30 14:37:56
감자튀김,17865,2024-12-29 17:47:56
