menu,price,order_time
카푸치노,11170,2024-12-30 14:27:56
아메리카노,15231,2024-12-29 19:12:56
카푸치노,25440,2024-12-30 00:39:56
카푸치노,5032,2024-12-30 06:18:56
케이크,13184,2024-12-30 05:19:56
카푸치노,4402,2024-12-30 04:27:56
카푸치노,18558,2024-12-29 17:51:56
카푸치노,23289,2024-12-30 11:58:56
카푸치노,6752,2024-12-30 04:11:56
아메리카노,3546,2024-12-30 10:00:56
케이크,11373,2024-12-30 15:49:56
카푸치노,2158,2024-12-29 22:32:56
아메리카노,2347,2024-12-30 04:45:56
아메리카노,22858,2024-12-29 21:59:56
카푸치노,22492,2024-12-29 23:02:56
케이크,17540,2024-12-30 08:44:56
카푸치노,23072,2024-12-29 18:48:56
카푸치노,23677,2024-12-30 00:39:56
카푸치노,29662,2024-12-30 09:49:56
아메리카노,18533,2024-12-30 13:41:56
카푸치노,29879,2024-12-29 21:10:56
아메리카노,19267,2024-12-30 15:55:56
케이크,14526,2024-12-30 01:38:56
케이크,14528,2024-12-30 08:23:56
아메리카노,7120,2024-12-30 15:37:56
케이크,27016,2024-12-30 16:39:56
아메리카노,11196,2024-12-30 10:42:56
아메리카노,17474,2024-12-30 12:31:56
케이크,21829,2024-12-29 18:43:56
아메리카노,1765,2024-12-29 21:42:56
카푸치노,13530,2024-12-29 20:20:56
아메리카노,21549,2024-12-30 11:48:56
아메리카노,27915,2024-12-29 21:30:56
아메리카노,12289,2024-12-30 09:36:56
카푸치노,19823,2024-12-29 20:46:56
케이크,20931,2024-12-30 09:25:56
카푸치노,17980,2024-12-30 04:14:56
아메리카노,10691,2024-12-30 01:05:56
케이크,29193,2024-12-30 15:23:56
케이크,13673,2024-12-30 15:16:56
케이크,2989,2024-12-29 17:27:56
케이크,26695,2024-12-30 03:24:56
아메리카노,11662,2024-12-30 10:46:56
케이크,19043,2024-12-30 16:02:56
아메리카노,23360,2024-12-30 11:13:56
카푸치노,2577,2024-12-30 05:43:56
카푸치노,11240,2024-12-30 03:21:56
카푸치노,26830,2024-12-30 08:43:56
카푸치노,11625,2024-12-30 13:45:56
아메리카노,27168,2024-12-30 16:26:56
카푸치노,25891,2024-12-30 10:50:56
카푸치노,13440,2024-12-29 19:47:56
카푸치노,2794,2024-12-30 05:14:56
케이크,17157,2024-12-30 10:51:56
카푸치노,9659,2024-12-30 12:33:56
케이크,3375,2024-12-30 04:06:56
카푸치노,26143,2024-12-29 21:00:56
아메리카노,20235,2024-12-30 15:17:56
카푸치노,22517,2024-12-29 23:17:56
케이크,8445,2024-12-30 14:49:56
카푸치노,3305,2024-12-29 17:43:56
카푸치노,17673,2024-12-30 08:51:56
아메리카노,10134,2024-12-30 01:43:56
아메리카노,27065,2024-12-30 11:39:56
카푸치노,9994,2024-12-30 13:08:56
케이크,7988,2024-12-29 23:22:56
케이크,28056,2024-12-29 19:56:56
케이크,25963,2024-12-29 19:26:56
케이크,25010,2024-12-30 04:40:56
케이크,17893,2024-12-30 08:44:56
아메리카노,7289,2024-12-30 06:45:56
아메리카노,26233,2024-12-29 23:14:56
아메리카노,26188,2024-12-30 09:01:56
카푸치노,21902,2024-12-30 10:36:56
케이크,2737,2024-12-30 00:53:56
아메리카노,29087,2024-12-30 03:09:56
케이크,8135,2024-12-30 03:35:56
카푸치노,2160,2024-12-30 14:15:56
케이크,29361,2024-12-30 10:44:56
카푸치노,17030,2024-12-30 13:39:56
카푸치노,17964,2024-12-30 03:06:56
아메리카노,5549,2024-12-30 12:02:56
카푸치노,4984,2024-12-30 06:15:56
아메리카노,27101,2024-12-29 19:31:56
아메리카노,13084,2024-12-30 07:08:56
케이크,14090,2024-12-30 03:27:56
아메리카노,15993,2024-12-30 13:05:56
아메리카노,26631,2024-12-30 01:06:56
케이크,8889,2024-12-30 00:05:56
아메리카노,18541,2024-12-30 08:24:56
아메리카노,17976,2024-12-30 07:48:56
케이크,7469,2024-12-30 11:46:56
아메리카노,9329,2024-12-30 02:37:56
아메리카노,29222,2024-12-30 10:34:56
아메리카노,7590,2024-12-30 10:19:56
아메리카노,20100,2024-12-30 02:12:56
아메리카노,8325,2024-12-30 02:48:56
아메리카노,5581,2024-12-30 14:32:56
아메리카노,3322,2024-12-30 11:35:56
아메리카노,28149,2024-12-29 22:53:56
