menu,price,order_time
아메리카노,4509,2024-12-30 11:30:56
카푸치노,5967,2024-12-30 05:31:56
케이크,13027,2024-12-29 18:57:56
카푸치노,10136,2024-12-30 16:28:56
아메리카노,24814,2024-12-30 15:30:56
케이크,3367,2024-12-29 18:10:56
아메리카노,26415,2024-12-30 10:15:56
카푸치노,19507,2024-12-30 12:31:56
아메리카노,10423,2024-12-30 16:10:56
케이크,3305,2024-12-30 06:12:56
아메리카노,25654,2024-12-29 19:01:56
아메리카노,16123,2024-12-30 17:15:56
케이크,9029,2024-12-30 00:58:56
아메리카노,26912,2024-12-29 17:21:56
아메리카노,25310,2024-12-30 02:15:56
케이크,4321,2024-12-30 02:14:56
케이크,21674,2024-12-29 23:06:56
케이크,12669,2024-12-30 01:15:56
아메리카노,1085,2024-12-30 06:15:56
카푸치노,26657,2024-12-30 10:37:56
케이크,17411,2024-12-29 21:54:56
카푸치노,8534,2024-12-30 02:37:56
카푸치노,27009,2024-12-30 13:31:56
아메리카노,16903,2024-12-30 01:32:56
카푸치노,5322,2024-12-29 18:09:56
케이크,2492,2024-12-30 05:22:56
아메리카노,15192,2024-12-29 21:24:56
케이크,3360,2024-12-30 16:26:56
아메리카노,26129,2024-12-30 04:40:56
케이크,27513,2024-12-29 23:27:56
케이크,10889,2024-12-30 10:16:56
아메리카노,17623,2024-12-30 06:32:56
카푸치노,14537,2024-12-30 16:09:56
케이크,14672,2024-12-29 18:16:56
아메리카노,24815,2024-12-29 20:12:56
케이크,21748,2024-12-30 08:35:56
아메리카노,6340,2024-12-30 05:23:56
아메리카노,24287,2024-12-30 00:01:56
케이크,8205,2024-12-30 02:40:56
케이크,24891,2024-12-30 00:59:56
아메리카노,18877,2024-12-30 03:48:56
아메리카노,22657,2024-12-29 20:54:56
카푸치노,11300,2024-12-30 11:40:56
아메리카노,11878,2024-12-29 21:22:56
케이크,6723,2024-12-30 16:43:56
아메리카노,28981,2024-12-30 03:24:56
아메리카노,22080,2024-12-30 04:17:56
케이크,9418,2024-12-30 00:04:56
케이크,24650,2024-12-30 16:46:56
아메리카노,15921,2024-12-30 08:32:56
케이크,27043,2024-12-30 10:36:56
케이크,26748,2024-12-30 02:10:56
카푸치노,15015,2024-12-30 16:15:56
카푸치노,21956,2024-12-29 18:17:56
카푸치노,23723,2024-12-30 08:30:56
카푸치노,23730,2024-12-30 01:43:56
아메리카노,29195,2024-12-29 22:15:56
카푸치노,21720,2024-12-30 16:05:56
카푸치노,11381,2024-12-30 00:37:56
카푸치노,20859,2024-12-30 02:07:56
카푸치노,24875,2024-12-30 15:17:56
아메리카노,8622,2024-12-30 12:00:56
케이크,7104,2024-12-29 18:07:56
케이크,27813,2024-12-29 19:15:56
카푸치노,10031,2024-12-30 05:49:56
아메리카노,12976,2024-12-30 06:04:56
카푸치노,23646,2024-12-30 09:27:56
카푸치노,12603,2024-12-30 04:08:56
케이크,23446,2024-12-30 01:10:56
아메리카노,16772,2024-12-30 01:12:56
카푸치노,12077,2024-12-30 16:44:56
아메리카노,6840,2024-12-30 03:56:56
카푸치노,26846,2024-12-29 20:45:56
아메리카노,29443,2024-12-30 17:13:56
케이크,2099,2024-12-29 19:48:56
케이크,22192,2024-12-30 02:52:56
케이크,28947,2024-12-29 22:24:56
카푸치노,28918,2024-12-30 03:25:56
아메리카노,15457,2024-12-30 11:29:56
아메리카노,16283,2024-12-30 01:33:56
카푸치노,28098,2024-12-30 10:30:56
아메리카노,11133,2024-12-29 21:17:56
케이크,15960,2024-12-29 22:21:56
아메리카노,13830,2024-12-30 15:39:56
케이크,6199,2024-12-30 11:15:56
카푸치노,1382,2024-12-29 18:40:56
아메리카노,26002,2024-12-29 21:59:56
케이크,10097,2024-12-30 02:28:56
케이크,17916,2024-12-29 22:58:56
카푸치노,13880,2024-12-29 20:26:56
아메리카노,6087,2024-12-30 13:58:56
케이크,7179,2024-12-29 23:12:56
카푸치노,19531,2024-12-30 12:11:56
카푸치노,9903,2024-12-30 01:39:56
아메리카노,8014,2024-12-30 17:13:56
카푸치노,28970,2024-12-29 18:19:56
카푸치노,17166,2024-12-30 09:45:56
케이크,11111,2024-12-30 09:57:56
아메리카노,15933,2024-12-30 16:00:56
케이크,29590,2024-12-30 02:04:56
