menu,price,order_time
광어회,19878,2024-12-30 01:59:56
광어회,3928,2024-12-30 11:25:56
연어초밥,16438,2024-12-30 05:09:56
참치회,17041,2024-12-30 00:36:56
광어회,16490,2024-12-30 12:55:56
광어회,28166,2024-12-30 05:49:56
참치회,28319,2024-12-29 19:08:56
연어초밥,18288,2024-12-29 22:27:56
참치회,16081,2024-12-29 22:48:56
광어회,11723,2024-12-30 09:46:56
참치회,21051,2024-12-30 10:49:56
광어회,22130,2024-12-29 19:53:56
연어초밥,11584,2024-12-30 11:58:56
광어회,1371,2024-12-30 09:03:56
참치회,4812,2024-12-30 04:02:56
참치회,9822,2024-12-29 23:29:56
참치회,16337,2024-12-29 22:09:56
광어회,24711,2024-12-30 01:52:56
연어초밥,3796,2024-12-30 13:04:56
참치회,21843,2024-12-29 19:49:56
광어회,26831,2024-12-30 14:21:56
연어초밥,25408,2024-12-30 11:11:56
연어초밥,6587,2024-12-30 16:13:56
연어초밥,10916,2024-12-30 06:13:56
참치회,26396,2024-12-29 22:24:56
광어회,20290,2024-12-30 03:08:56
연어초밥,6278,2024-12-30 05:34:56
참치회,15199,2024-12-29 18:35:56
참치회,26550,2024-12-29 20:10:56
연어초밥,25549,2024-12-30 02:03:56
연어초밥,15241,2024-12-30 16:54:56
참치회,11982,2024-12-29 22:15:56
연어초밥,26673,2024-12-30 12:04:56
참치회,1002,2024-12-30 14:02:56
연어초밥,16898,2024-12-29 19:38:56
연어초밥,25432,2024-12-29 19:13:56
연어초밥,20360,2024-12-30 06:46:56
광어회,10751,2024-12-29 23:55:56
참치회,1265,2024-12-29 22:50:56
광어회,9147,2024-12-30 14:32:56
참치회,4518,2024-12-29 18:21:56
연어초밥,8398,2024-12-30 06:38:56
광어회,22965,2024-12-30 03:02:56
연어초밥,22675,2024-12-30 04:50:56
연어초밥,26350,2024-12-29 22:56:56
참치회,29620,2024-12-29 21:15:56
연어초밥,27529,2024-12-30 14:53:56
연어초밥,24776,2024-12-29 17:37:56
참치회,1700,2024-12-30 08:53:56
연어초밥,13404,2024-12-30 03:37:56
참치회,9021,2024-12-29 22:48:56
연어초밥,3362,2024-12-30 13:21:56
연어초밥,1140,2024-12-30 06:06:56
연어초밥,7700,2024-12-29 18:32:56
참치회,12423,2024-12-29 21:20:56
참치회,20311,2024-12-30 00:45:56
연어초밥,12197,2024-12-29 21:05:56
연어초밥,28331,2024-12-29 19:33:56
참치회,20074,2024-12-30 15:18:56
연어초밥,28464,2024-12-29 22:26:56
연어초밥,3499,2024-12-29 21:08:56
광어회,21671,2024-12-29 18:42:56
참치회,20750,2024-12-29 20:12:56
광어회,3615,2024-12-30 13:31:56
참치회,26873,2024-12-29 19:31:56
참치회,19577,2024-12-30 06:13:56
참치회,5265,2024-12-30 05:02:56
연어초밥,26387,2024-12-29 21:43:56
참치회,9068,2024-12-30 02:18:56
참치회,14463,2024-12-30 03:25:56
광어회,23758,2024-12-30 01:10:56
참치회,23127,2024-12-30 06:22:56
참치회,27692,2024-12-30 12:21:56
참치회,22416,2024-12-30 09:15:56
연어초밥,21885,2024-12-30 03:32:56
연어초밥,25143,2024-12-29 23:19:56
연어초밥,25059,2024-12-30 16:22:56
연어초밥,22418,2024-12-30 11:38:56
참치회,24627,2024-12-29 22:43:56
연어초밥,25675,2024-12-29 23:53:56
광어회,13426,2024-12-29 23:50:56
참치회,12198,2024-12-30 11:31:56
연어초밥,5885,2024-12-30 09:11:56
광어회,22221,2024-12-29 19:27:56
참치회,27489,2024-12-29 21:48:56
참치회,24786,2024-12-30 05:34:56
참치회,24157,2024-12-30 15:01:56
연어초밥,18850,2024-12-30 12:52:56
연어초밥,6551,2024-12-30 11:45:56
연어초밥,7566,2024-12-30 14:16:56
광어회,4165,2024-12-30 08:58:56
연어초밥,29506,2024-12-30 11:13:56
광어회,11424,2024-12-30 01:19:56
참치회,26718,2024-12-30 05:37:56
참치회,12423,2024-12-30 03:04:56
연어초밥,16016,2024-12-30 12:45:56
참치회,19700,2024-12-30 13:33:56
광어회,24774,2024-12-30 09:44:56
광어회,11144,2024-12-30 08:56:56
참치회,9561,2024-12-30 11:47:56
