menu,price,order_time
케이크,17549,2024-12-30 06:04:56
카푸치노,1006,2024-12-30 03:08:56
카푸치노,23599,2024-12-30 04:38:56
아메리카노,3432,2024-12-30 03:27:56
아메리카노,7117,2024-12-30 11:03:56
카푸치노,17038,2024-12-30 10:40:56
케이크,3219,2024-12-30 12:42:56
아메리카노,25890,2024-12-30 04:10:56
아메리카노,1501,2024-12-30 11:47:56
카푸치노,20307,2024-12-29 19:31:56
케이크,7349,2024-12-30 16:42:56
케이크,11158,2024-12-29 23:36:56
카푸치노,24654,2024-12-29 20:21:56
카푸치노,28384,2024-12-29 22:07:56
케이크,10534,2024-12-30 10:00:56
카푸치노,29696,2024-12-30 14:13:56
아메리카노,26803,2024-12-30 10:31:56
아메리카노,18122,2024-12-30 09:28:56
케이크,28637,2024-12-30 13:13:56
아메리카노,26157,2024-12-29 21:24:56
카푸치노,18087,2024-12-30 15:31:56
아메리카노,8808,2024-12-30 00:26:56
케이크,25110,2024-12-29 18:04:56
카푸치노,20638,2024-12-30 15:33:56
케이크,10874,2024-12-29 21:36:56
아메리카노,24787,2024-12-30 04:13:56
케이크,24737,2024-12-30 06:06:56
아메리카노,23033,2024-12-30 00:48:56
카푸치노,19148,2024-12-30 16:47:56
카푸치노,2780,2024-12-30 14:56:56
카푸치노,19617,2024-12-30 00:47:56
카푸치노,11351,2024-12-30 10:33:56
아메리카노,20572,2024-12-29 18:40:56
아메리카노,4463,2024-12-30 05:27:56
아메리카노,11730,2024-12-29 20:37:56
아메리카노,20771,2024-12-29 21:36:56
케이크,7865,2024-12-29 19:24:56
케이크,29832,2024-12-29 18:09:56
케이크,1302,2024-12-30 02:36:56
카푸치노,22982,2024-12-30 06:29:56
케이크,12702,2024-12-29 22:11:56
케이크,24257,2024-12-30 16:37:56
카푸치노,3786,2024-12-29 22:25:56
아메리카노,14791,2024-12-29 19:15:56
케이크,10369,2024-12-30 12:23:56
카푸치노,20735,2024-12-30 04:02:56
아메리카노,13440,2024-12-30 04:50:56
케이크,28422,2024-12-30 14:34:56
케이크,13533,2024-12-30 15:11:56
카푸치노,19303,2024-12-30 10:59:56
아메리카노,25757,2024-12-29 17:48:56
카푸치노,3776,2024-12-30 10:45:56
아메리카노,2767,2024-12-30 04:01:56
케이크,11788,2024-12-29 22:51:56
케이크,15662,2024-12-30 11:17:56
아메리카노,13625,2024-12-29 18:59:56
아메리카노,14407,2024-12-30 06:26:56
카푸치노,28163,2024-12-29 19:16:56
케이크,8178,2024-12-30 01:12:56
케이크,6286,2024-12-29 20:28:56
케이크,15387,2024-12-30 12:29:56
카푸치노,28023,2024-12-30 12:33:56
아메리카노,14366,2024-12-29 22:49:56
카푸치노,22647,2024-12-30 15:16:56
아메리카노,17940,2024-12-30 16:20:56
아메리카노,24064,2024-12-29 19:46:56
케이크,10482,2024-12-29 17:25:56
아메리카노,16799,2024-12-29 21:40:56
카푸치노,5252,2024-12-30 00:49:56
아메리카노,7171,2024-12-30 15:55:56
아메리카노,27503,2024-12-30 08:36:56
아메리카노,7035,2024-12-30 15:16:56
카푸치노,27213,2024-12-30 15:52:56
케이크,29121,2024-12-30 05:55:56
카푸치노,14772,2024-12-29 17:59:56
케이크,18716,2024-12-30 07:29:56
아메리카노,8703,2024-12-30 13:11:56
아메리카노,17933,2024-12-30 14:31:56
아메리카노,11803,2024-12-30 17:08:56
아메리카노,23310,2024-12-29 21:50:56
아메리카노,28993,2024-12-30 16:25:56
아메리카노,17547,2024-12-30 07:44:56
아메리카노,15672,2024-12-30 06:35:56
아메리카노,17484,2024-12-30 14:35:56
케이크,16520,2024-12-30 03:04:56
케이크,23683,2024-12-30 15:05:56
케이크,23583,2024-12-30 01:27:56
케이크,24487,2024-12-30 01:02:56
케이크,19057,2024-12-29 22:30:56
케이크,13211,2024-12-30 15:45:56
아메리카노,10297,2024-12-30 05:18:56
케이크,29080,2024-12-30 11:02:56
케이크,18856,2024-12-29 17:58:56
케이크,23382,2024-12-30 08:01:56
케이크,10057,2024-12-30 17:17:56
케이크,10097,2024-12-29 19:03:56
카푸치노,8371,2024-12-30 14:44:56
아메리카노,15747,2024-12-30 09:24:56
아메리카노,3470,2024-12-30 14:47:56
아메리카노,28886,2024-12-30 15:22:56
