menu,price,order_time
연어초밥,19093,2024-12-30 09:57:57
광어회,1255,2024-12-30 05:51:57
연어초밥,28351,2024-12-30 15:09:57
광어회,29476,2024-12-30 10:12:57
참치회,20377,2024-12-30 12:39:57
참치회,2741,2024-12-30 11:58:57
광어회,3620,2024-12-30 08:55:57
광어회,26225,2024-12-30 15:46:57
연어초밥,29234,2024-12-29 23:45:57
광어회,8157,2024-12-30 13:09:57
연어초밥,5302,2024-12-30 06:19:57
연어초밥,29799,2024-12-30 04:01:57
연어초밥,9539,2024-12-30 02:35:57
참치회,26472,2024-12-30 14:42:57
참치회,20045,2024-12-30 03:32:57
연어초밥,20289,2024-12-30 00:25:57
참치회,23403,2024-12-30 05:24:57
연어초밥,11144,2024-12-30 01:53:57
광어회,15655,2024-12-30 12:24:57
연어초밥,12918,2024-12-30 01:22:57
광어회,7719,2024-12-29 23:41:57
연어초밥,2050,2024-12-29 22:45:57
연어초밥,15337,2024-12-30 09:40:57
광어회,23642,2024-12-29 21:20:57
연어초밥,15832,2024-12-30 06:54:57
연어초밥,2669,2024-12-29 18:01:57
광어회,22713,2024-12-30 00:44:57
참치회,11585,2024-12-30 03:59:57
광어회,22809,2024-12-30 10:43:57
연어초밥,18421,2024-12-29 18:53:57
연어초밥,9460,2024-12-30 13:50:57
연어초밥,4141,2024-12-29 20:06:57
광어회,27263,2024-12-30 03:27:57
광어회,19492,2024-12-30 11:55:57
광어회,14427,2024-12-30 00:22:57
연어초밥,1741,2024-12-30 16:29:57
광어회,18629,2024-12-30 04:40:57
참치회,19471,2024-12-30 09:15:57
연어초밥,13487,2024-12-30 12:02:57
연어초밥,28694,2024-12-30 04:36:57
참치회,19992,2024-12-30 00:43:57
연어초밥,24541,2024-12-30 13:08:57
연어초밥,17993,2024-12-30 06:34:57
연어초밥,14515,2024-12-30 07:47:57
연어초밥,5504,2024-12-30 03:55:57
연어초밥,16866,2024-12-29 22:25:57
참치회,2221,2024-12-30 06:51:57
참치회,27841,2024-12-30 10:23:57
연어초밥,2824,2024-12-29 21:39:57
광어회,23933,2024-12-30 05:31:57
광어회,5763,2024-12-29 21:21:57
광어회,18831,2024-12-30 13:11:57
광어회,28350,2024-12-30 02:35:57
참치회,28049,2024-12-30 01:22:57
참치회,5960,2024-12-29 19:03:57
광어회,8388,2024-12-30 12:27:57
광어회,29808,2024-12-30 05:56:57
참치회,8560,2024-12-30 15:17:57
참치회,25073,2024-12-30 13:03:57
광어회,17368,2024-12-30 14:51:57
참치회,6077,2024-12-30 05:36:57
참치회,22723,2024-12-30 13:37:57
연어초밥,26826,2024-12-29 19:08:57
광어회,2194,2024-12-30 12:24:57
광어회,8295,2024-12-30 16:59:57
광어회,1591,2024-12-29 18:34:57
참치회,20610,2024-12-30 00:01:57
광어회,3762,2024-12-30 01:59:57
연어초밥,9478,2024-12-30 09:42:57
광어회,8450,2024-12-30 07:35:57
광어회,26808,2024-12-30 14:50:57
광어회,3740,2024-12-30 09:00:57
참치회,11016,2024-12-30 14:19:57
참치회,29103,2024-12-29 17:26:57
참치회,4428,2024-12-30 13:29:57
참치회,12647,2024-12-30 12:56:57
참치회,14031,2024-12-30 17:07:57
연어초밥,13667,2024-12-30 13:30:57
연어초밥,10207,2024-12-30 16:53:57
광어회,12024,2024-12-29 19:47:57
참치회,1358,2024-12-30 15:46:57
참치회,15646,2024-12-29 17:37:57
광어회,5153,2024-12-30 06:40:57
연어초밥,6703,2024-12-30 07:34:57
참치회,18077,2024-12-30 07:43:57
연어초밥,27078,2024-12-29 21:52:57
연어초밥,6698,2024-12-29 21:52:57
광어회,29064,2024-12-30 06:09:57
참치회,12790,2024-12-29 20:59:57
연어초밥,9450,2024-12-30 12:41:57
참치회,19975,2024-12-30 16:09:57
참치회,8720,2024-12-30 09:44:57
연어초밥,6731,2024-12-29 17:33:57
연어초밥,6941,2024-12-30 11:34:57
연어초밥,28586,2024-12-30 05:41:57
광어회,28457,2024-12-30 15:59:57
광어회,29765,2024-12-30 16:26:57
참치회,14964,2024-12-29 18:31:57
연어초밥,7952,2024-12-29 17:51:57
광어회,8350,2024-12-30 02:30:57
