menu,price,order_time
광어회,1327,2024-12-30 10:54:56
광어회,23816,2024-12-30 10:16:56
연어초밥,13088,2024-12-30 13:41:56
광어회,21520,2024-12-29 19:45:56
참치회,14397,2024-12-29 23:11:56
연어초밥,4292,2024-12-30 04:17:56
연어초밥,15154,2024-12-30 05:17:56
참치회,15756,2024-12-30 09:55:56
참치회,24288,2024-12-30 06:56:56
연어초밥,23209,2024-12-29 20:27:56
광어회,24895,2024-12-29 21:05:56
연어초밥,9843,2024-12-30 00:34:56
광어회,22054,2024-12-30 02:53:56
광어회,8551,2024-12-30 06:59:56
연어초밥,4316,2024-12-30 15:54:56
참치회,16077,2024-12-30 04:37:56
참치회,17256,2024-12-29 20:29:56
연어초밥,17515,2024-12-30 12:24:56
참치회,26315,2024-12-29 17:39:56
광어회,28434,2024-12-29 18:30:56
광어회,1772,2024-12-30 03:39:56
참치회,21228,2024-12-30 06:08:56
광어회,3738,2024-12-30 04:26:56
광어회,25523,2024-12-29 19:40:56
연어초밥,28701,2024-12-30 06:21:56
참치회,15746,2024-12-30 14:20:56
참치회,2276,2024-12-30 06:54:56
연어초밥,2044,2024-12-30 14:22:56
참치회,9793,2024-12-29 21:10:56
광어회,3373,2024-12-30 17:15:56
연어초밥,17920,2024-12-30 03:48:56
연어초밥,21352,2024-12-30 02:11:56
참치회,21047,2024-12-29 22:24:56
참치회,22060,2024-12-30 02:30:56
연어초밥,27008,2024-12-30 06:25:56
연어초밥,17606,2024-12-30 11:05:56
참치회,23869,2024-12-30 11:52:56
광어회,1173,2024-12-30 01:08:56
참치회,6234,2024-12-30 06:09:56
참치회,1889,2024-12-30 03:41:56
광어회,7129,2024-12-29 19:48:56
연어초밥,10290,2024-12-30 05:10:56
광어회,4747,2024-12-30 08:03:56
참치회,14141,2024-12-30 07:47:56
연어초밥,17184,2024-12-30 00:53:56
광어회,27709,2024-12-30 14:01:56
연어초밥,23490,2024-12-30 03:47:56
광어회,16981,2024-12-30 02:28:56
광어회,18771,2024-12-30 15:19:56
광어회,6297,2024-12-29 19:30:56
연어초밥,16637,2024-12-29 22:41:56
연어초밥,2733,2024-12-30 16:19:56
연어초밥,10870,2024-12-30 00:09:56
참치회,27100,2024-12-29 23:19:56
연어초밥,26770,2024-12-29 21:09:56
참치회,1517,2024-12-29 17:38:56
광어회,4977,2024-12-30 13:32:56
참치회,12410,2024-12-30 16:25:56
참치회,20373,2024-12-30 17:09:56
광어회,26738,2024-12-30 06:37:56
광어회,18602,2024-12-29 17:40:56
연어초밥,7817,2024-12-30 13:40:56
연어초밥,13741,2024-12-30 06:04:56
광어회,9422,2024-12-30 07:53:56
연어초밥,7053,2024-12-30 09:07:56
연어초밥,22309,2024-12-30 09:58:56
연어초밥,25198,2024-12-30 10:11:56
연어초밥,14975,2024-12-30 03:24:56
참치회,28770,2024-12-30 13:29:56
참치회,11708,2024-12-29 20:30:56
광어회,12849,2024-12-29 22:53:56
광어회,3735,2024-12-29 22:25:56
참치회,3873,2024-12-30 05:32:56
광어회,11236,2024-12-30 02:29:56
연어초밥,20021,2024-12-30 13:12:56
광어회,29148,2024-12-30 14:27:56
참치회,17843,2024-12-29 23:10:56
연어초밥,25941,2024-12-30 00:56:56
연어초밥,6947,2024-12-30 16:47:56
광어회,1140,2024-12-30 14:29:56
광어회,8663,2024-12-30 10:50:56
참치회,24312,2024-12-30 09:59:56
광어회,19571,2024-12-29 23:19:56
연어초밥,11178,2024-12-30 12:27:56
참치회,4307,2024-12-30 01:13:56
광어회,12628,2024-12-29 21:29:56
연어초밥,3347,2024-12-30 01:20:56
연어초밥,9416,2024-12-30 14:44:56
참치회,26544,2024-12-30 01:55:56
광어회,4682,2024-12-29 17:59:56
참치회,22577,2024-12-30 16:08:56
연어초밥,15951,2024-12-29 18:20:56
광어회,23585,2024-12-29 21:31:56
연어초밥,14761,2024-12-30 13:55:56
광어회,28065,2024-12-29 18:01:56
광어회,22970,2024-12-29 19:32:56
참치회,12318,2024-12-30 04:00:56
참치회,4116,2024-12-30 07:40:56
연어초밥,13046,2024-12-29 20:30:56
참치회,17076,2024-12-30 14:52:56
