menu,price,order_time
케이크,2982,2024-12-30 03:03:56
아메리카노,28923,2024-12-30 02:39:56
아메리카노,24222,2024-12-30 02:08:56
아메리카노,24764,2024-12-29 22:12:56
카푸치노,7626,2024-12-30 02:58:56
아메리카노,25340,2024-12-29 19:06:56
카푸치노,11050,2024-12-30 17:18:56
카푸치노,27053,2024-12-30 10:39:56
케이크,20230,2024-12-30 06:46:56
카푸치노,28473,2024-12-29 22:49:56
케이크,27604,2024-12-29 23:48:56
아메리카노,17472,2024-12-30 16:17:56
카푸치노,22118,2024-12-30 10:49:56
카푸치노,26499,2024-12-29 19:08:56
카푸치노,20306,2024-12-30 15:33:56
케이크,24097,2024-12-30 07:49:56
케이크,24761,2024-12-30 01:41:56
케이크,1348,2024-12-30 03:33:56
케이크,22016,2024-12-29 22:51:56
아메리카노,6920,2024-12-30 16:40:56
케이크,7407,2024-12-30 02:41:56
케이크,24122,2024-12-29 23:12:56
아메리카노,15059,2024-12-30 06:01:56
카푸치노,25054,2024-12-30 06:15:56
카푸치노,27587,2024-12-30 09:40:56
아메리카노,7651,2024-12-30 05:41:56
카푸치노,2991,2024-12-30 15:50:56
카푸치노,6765,2024-12-30 01:35:56
아메리카노,21346,2024-12-29 19:56:56
아메리카노,22167,2024-12-30 05:38:56
아메리카노,10164,2024-12-30 10:31:56
아메리카노,14623,2024-12-30 05:05:56
아메리카노,24795,2024-12-29 22:04:56
케이크,7081,2024-12-30 13:17:56
아메리카노,13279,2024-12-30 12:22:56
아메리카노,24820,2024-12-30 09:52:56
카푸치노,2091,2024-12-30 09:57:56
카푸치노,18653,2024-12-30 14:39:56
아메리카노,29265,2024-12-29 21:27:56
카푸치노,21320,2024-12-30 01:23:56
아메리카노,11302,2024-12-29 20:45:56
케이크,28089,2024-12-29 20:50:56
케이크,26780,2024-12-29 17:26:56
케이크,15142,2024-12-30 08:46:56
아메리카노,9056,2024-12-30 05:01:56
아메리카노,14078,2024-12-30 08:43:56
카푸치노,18066,2024-12-29 20:17:56
카푸치노,4335,2024-12-30 09:02:56
아메리카노,12919,2024-12-29 19:47:56
아메리카노,3836,2024-12-30 09:06:56
아메리카노,10901,2024-12-29 18:20:56
케이크,12070,2024-12-30 07:57:56
아메리카노,5028,2024-12-29 21:24:56
아메리카노,19754,2024-12-30 16:45:56
아메리카노,6508,2024-12-30 04:03:56
케이크,5849,2024-12-30 00:04:56
케이크,6671,2024-12-30 11:37:56
아메리카노,5569,2024-12-30 15:12:56
아메리카노,11603,2024-12-30 00:16:56
케이크,5262,2024-12-29 19:49:56
아메리카노,23963,2024-12-30 14:45:56
케이크,24861,2024-12-30 14:01:56
아메리카노,18985,2024-12-30 10:02:56
케이크,26427,2024-12-30 13:04:56
카푸치노,18067,2024-12-29 18:24:56
케이크,12798,2024-12-30 00:40:56
카푸치노,22316,2024-12-30 02:27:56
아메리카노,18242,2024-12-30 12:17:56
카푸치노,13098,2024-12-30 09:22:56
아메리카노,12120,2024-12-29 22:07:56
케이크,23457,2024-12-30 15:10:56
아메리카노,23114,2024-12-30 09:13:56
케이크,10439,2024-12-30 02:13:56
아메리카노,23800,2024-12-30 10:25:56
아메리카노,27873,2024-12-29 19:51:56
아메리카노,6679,2024-12-30 11:17:56
아메리카노,24874,2024-12-30 07:30:56
아메리카노,14924,2024-12-29 21:10:56
케이크,1626,2024-12-30 05:51:56
아메리카노,26402,2024-12-30 07:49:56
아메리카노,25556,2024-12-29 18:05:56
카푸치노,23482,2024-12-29 21:04:56
카푸치노,23066,2024-12-30 04:43:56
카푸치노,25000,2024-12-29 18:43:56
아메리카노,27343,2024-12-30 02:34:56
카푸치노,5638,2024-12-29 20:25:56
카푸치노,1303,2024-12-30 14:30:56
아메리카노,9078,2024-12-30 06:38:56
케이크,2479,2024-12-30 08:32:56
케이크,23667,2024-12-30 08:45:56
카푸치노,12927,2024-12-30 10:20:56
아메리카노,14709,2024-12-30 13:01:56
케이크,12243,2024-12-30 01:20:56
카푸치노,18310,2024-12-30 13:19:56
카푸치노,4680,2024-12-30 13:16:56
케이크,1478,2024-12-30 00:47:56
케이크,8717,2024-12-30 03:12:56
카푸치노,7704,2024-12-30 06:44:56
케이크,8354,2024-12-30 06:57:56
카푸치노,22483,2024-12-30 10:56:56
