menu,price,order_time
케이크,20892,2024-12-29 19:19:56
카푸치노,23482,2024-12-30 09:24:56
케이크,29788,2024-12-30 02:50:56
아메리카노,2118,2024-12-29 20:50:56
케이크,6151,2024-12-30 14:12:56
케이크,8015,2024-12-30 14:15:56
아메리카노,12449,2024-12-30 14:12:56
케이크,25533,2024-12-30 16:26:56
케이크,11381,2024-12-30 09:08:56
카푸치노,22424,2024-12-30 14:27:56
카푸치노,14832,2024-12-30 01:13:56
카푸치노,27485,2024-12-30 01:14:56
아메리카노,22286,2024-12-30 09:52:56
카푸치노,5103,2024-12-29 19:49:56
아메리카노,7523,2024-12-30 02:57:56
카푸치노,14613,2024-12-30 08:38:56
카푸치노,29151,2024-12-29 22:15:56
케이크,10230,2024-12-30 14:17:56
카푸치노,2236,2024-12-30 09:41:56
케이크,2579,2024-12-30 17:20:56
아메리카노,8516,2024-12-30 16:36:56
케이크,23587,2024-12-30 15:24:56
케이크,17848,2024-12-30 04:29:56
아메리카노,8937,2024-12-30 10:56:56
카푸치노,16042,2024-12-30 10:00:56
아메리카노,24618,2024-12-30 14:13:56
카푸치노,24529,2024-12-30 07:16:56
아메리카노,19970,2024-12-30 04:56:56
케이크,1374,2024-12-30 03:26:56
카푸치노,10275,2024-12-29 20:04:56
카푸치노,25682,2024-12-30 02:36:56
아메리카노,25232,2024-12-30 15:31:56
아메리카노,24255,2024-12-30 04:26:56
케이크,28341,2024-12-30 00:56:56
아메리카노,15122,2024-12-30 00:48:56
카푸치노,14951,2024-12-30 15:35:56
아메리카노,9829,2024-12-30 15:17:56
케이크,28388,2024-12-30 05:57:56
케이크,15150,2024-12-29 19:45:56
케이크,20902,2024-12-30 04:43:56
카푸치노,4054,2024-12-30 12:16:56
케이크,3718,2024-12-30 07:47:56
아메리카노,25699,2024-12-29 20:31:56
케이크,4126,2024-12-30 09:25:56
케이크,20724,2024-12-30 07:21:56
케이크,1585,2024-12-29 19:19:56
아메리카노,11009,2024-12-30 11:05:56
케이크,16863,2024-12-30 09:12:56
아메리카노,18093,2024-12-30 07:25:56
아메리카노,5332,2024-12-29 19:15:56
카푸치노,20723,2024-12-30 03:02:56
케이크,8339,2024-12-30 05:38:56
아메리카노,22068,2024-12-30 05:42:56
아메리카노,20366,2024-12-29 20:32:56
아메리카노,22315,2024-12-29 19:51:56
케이크,16235,2024-12-30 14:31:56
케이크,16390,2024-12-30 01:29:56
아메리카노,26440,2024-12-30 15:34:56
케이크,8596,2024-12-30 06:49:56
아메리카노,11133,2024-12-30 10:35:56
카푸치노,18248,2024-12-30 07:16:56
아메리카노,9664,2024-12-30 14:08:56
케이크,10500,2024-12-30 11:56:56
카푸치노,28708,2024-12-30 02:44:56
케이크,16279,2024-12-30 06:48:56
카푸치노,25822,2024-12-30 12:11:56
아메리카노,19669,2024-12-30 03:28:56
아메리카노,20413,2024-12-29 21:23:56
카푸치노,28082,2024-12-30 13:20:56
아메리카노,3578,2024-12-29 22:08:56
케이크,9816,2024-12-29 17:31:56
케이크,3487,2024-12-30 07:16:56
케이크,4562,2024-12-29 19:35:56
카푸치노,25506,2024-12-30 10:10:56
카푸치노,17672,2024-12-30 08:00:56
케이크,27313,2024-12-30 16:45:56
아메리카노,8194,2024-12-30 14:20:56
아메리카노,11962,2024-12-30 08:04:56
카푸치노,17795,2024-12-30 01:40:56
케이크,26917,2024-12-30 03:37:56
케이크,20009,2024-12-29 22:44:56
아메리카노,13755,2024-12-29 18:39:56
카푸치노,24306,2024-12-30 03:59:56
카푸치노,29276,2024-12-30 10:01:56
카푸치노,8332,2024-12-29 20:05:56
아메리카노,28499,2024-12-29 18:29:56
카푸치노,2301,2024-12-30 14:34:56
아메리카노,9215,2024-12-30 17:08:56
아메리카노,1610,2024-12-29 23:37:56
카푸치노,13008,2024-12-30 07:41:56
케이크,14578,2024-12-30 01:21:56
케이크,27730,2024-12-30 06:12:56
아메리카노,20299,2024-12-30 00:30:56
케이크,26849,2024-12-30 11:49:56
아메리카노,2246,2024-12-29 18:31:56
아메리카노,19824,2024-12-30 15:31:56
카푸치노,29437,2024-12-29 21:11:56
케이크,29227,2024-12-30 07:30:56
케이크,14233,2024-12-29 18:56:56
케이크,23952,2024-12-30 01:28:56
