menu,price,order_time
떡볶이,4508,2024-12-29 22:22:56
감자튀김,18519,2024-12-29 20:17:56
감자튀김,10620,2024-12-30 02:47:56
닭강정,3469,2024-12-30 13:04:56
떡볶이,25855,2024-12-30 02:32:56
닭강정,9920,2024-12-30 06:05:56
닭강정,1042,2024-12-30 13:33:56
떡볶이,10466,2024-12-30 17:02:56
떡볶이,23312,2024-12-30 13:12:56
감자튀김,7597,2024-12-30 05:51:56
닭강정,20878,2024-12-30 13:12:56
닭강정,20335,2024-12-30 09:05:56
감자튀김,11387,2024-12-30 11:27:56
떡볶이,27754,2024-12-29 21:49:56
떡볶이,29022,2024-12-30 15:36:56
감자튀김,7049,2024-12-30 12:38:56
닭강정,6067,2024-12-30 00:43:56
감자튀김,11800,2024-12-30 16:26:56
닭강정,16289,2024-12-30 11:11:56
감자튀김,14352,2024-12-29 18:37:56
떡볶이,13635,2024-12-30 08:16:56
닭강정,13973,2024-12-30 08:32:56
닭강정,27264,2024-12-30 02:09:56
감자튀김,24493,2024-12-30 00:17:56
떡볶이,8762,2024-12-30 11:19:56
닭강정,15869,2024-12-30 12:17:56
떡볶이,15163,2024-12-30 11:31:56
떡볶이,2503,2024-12-30 13:31:56
감자튀김,24464,2024-12-29 21:32:56
감자튀김,13806,2024-12-30 13:44:56
떡볶이,10238,2024-12-30 00:22:56
떡볶이,29142,2024-12-30 03:00:56
떡볶이,6958,2024-12-29 18:20:56
떡볶이,9741,2024-12-30 05:06:56
떡볶이,24017,2024-12-29 19:09:56
떡볶이,4174,2024-12-30 00:04:56
감자튀김,1947,2024-12-29 23:19:56
닭강정,27282,2024-12-30 08:33:56
닭강정,27293,2024-12-30 09:41:56
감자튀김,2209,2024-12-30 05:36:56
떡볶이,28820,2024-12-30 16:49:56
떡볶이,20490,2024-12-30 02:08:56
감자튀김,7569,2024-12-30 06:32:56
닭강정,21376,2024-12-30 14:16:56
감자튀김,12982,2024-12-30 14:27:56
닭강정,11833,2024-12-30 01:20:56
떡볶이,17730,2024-12-30 17:07:56
닭강정,7854,2024-12-29 17:52:56
감자튀김,1532,2024-12-30 13:28:56
떡볶이,22739,2024-12-30 01:47:56
닭강정,6169,2024-12-29 19:31:56
감자튀김,29599,2024-12-30 15:06:56
감자튀김,2882,2024-12-30 08:45:56
떡볶이,5321,2024-12-30 11:53:56
닭강정,6031,2024-12-29 20:31:56
감자튀김,10077,2024-12-29 19:21:56
떡볶이,10951,2024-12-30 05:24:56
떡볶이,26949,2024-12-30 08:16:56
떡볶이,16023,2024-12-29 20:29:56
떡볶이,2734,2024-12-30 06:09:56
감자튀김,10774,2024-12-30 06:29:56
떡볶이,27469,2024-12-30 11:54:56
감자튀김,28698,2024-12-30 07:28:56
감자튀김,3774,2024-12-29 21:23:56
닭강정,23454,2024-12-29 22:12:56
닭강정,8420,2024-12-30 06:30:56
감자튀김,28170,2024-12-29 22:27:56
떡볶이,7743,2024-12-30 02:54:56
떡볶이,5045,2024-12-30 11:08:56
떡볶이,12890,2024-12-30 01:02:56
감자튀김,22975,2024-12-29 18:24:56
떡볶이,16162,2024-12-30 10:11:56
감자튀김,6020,2024-12-30 00:39:56
떡볶이,18396,2024-12-29 18:13:56
닭강정,1643,2024-12-30 14:19:56
닭강정,7384,2024-12-30 10:46:56
떡볶이,6691,2024-12-30 06:36:56
닭강정,26906,2024-12-30 05:30:56
닭강정,14682,2024-12-30 03:30:56
닭강정,3202,2024-12-29 21:32:56
떡볶이,7436,2024-12-29 23:33:56
닭강정,8199,2024-12-30 05:30:56
떡볶이,10424,2024-12-30 07:17:56
감자튀김,10148,2024-12-30 08:50:56
닭강정,29137,2024-12-30 01:12:56
감자튀김,13562,2024-12-30 07:55:56
닭강정,4509,2024-12-30 17:01:56
떡볶이,8323,2024-12-30 09:03:56
닭강정,14645,2024-12-29 20:01:56
닭강정,7453,2024-12-30 10:16:56
감자튀김,10877,2024-12-29 19:06:56
감자튀김,17006,2024-12-30 02:24:56
감자튀김,25712,2024-12-30 06:24:56
감자튀김,23811,2024-12-30 15:42:56
떡볶이,15865,2024-12-30 16:53:56
닭강정,12178,2024-12-30 04:18:56
떡볶이,11965,2024-12-30 15:36:56
닭강정,3883,2024-12-30 09:01:56
감자튀김,11296,2024-12-30 07:15:56
떡볶이,7783,2024-12-29 19:23:56
