menu,price,order_time
감자튀김,18075,2024-12-30 09:06:56
떡볶이,16339,2024-12-30 03:25:56
닭강정,8560,2024-12-30 03:35:56
닭강정,1003,2024-12-29 22:03:56
감자튀김,22829,2024-12-30 11:15:56
닭강정,24730,2024-12-30 15:52:56
닭강정,22856,2024-12-30 13:38:56
떡볶이,22993,2024-12-29 23:09:56
감자튀김,7942,2024-12-29 22:48:56
닭강정,13612,2024-12-30 12:46:56
감자튀김,2411,2024-12-30 15:03:56
닭강정,28578,2024-12-29 17:28:56
닭강정,16551,2024-12-30 04:47:56
감자튀김,13588,2024-12-30 08:49:56
떡볶이,2911,2024-12-30 02:47:56
닭강정,18652,2024-12-30 11:05:56
감자튀김,16710,2024-12-30 06:23:56
떡볶이,7289,2024-12-29 18:09:56
감자튀김,21356,2024-12-30 05:33:56
감자튀김,15384,2024-12-30 06:03:56
감자튀김,25996,2024-12-30 04:53:56
떡볶이,28288,2024-12-30 12:50:56
닭강정,14185,2024-12-30 16:02:56
떡볶이,14906,2024-12-29 21:48:56
떡볶이,29292,2024-12-30 14:35:56
떡볶이,21996,2024-12-30 01:16:56
닭강정,15558,2024-12-30 10:58:56
감자튀김,21317,2024-12-30 10:31:56
떡볶이,7448,2024-12-30 00:42:56
감자튀김,11549,2024-12-29 23:13:56
떡볶이,15661,2024-12-30 05:07:56
떡볶이,17883,2024-12-30 08:11:56
떡볶이,27414,2024-12-30 16:50:56
닭강정,15016,2024-12-30 08:54:56
닭강정,16447,2024-12-30 06:15:56
닭강정,26084,2024-12-30 10:50:56
떡볶이,24712,2024-12-29 18:48:56
감자튀김,6899,2024-12-29 19:19:56
떡볶이,9051,2024-12-30 03:25:56
떡볶이,25903,2024-12-30 03:32:56
닭강정,18386,2024-12-30 13:03:56
감자튀김,19546,2024-12-30 11:14:56
닭강정,25656,2024-12-30 16:23:56
떡볶이,11192,2024-12-30 05:47:56
감자튀김,26767,2024-12-29 18:48:56
떡볶이,22350,2024-12-30 07:09:56
닭강정,27523,2024-12-30 01:43:56
감자튀김,24987,2024-12-29 23:41:56
떡볶이,23100,2024-12-29 21:59:56
닭강정,8211,2024-12-30 07:50:56
감자튀김,25928,2024-12-30 11:16:56
떡볶이,1421,2024-12-30 01:19:56
떡볶이,15736,2024-12-30 10:25:56
감자튀김,13048,2024-12-29 18:08:56
닭강정,18210,2024-12-30 12:28:56
떡볶이,13523,2024-12-29 18:46:56
떡볶이,10819,2024-12-30 15:34:56
감자튀김,18992,2024-12-30 16:12:56
감자튀김,24447,2024-12-30 13:21:56
감자튀김,28997,2024-12-29 23:54:56
떡볶이,5768,2024-12-30 01:26:56
감자튀김,28610,2024-12-29 18:35:56
감자튀김,6853,2024-12-30 08:55:56
떡볶이,4565,2024-12-30 12:57:56
감자튀김,15527,2024-12-30 12:34:56
감자튀김,7193,2024-12-30 15:04:56
닭강정,3262,2024-12-29 21:10:56
닭강정,27385,2024-12-29 18:37:56
닭강정,6626,2024-12-30 15:14:56
감자튀김,24073,2024-12-30 14:11:56
감자튀김,11990,2024-12-30 17:11:56
닭강정,14406,2024-12-30 02:31:56
떡볶이,8547,2024-12-30 05:51:56
감자튀김,21605,2024-12-30 05:39:56
닭강정,12343,2024-12-30 00:02:56
떡볶이,14292,2024-12-30 11:04:56
떡볶이,4634,2024-12-29 22:23:56
감자튀김,8257,2024-12-30 16:21:56
떡볶이,14316,2024-12-30 02:24:56
감자튀김,16265,2024-12-30 17:05:56
감자튀김,27983,2024-12-30 13:40:56
떡볶이,13235,2024-12-30 12:20:56
떡볶이,22362,2024-12-30 11:50:56
감자튀김,21906,2024-12-30 05:18:56
감자튀김,9433,2024-12-29 17:56:56
감자튀김,16957,2024-12-29 18:14:56
닭강정,3853,2024-12-30 02:17:56
닭강정,27848,2024-12-30 04:02:56
떡볶이,28567,2024-12-30 10:26:56
감자튀김,18815,2024-12-29 23:21:56
감자튀김,11549,2024-12-30 00:55:56
감자튀김,4943,2024-12-30 14:28:56
떡볶이,9475,2024-12-29 21:25:56
닭강정,4300,2024-12-30 17:19:56
감자튀김,14670,2024-12-30 01:21:56
닭강정,4645,2024-12-30 16:09:56
떡볶이,16022,2024-12-29 18:40:56
감자튀김,6721,2024-12-29 22:00:56
떡볶이,20856,2024-12-30 10:27:56
닭강정,29714,2024-12-29 22:32:56
