menu,price,order_time
아메리카노,13494,2024-12-30 01:20:56
케이크,4872,2024-12-29 23:06:56
아메리카노,3357,2024-12-29 18:01:56
아메리카노,26906,2024-12-30 06:22:56
아메리카노,23916,2024-12-30 06:20:56
카푸치노,18768,2024-12-30 10:56:56
아메리카노,22225,2024-12-30 12:25:56
카푸치노,14176,2024-12-30 05:04:56
케이크,21530,2024-12-30 03:09:56
케이크,14207,2024-12-29 19:56:56
아메리카노,6297,2024-12-29 18:01:56
케이크,9759,2024-12-30 14:25:56
카푸치노,9247,2024-12-30 10:39:56
카푸치노,21622,2024-12-30 04:51:56
케이크,11378,2024-12-29 22:40:56
케이크,19483,2024-12-30 11:19:56
아메리카노,17768,2024-12-30 11:29:56
카푸치노,26750,2024-12-29 21:17:56
카푸치노,5318,2024-12-30 09:14:56
카푸치노,6859,2024-12-30 01:39:56
카푸치노,2374,2024-12-29 23:37:56
아메리카노,9427,2024-12-30 03:00:56
카푸치노,4316,2024-12-30 03:45:56
아메리카노,23606,2024-12-30 00:09:56
아메리카노,24658,2024-12-30 17:03:56
카푸치노,8298,2024-12-30 07:39:56
아메리카노,21377,2024-12-29 18:35:56
카푸치노,28753,2024-12-29 22:58:56
카푸치노,29801,2024-12-30 10:49:56
케이크,22913,2024-12-30 13:04:56
카푸치노,23612,2024-12-30 02:27:56
아메리카노,3739,2024-12-29 19:53:56
케이크,13103,2024-12-30 05:23:56
아메리카노,12784,2024-12-30 06:52:56
카푸치노,23666,2024-12-29 22:36:56
케이크,3983,2024-12-30 13:35:56
카푸치노,23737,2024-12-30 00:30:56
카푸치노,24198,2024-12-30 05:41:56
아메리카노,2728,2024-12-30 11:14:56
케이크,1261,2024-12-30 04:46:56
카푸치노,4557,2024-12-29 18:39:56
카푸치노,24666,2024-12-30 14:53:56
아메리카노,27519,2024-12-30 08:00:56
아메리카노,12410,2024-12-30 06:42:56
케이크,29509,2024-12-29 19:19:56
케이크,25333,2024-12-30 09:24:56
케이크,22120,2024-12-30 01:01:56
아메리카노,26734,2024-12-30 14:54:56
카푸치노,16793,2024-12-30 16:11:56
케이크,4570,2024-12-30 03:22:56
카푸치노,7583,2024-12-30 12:48:56
카푸치노,25174,2024-12-29 21:43:56
아메리카노,19332,2024-12-30 09:49:56
케이크,21613,2024-12-30 05:25:56
아메리카노,17986,2024-12-30 10:29:56
케이크,5119,2024-12-30 01:30:56
카푸치노,6813,2024-12-30 11:09:56
케이크,3556,2024-12-30 14:58:56
카푸치노,21270,2024-12-30 02:28:56
아메리카노,21961,2024-12-30 04:10:56
아메리카노,23456,2024-12-29 23:09:56
아메리카노,24112,2024-12-30 08:02:56
아메리카노,17439,2024-12-30 06:33:56
케이크,14574,2024-12-30 07:35:56
케이크,1975,2024-12-30 01:05:56
아메리카노,15674,2024-12-30 15:19:56
아메리카노,12571,2024-12-29 21:39:56
케이크,26768,2024-12-29 21:32:56
아메리카노,13434,2024-12-29 17:41:56
케이크,13629,2024-12-30 06:43:56
카푸치노,23945,2024-12-30 17:17:56
카푸치노,1776,2024-12-30 07:58:56
카푸치노,9610,2024-12-30 09:48:56
케이크,8107,2024-12-29 23:14:56
카푸치노,20321,2024-12-30 09:04:56
아메리카노,16479,2024-12-30 03:25:56
카푸치노,25904,2024-12-30 15:42:56
케이크,8204,2024-12-29 19:16:56
아메리카노,26128,2024-12-30 14:35:56
카푸치노,28710,2024-12-30 03:14:56
아메리카노,25040,2024-12-30 03:14:56
카푸치노,13001,2024-12-30 02:12:56
카푸치노,23470,2024-12-30 10:24:56
카푸치노,29009,2024-12-30 10:16:56
아메리카노,22144,2024-12-30 09:24:56
아메리카노,13158,2024-12-30 13:58:56
아메리카노,13993,2024-12-30 13:56:56
카푸치노,27266,2024-12-30 00:12:56
케이크,12507,2024-12-30 10:37:56
아메리카노,23664,2024-12-29 21:38:56
케이크,13591,2024-12-30 13:13:56
케이크,6123,2024-12-29 23:44:56
케이크,19106,2024-12-29 22:29:56
케이크,11903,2024-12-29 17:46:56
카푸치노,21640,2024-12-30 07:11:56
아메리카노,21315,2024-12-29 20:45:56
카푸치노,25405,2024-12-30 06:08:56
케이크,27062,2024-12-30 04:00:56
아메리카노,16914,2024-12-30 08:10:56
아메리카노,16411,2024-12-30 09:49:56
